"Cu2AgBiI6_VI - RawData"
"Wavelength nm.","T%"
400.00,2.02596
401.00,2.06746
402.00,2.09758
403.00,2.13275
404.00,2.15382
405.00,2.17823
406.00,2.21800
407.00,2.24211
408.00,2.27210
409.00,2.31147
410.00,2.34644
411.00,2.37696
412.00,2.41337
413.00,2.44555
414.00,2.46830
415.00,2.49769
416.00,2.55231
417.00,2.56636
418.00,2.61720
419.00,2.65057
420.00,2.67690
421.00,2.70472
422.00,2.73524
423.00,2.78183
424.00,2.79861
425.00,2.83597
426.00,2.86004
427.00,2.88314
428.00,2.92125
429.00,2.95656
430.00,2.96298
431.00,3.00334
432.00,3.02684
433.00,3.05481
434.00,3.06777
435.00,3.09778
436.00,3.12270
437.00,3.14554
438.00,3.17244
439.00,3.18877
440.00,3.20237
441.00,3.22774
442.00,3.25255
443.00,3.27013
444.00,3.29091
445.00,3.30051
446.00,3.32302
447.00,3.32520
448.00,3.34973
449.00,3.37395
450.00,3.37687
451.00,3.40339
452.00,3.41038
453.00,3.42316
454.00,3.43893
455.00,3.46533
456.00,3.46621
457.00,3.48117
458.00,3.48254
459.00,3.49777
460.00,3.51362
461.00,3.52282
462.00,3.53376
463.00,3.54289
464.00,3.55703
465.00,3.57603
466.00,3.57913
467.00,3.59490
468.00,3.58826
469.00,3.61564
470.00,3.61948
471.00,3.62677
472.00,3.63054
473.00,3.64049
474.00,3.66032
475.00,3.66123
476.00,3.66858
477.00,3.68052
478.00,3.67523
479.00,3.69708
480.00,3.68159
481.00,3.70419
482.00,3.70619
483.00,3.71605
484.00,3.71323
485.00,3.72882
486.00,3.72610
487.00,3.73238
488.00,3.72853
489.00,3.74585
490.00,3.73947
491.00,3.74815
492.00,3.74967
493.00,3.75100
494.00,3.75973
495.00,3.76118
496.00,3.76065
497.00,3.77536
498.00,3.77801
499.00,3.77812
500.00,3.78623
501.00,3.79052
502.00,3.79955
503.00,3.81742
504.00,3.80788
505.00,3.82772
506.00,3.82984
507.00,3.84218
508.00,3.86542
509.00,3.88726
510.00,3.89330
511.00,3.90583
512.00,3.92720
513.00,3.95416
514.00,3.97063
515.00,3.99351
516.00,4.02280
517.00,4.03409
518.00,4.06858
519.00,4.09044
520.00,4.11804
521.00,4.13839
522.00,4.17690
523.00,4.19647
524.00,4.23638
525.00,4.26662
526.00,4.30301
527.00,4.34356
528.00,4.36229
529.00,4.40061
530.00,4.43502
531.00,4.47730
532.00,4.51890
533.00,4.56385
534.00,4.59337
535.00,4.62741
536.00,4.65688
537.00,4.69283
538.00,4.72019
539.00,4.76014
540.00,4.80103
541.00,4.81393
542.00,4.85216
543.00,4.87383
544.00,4.90246
545.00,4.92737
