"Ag2BiI5_Old_B2 - RawData"
"Wavelength nm.","T%"
400.00,0.07912
401.00,0.07916
402.00,0.07978
403.00,0.07998
404.00,0.08299
405.00,0.08458
406.00,0.08238
407.00,0.08575
408.00,0.08461
409.00,0.08352
410.00,0.08564
411.00,0.08775
412.00,0.08470
413.00,0.08730
414.00,0.08621
415.00,0.08630
416.00,0.08378
417.00,0.08687
418.00,0.08272
419.00,0.08394
420.00,0.08259
421.00,0.08261
422.00,0.08181
423.00,0.08281
424.00,0.08527
425.00,0.08951
426.00,0.09732
427.00,0.10621
428.00,0.11857
429.00,0.13504
430.00,0.15340
431.00,0.16646
432.00,0.17888
433.00,0.19067
434.00,0.20530
435.00,0.21013
436.00,0.21565
437.00,0.22217
438.00,0.22779
439.00,0.22980
440.00,0.23344
441.00,0.23911
442.00,0.24747
443.00,0.24763
444.00,0.24977
445.00,0.25678
446.00,0.25931
447.00,0.26490
448.00,0.27035
449.00,0.27387
450.00,0.27850
451.00,0.28186
452.00,0.28902
453.00,0.29405
454.00,0.29905
455.00,0.30309
456.00,0.30914
457.00,0.31569
458.00,0.32067
459.00,0.32295
460.00,0.32840
461.00,0.33417
462.00,0.33949
463.00,0.34258
464.00,0.34964
465.00,0.35575
466.00,0.35644
467.00,0.36386
468.00,0.37129
469.00,0.37364
470.00,0.37599
471.00,0.38580
472.00,0.39231
473.00,0.39089
474.00,0.39961
475.00,0.40368
476.00,0.40799
477.00,0.41558
478.00,0.41968
479.00,0.42539
480.00,0.42853
481.00,0.43401
482.00,0.43783
483.00,0.44366
484.00,0.44687
485.00,0.45097
486.00,0.46019
487.00,0.46358
488.00,0.46749
489.00,0.47522
490.00,0.47739
491.00,0.48159
492.00,0.48720
493.00,0.49905
494.00,0.49968
495.00,0.50685
496.00,0.51132
497.00,0.51403
498.00,0.52257
499.00,0.53256
500.00,0.53255
501.00,0.54346
502.00,0.54604
503.00,0.55034
504.00,0.56019
505.00,0.56630
506.00,0.56940
507.00,0.57604
508.00,0.58650
509.00,0.58917
510.00,0.59526
511.00,0.60385
512.00,0.61426
513.00,0.61560
514.00,0.62408
515.00,0.63000
516.00,0.63692
517.00,0.64723
518.00,0.64993
519.00,0.65308
520.00,0.65977
521.00,0.66656
522.00,0.67335
523.00,0.68500
524.00,0.68706
525.00,0.69140
526.00,0.70131
527.00,0.70746
528.00,0.70532
529.00,0.71544
530.00,0.72216
531.00,0.72899
532.00,0.73246
533.00,0.74412
534.00,0.74211
535.00,0.74956
536.00,0.75544
537.00,0.76404
538.00,0.76525
539.00,0.77176
540.00,0.77410
541.00,0.77832
542.00,0.78134
543.00,0.79132
544.00,0.78984
545.00,0.79049
546.00,0.80157
547.00,0.80764
548.00,0.80700
549.00,0.81407
550.00,0.81359
551.00,0.81892
552.00,0.81905
553.00,0.82967
554.00,0.83007
555.00,0.84192
556.00,0.84376
557.00,0.84512
558.00,0.84913
559.00,0.85593
560.00,0.86234
561.00,0.86897
562.00,0.87531
563.00,0.87824
564.00,0.88937
565.00,0.89849
566.00,0.90652
567.00,0.91497
