"Ag3BiI6_I - RawData"
"Wavelength nm.","T%"
400.00,0.11170
401.00,0.11257
402.00,0.11388
403.00,0.11732
404.00,0.12108
405.00,0.11848
406.00,0.12265
407.00,0.12473
408.00,0.12634
409.00,0.12626
410.00,0.12878
411.00,0.12682
412.00,0.13086
413.00,0.12591
414.00,0.13003
415.00,0.12954
416.00,0.12730
417.00,0.12562
418.00,0.12272
419.00,0.12167
420.00,0.12275
421.00,0.12348
422.00,0.12468
423.00,0.13104
424.00,0.13878
425.00,0.15180
426.00,0.16572
427.00,0.18596
428.00,0.20807
429.00,0.24336
430.00,0.27809
431.00,0.31848
432.00,0.35608
433.00,0.40010
434.00,0.43166
435.00,0.45613
436.00,0.47233
437.00,0.48354
438.00,0.49929
439.00,0.50608
440.00,0.51659
441.00,0.53038
442.00,0.53697
443.00,0.54216
444.00,0.55134
445.00,0.55754
446.00,0.56298
447.00,0.56912
448.00,0.57770
449.00,0.58669
450.00,0.59716
451.00,0.60155
452.00,0.60890
453.00,0.61916
454.00,0.62409
455.00,0.62674
456.00,0.64204
457.00,0.65332
458.00,0.65294
459.00,0.66532
460.00,0.67326
461.00,0.68072
462.00,0.68619
463.00,0.69078
464.00,0.69827
465.00,0.70720
466.00,0.70705
467.00,0.72257
468.00,0.72817
469.00,0.72377
470.00,0.73321
471.00,0.74293
472.00,0.74623
473.00,0.75467
474.00,0.76203
475.00,0.77023
476.00,0.77172
477.00,0.77733
478.00,0.78568
479.00,0.79619
480.00,0.80140
481.00,0.80818
482.00,0.81436
483.00,0.82088
484.00,0.82577
485.00,0.83983
486.00,0.84424
487.00,0.84788
488.00,0.85387
489.00,0.86208
490.00,0.86416
491.00,0.87467
492.00,0.88331
493.00,0.88935
494.00,0.89816
495.00,0.90261
496.00,0.91146
497.00,0.91552
498.00,0.92557
499.00,0.93111
500.00,0.94364
501.00,0.95563
502.00,0.95345
503.00,0.96802
504.00,0.97364
505.00,0.98675
506.00,1.00182
507.00,1.00287
508.00,1.02005
509.00,1.02539
510.00,1.03556
511.00,1.04597
512.00,1.05849
513.00,1.06692
514.00,1.07596
515.00,1.08540
516.00,1.09930
517.00,1.11064
518.00,1.11681
519.00,1.13055
