"Cu2aAgBiI6_V - RawData"
"Wavelength nm.","T%"
400.00,0.20585
401.00,0.20744
402.00,0.21398
403.00,0.21864
404.00,0.21467
405.00,0.22221
406.00,0.22711
407.00,0.22838
408.00,0.23744
409.00,0.23564
410.00,0.23799
411.00,0.24289
412.00,0.24299
413.00,0.25343
414.00,0.25704
415.00,0.25744
416.00,0.26306
417.00,0.26869
418.00,0.27059
419.00,0.27289
420.00,0.27256
421.00,0.28430
422.00,0.28810
423.00,0.28875
424.00,0.29368
425.00,0.29409
426.00,0.30041
427.00,0.30040
428.00,0.30682
429.00,0.31174
430.00,0.31418
431.00,0.31527
432.00,0.32362
433.00,0.32561
434.00,0.32726
435.00,0.33611
436.00,0.33440
437.00,0.34111
438.00,0.34360
439.00,0.34897
440.00,0.35036
441.00,0.35399
442.00,0.35841
443.00,0.36038
444.00,0.36400
445.00,0.36746
446.00,0.37001
447.00,0.37223
448.00,0.37543
449.00,0.38086
450.00,0.38281
451.00,0.38538
452.00,0.39206
453.00,0.39058
454.00,0.39691
455.00,0.39829
456.00,0.39975
457.00,0.40294
458.00,0.40679
459.00,0.40724
460.00,0.41055
461.00,0.41445
462.00,0.41545
463.00,0.42002
464.00,0.41902
465.00,0.42244
466.00,0.42548
467.00,0.42687
468.00,0.42383
469.00,0.42603
470.00,0.42951
471.00,0.43524
472.00,0.43388
473.00,0.43615
474.00,0.43822
475.00,0.43957
476.00,0.43839
477.00,0.43946
478.00,0.43801
479.00,0.44106
480.00,0.44113
481.00,0.44424
482.00,0.44550
483.00,0.44750
484.00,0.44674
485.00,0.44587
486.00,0.44634
487.00,0.44747
488.00,0.45065
489.00,0.45135
490.00,0.44988
491.00,0.45199
492.00,0.45108
493.00,0.45507
494.00,0.45434
495.00,0.45482
496.00,0.45399
497.00,0.45699
498.00,0.46033
499.00,0.45502
500.00,0.45771
501.00,0.46020
502.00,0.46231
503.00,0.46580
504.00,0.46939
505.00,0.46758
506.00,0.46957
507.00,0.46916
508.00,0.47531
509.00,0.47456
510.00,0.48201
511.00,0.48224
512.00,0.48585
513.00,0.48617
514.00,0.49149
515.00,0.49570
516.00,0.49918
517.00,0.50152
518.00,0.50871
519.00,0.51118
520.00,0.51506
521.00,0.51726
522.00,0.51887
523.00,0.53328
524.00,0.53720
525.00,0.53903
526.00,0.54343
527.00,0.55146
528.00,0.55179
529.00,0.55324
530.00,0.56635
531.00,0.56593
532.00,0.56977
533.00,0.58055
534.00,0.58139
535.00,0.58492
536.00,0.58861
537.00,0.59645
538.00,0.59546
539.00,0.59931
540.00,0.60186
541.00,0.60762
542.00,0.61289
543.00,0.61329
544.00,0.61963
545.00,0.62455
546.00,0.62423
547.00,0.62533
548.00,0.62938
549.00,0.63177
550.00,0.63471
551.00,0.63737
552.00,0.63528
553.00,0.64523
554.00,0.64261
555.00,0.64611
556.00,0.64644
557.00,0.65035
558.00,0.64819
559.00,0.65029
560.00,0.65278
561.00,0.65241
562.00,0.65439
563.00,0.65629
564.00,0.65729
565.00,0.65616
566.00,0.65465
567.00,0.66162
568.00,0.65950
569.00,0.66028
570.00,0.66681
571.00,0.66712
572.00,0.66997
573.00,0.66843
574.00,0.67971
575.00,0.68177
576.00,0.68570
577.00,0.68449
578.00,0.69223
579.00,0.69989
580.00,0.70587
581.00,0.70848
582.00,0.71879
583.00,0.72639
584.00,0.72952
585.00,0.73931
586.00,0.74532
587.00,0.76014
588.00,0.77106
589.00,0.78215
590.00,0.79221
591.00,0.81086
592.00,0.82737
593.00,0.84207
594.00,0.86708
595.00,0.88353
596.00,0.91614
597.00,0.93702
598.00,0.96765
599.00,0.99554
600.00,1.03601
601.00,1.07356
602.00,1.12707
603.00,1.16711
604.00,1.21941
605.00,1.27981
606.00,1.33985
607.00,1.40727
608.00,1.48318
609.00,1.56310
610.00,1.64073
611.00,1.74154
612.00,1.84015
613.00,1.94673
614.00,2.07325
615.00,2.20373
616.00,2.35279
617.00,2.49443
618.00,2.65390
619.00,2.83336
620.00,3.01443
621.00,3.20757
622.00,3.41927
623.00,3.62985
624.00,3.84066
625.00,4.08438
626.00,4.32765
627.00,4.55933
628.00,4.81334
629.00,5.09991
630.00,5.37725
631.00,5.65596
632.00,5.95531
633.00,6.25829
634.00,6.59710
635.00,6.90027
636.00,7.24772
637.00,7.60750
638.00,7.95648
639.00,8.35282
640.00,8.69585
641.00,9.07904
642.00,9.47426
643.00,9.84847
644.00,10.24140
645.00,10.61992
646.00,11.03091
647.00,11.44268
648.00,11.82984
649.00,12.21928
650.00,12.61579
651.00,13.02469
652.00,13.43788
653.00,13.84226
654.00,14.24780
655.00,14.64470
656.00,15.04908
657.00,15.47092
658.00,15.86958
659.00,16.29265
660.00,16.67930
661.00,17.13217
662.00,17.52012
663.00,17.97207
664.00,18.32862
665.00,18.74231
666.00,19.14292
667.00,19.49344
668.00,19.84358
669.00,20.24996
670.00,20.63591
671.00,20.97009
672.00,21.30593
673.00,21.61361
674.00,21.98279
675.00,22.30139
676.00,22.60251
677.00,22.91766
678.00,23.24700
679.00,23.57816
680.00,23.83980
681.00,24.12409
682.00,24.40293
683.00,24.72115
684.00,24.98013
685.00,25.18048
686.00,25.44697
687.00,25.73537
688.00,25.89395
689.00,26.13701
690.00,26.40467
691.00,26.61508
692.00,26.82866
693.00,27.01145
694.00,27.20154
695.00,27.39574
696.00,27.60591
697.00,27.72810
698.00,27.93987
699.00,28.10213
700.00,28.19129
701.00,28.36036
702.00,28.50323
703.00,28.61741
704.00,28.78064
705.00,28.93400
706.00,29.08798
707.00,29.19211
708.00,29.35731
709.00,29.42694
710.00,29.51931
711.00,29.66667
712.00,29.67261
713.00,29.85485
714.00,29.93512
715.00,30.09214
716.00,30.09719
717.00,30.23968
718.00,30.30885
719.00,30.37877
720.00,30.38457
721.00,30.53547
722.00,30.60779
723.00,30.68976
724.00,30.79363
725.00,30.80090
726.00,31.03898
727.00,31.04887
728.00,31.15288
729.00,31.21004
730.00,31.13326
731.00,31.25345
732.00,31.37439
733.00,31.53069
734.00,31.44699
735.00,31.52044
736.00,31.62483
737.00,31.59879
738.00,31.70271
739.00,31.76515
740.00,31.81200
741.00,31.80880
742.00,31.99946
743.00,31.89026
744.00,32.00127
745.00,32.01153
746.00,32.10962
747.00,32.10491
748.00,32.21081
749.00,32.23413
750.00,32.15337
751.00,32.40108
752.00,32.24568
753.00,32.53561
754.00,32.64513
755.00,32.61403
756.00,32.56576
757.00,32.52359
758.00,32.60123
759.00,32.59436
760.00,32.61607
761.00,32.61069
762.00,32.82607
763.00,32.92338
764.00,32.86546
765.00,32.87532
766.00,32.95317
767.00,32.94953
768.00,33.00422
769.00,32.88421
770.00,33.03189
771.00,33.05105
772.00,33.00389
773.00,33.20994
774.00,33.19055
775.00,33.31755
776.00,33.29910
777.00,33.41571
778.00,33.38265
779.00,33.28615
780.00,33.26187
781.00,33.39418
782.00,33.38698
783.00,33.38752
784.00,33.45083
785.00,33.30008
786.00,33.30863
787.00,33.61630
788.00,33.60992
789.00,33.63193
790.00,33.67463
791.00,33.76861
792.00,33.63814
793.00,33.79921
794.00,33.45893
795.00,33.67783
796.00,33.71627
797.00,33.63471
798.00,33.57147
799.00,33.56673
800.00,33.61397
801.00,33.84394
802.00,33.82822
803.00,33.78097
804.00,33.80519
805.00,33.80010
806.00,33.82320
807.00,33.83908
808.00,33.97962
809.00,33.88137
810.00,33.95078
811.00,33.84668
812.00,33.99237
813.00,33.87352
814.00,33.92747
815.00,34.01488
816.00,34.12420
817.00,34.05308
818.00,34.07956
819.00,34.23916
820.00,34.37976
821.00,34.04850
822.00,34.03999
823.00,34.32328
824.00,34.37989
825.00,34.12652
826.00,34.02541
827.00,34.19868
828.00,34.35169
829.00,34.43906
830.00,34.26771
831.00,34.35317
832.00,34.05746
833.00,34.45504
834.00,34.45064
835.00,34.35527
836.00,34.23511
837.00,33.99471
838.00,34.33054
839.00,34.38758
840.00,33.94185
841.00,34.54201
842.00,34.18958
843.00,34.62722
844.00,34.75944
845.00,34.69707
846.00,33.75456
847.00,34.68448
848.00,34.75437
849.00,34.39318
850.00,34.82017
851.00,34.72749
852.00,34.19113
853.00,34.51842
854.00,35.01047
855.00,34.18232
856.00,34.58647
857.00,34.43932
858.00,35.46282
859.00,34.74161
860.00,35.82960
861.00,34.71298
862.00,35.46914
863.00,34.93700
864.00,33.71593
865.00,34.23177
866.00,35.28021
867.00,33.05298
868.00,35.01763
869.00,34.43396
870.00,35.24474
871.00,35.64813
872.00,36.44637
873.00,35.10693
874.00,35.32471
875.00,35.80648
876.00,32.32517
877.00,32.00766
878.00,34.68181
879.00,32.33400
880.00,34.07500
881.00,36.73024
882.00,35.36779
883.00,31.85061
884.00,37.27848
885.00,34.76275
886.00,36.14771
887.00,37.69917
888.00,35.39234
889.00,34.42549
890.00,36.50600
891.00,36.36063
892.00,35.59146
893.00,37.12101
894.00,28.98269
895.00,35.59559
896.00,36.59523
897.00,30.55918
898.00,32.47829
899.00,36.62541
900.00,35.47997
