"Cu2aAgBiI6_VI - RawData"
"Wavelength nm.","T%"
400.00,2.20868
401.00,2.23608
402.00,2.27204
403.00,2.29841
404.00,2.34215
405.00,2.37114
406.00,2.40811
407.00,2.42905
408.00,2.46598
409.00,2.50503
410.00,2.53668
411.00,2.57818
412.00,2.59914
413.00,2.63986
414.00,2.69022
415.00,2.71456
416.00,2.75621
417.00,2.78811
418.00,2.82123
419.00,2.86402
420.00,2.91370
421.00,2.92105
422.00,2.96253
423.00,2.99871
424.00,3.03397
425.00,3.06329
426.00,3.09954
427.00,3.12385
428.00,3.15980
429.00,3.19724
430.00,3.22549
431.00,3.23836
432.00,3.28271
433.00,3.31458
434.00,3.33192
435.00,3.34618
436.00,3.37958
437.00,3.40951
438.00,3.42789
439.00,3.45734
440.00,3.47211
441.00,3.50449
442.00,3.51867
443.00,3.54358
444.00,3.56678
445.00,3.57752
446.00,3.59543
447.00,3.61900
448.00,3.63093
449.00,3.65900
450.00,3.67898
451.00,3.69281
452.00,3.69725
453.00,3.73216
454.00,3.73264
455.00,3.75551
456.00,3.75898
457.00,3.78919
458.00,3.80041
459.00,3.80294
460.00,3.82643
461.00,3.84890
462.00,3.85502
463.00,3.86863
464.00,3.87486
465.00,3.88929
466.00,3.92461
467.00,3.93112
468.00,3.92995
469.00,3.95988
470.00,3.96517
471.00,3.98167
472.00,3.99651
473.00,4.00261
474.00,4.00257
475.00,4.02862
476.00,4.03871
477.00,4.04535
478.00,4.06421
479.00,4.06452
480.00,4.07211
481.00,4.09050
482.00,4.08220
483.00,4.09557
484.00,4.11051
485.00,4.12729
486.00,4.12499
487.00,4.13284
488.00,4.13471
489.00,4.14794
490.00,4.15027
491.00,4.16590
492.00,4.16142
493.00,4.16989
494.00,4.17766
495.00,4.18982
496.00,4.18658
497.00,4.18784
498.00,4.19466
499.00,4.20043
500.00,4.20991
501.00,4.21799
502.00,4.22209
503.00,4.22370
504.00,4.24357
505.00,4.26253
506.00,4.26566
507.00,4.28307
508.00,4.28755
509.00,4.31171
510.00,4.32945
511.00,4.34240
512.00,4.35232
513.00,4.37903
514.00,4.39539
515.00,4.41771
516.00,4.43318
517.00,4.45853
518.00,4.49933
519.00,4.51298
520.00,4.53644
521.00,4.57667
522.00,4.60617
523.00,4.63232
524.00,4.66635
525.00,4.69530
526.00,4.73579
527.00,4.76958
528.00,4.79603
529.00,4.84039
530.00,4.86713
531.00,4.89948
532.00,4.93193
533.00,4.96820
534.00,5.01344
535.00,5.03482
536.00,5.07740
537.00,5.10498
538.00,5.14068
539.00,5.16734
540.00,5.20137
541.00,5.23202
542.00,5.26159
543.00,5.28452
544.00,5.31667
545.00,5.35430
546.00,5.38103
547.00,5.40592
548.00,5.42326
549.00,5.44160
550.00,5.47749
551.00,5.49617
552.00,5.52224
553.00,5.55995
554.00,5.56004
555.00,5.58057
556.00,5.60573
557.00,5.60987
558.00,5.62827
559.00,5.64683
560.00,5.65291
561.00,5.66982
562.00,5.69215
563.00,5.70385
564.00,5.72617
565.00,5.71898
566.00,5.73062
567.00,5.74210
568.00,5.74287
569.00,5.75868
570.00,5.79404
571.00,5.78961
572.00,5.79128
573.00,5.81543
574.00,5.81595
575.00,5.83826
576.00,5.83927
577.00,5.85851
578.00,5.84813
579.00,5.86471
580.00,5.87214
581.00,5.88709
582.00,5.90341
583.00,5.91480
584.00,5.92577
585.00,5.95322
586.00,5.95589
587.00,5.96968
588.00,5.98193
589.00,5.99307
590.00,6.02198
591.00,6.04142
592.00,6.06394
593.00,6.08556
594.00,6.11386
595.00,6.12988
596.00,6.16066
597.00,6.18656
598.00,6.22636
599.00,6.24376
600.00,6.29880
601.00,6.34083
602.00,6.37471
603.00,6.41660
604.00,6.47770
605.00,6.51778
606.00,6.58945
607.00,6.64748
608.00,6.72120
609.00,6.78685
610.00,6.87262
611.00,6.96148
612.00,7.03616
613.00,7.14470
614.00,7.23666
615.00,7.37746
616.00,7.50183
617.00,7.60578
618.00,7.77335
619.00,7.93478
620.00,8.07288
621.00,8.25962
622.00,8.43462
623.00,8.59959
624.00,8.81728
625.00,9.02465
626.00,9.22877
627.00,9.44915
628.00,9.67789
629.00,9.92020
630.00,10.13072
631.00,10.40053
632.00,10.64391
633.00,10.93463
634.00,11.23607
635.00,11.49916
636.00,11.80005
637.00,12.12823
638.00,12.41614
639.00,12.73629
640.00,13.08215
641.00,13.42164
642.00,13.77566
643.00,14.09628
644.00,14.45611
645.00,14.79265
646.00,15.11667
647.00,15.49800
648.00,15.84512
649.00,16.19578
650.00,16.55042
651.00,16.91258
652.00,17.28209
653.00,17.65309
654.00,17.97602
655.00,18.35441
656.00,18.73982
657.00,19.09251
658.00,19.48956
659.00,19.85353
660.00,20.16609
661.00,20.59198
662.00,20.95352
663.00,21.34718
664.00,21.69522
665.00,22.04409
666.00,22.44786
667.00,22.78238
668.00,23.09886
669.00,23.49272
670.00,23.78941
671.00,24.08791
672.00,24.42613
673.00,24.74377
674.00,25.03498
675.00,25.34441
676.00,25.63901
677.00,25.98360
678.00,26.23872
679.00,26.50259
680.00,26.76556
681.00,27.01388
682.00,27.33009
683.00,27.62344
684.00,27.86779
685.00,28.08076
686.00,28.31385
687.00,28.63147
688.00,28.78495
689.00,28.98165
690.00,29.28492
691.00,29.36820
692.00,29.63588
693.00,29.71574
694.00,29.97116
695.00,30.16501
696.00,30.31422
697.00,30.53731
698.00,30.64752
699.00,30.79287
700.00,30.90785
701.00,31.04245
702.00,31.24781
703.00,31.33139
704.00,31.48790
705.00,31.65717
706.00,31.77930
707.00,31.87560
708.00,32.03697
709.00,32.11775
710.00,32.19469
711.00,32.27140
712.00,32.39662
713.00,32.54209
714.00,32.61355
715.00,32.77670
716.00,32.74657
717.00,32.84520
718.00,32.95046
719.00,33.05793
720.00,33.11063
721.00,33.16716
722.00,33.26557
723.00,33.43163
724.00,33.43484
725.00,33.58217
726.00,33.48792
727.00,33.72976
728.00,33.72096
729.00,33.75494
730.00,33.86518
731.00,33.89212
732.00,34.12877
733.00,34.13274
734.00,34.14315
735.00,34.09272
736.00,34.24731
737.00,34.19571
738.00,34.36155
739.00,34.47651
740.00,34.46327
741.00,34.43811
742.00,34.57537
743.00,34.57505
744.00,34.62193
745.00,34.57413
746.00,34.74858
747.00,34.66950
748.00,34.79708
749.00,34.90037
750.00,34.86476
751.00,35.05343
752.00,35.04449
753.00,35.06161
754.00,35.16690
755.00,35.13452
756.00,35.14256
757.00,35.14981
758.00,35.17149
759.00,35.24822
760.00,35.20784
761.00,35.26343
762.00,35.22045
763.00,35.46232
764.00,35.39806
765.00,35.50971
766.00,35.57267
767.00,35.58014
768.00,35.45773
769.00,35.40357
770.00,35.79817
771.00,35.66054
772.00,35.52658
773.00,35.59765
774.00,35.58939
775.00,35.76774
776.00,35.69596
777.00,35.79257
778.00,35.97410
779.00,35.80606
780.00,35.79409
781.00,35.81427
782.00,35.81012
783.00,35.88519
784.00,35.80413
785.00,35.81051
786.00,35.78556
787.00,35.93164
788.00,36.20895
789.00,36.00170
790.00,36.01710
791.00,36.12592
792.00,35.88099
793.00,36.02094
794.00,35.94735
795.00,36.20846
796.00,36.08378
797.00,36.02896
798.00,35.95674
799.00,35.89600
800.00,36.07418
801.00,36.02648
802.00,36.14103
803.00,36.20363
804.00,36.11280
805.00,36.12609
806.00,36.31632
807.00,36.22695
808.00,36.24586
809.00,36.15537
810.00,36.11843
811.00,36.11414
812.00,36.25392
813.00,36.14661
814.00,36.09342
815.00,36.12999
816.00,36.29422
817.00,36.41270
818.00,36.21649
819.00,36.12205
820.00,36.27088
821.00,36.38579
822.00,36.34782
823.00,36.32125
824.00,36.36438
825.00,36.51600
826.00,35.89423
827.00,36.43188
828.00,36.22578
829.00,36.45333
830.00,36.06335
831.00,36.31045
832.00,36.49327
833.00,36.45394
834.00,36.40243
835.00,36.54151
836.00,36.41094
837.00,36.37478
838.00,36.47803
839.00,36.22442
840.00,36.15934
841.00,36.50203
842.00,36.79958
843.00,36.70356
844.00,36.36612
845.00,36.31365
846.00,36.42474
847.00,35.96531
848.00,36.95097
849.00,35.92829
850.00,36.68687
851.00,36.21887
852.00,35.85101
853.00,36.51507
854.00,36.28984
855.00,36.16767
856.00,35.88973
857.00,36.13566
858.00,37.04659
859.00,36.54537
860.00,37.23356
861.00,36.67980
862.00,36.17929
863.00,36.27105
864.00,36.19857
865.00,37.07602
866.00,35.55512
867.00,36.26569
868.00,35.64109
869.00,35.81201
870.00,35.68486
871.00,37.09434
872.00,37.49676
873.00,36.30672
874.00,35.50760
875.00,36.09194
876.00,34.57474
877.00,35.93875
878.00,38.44346
879.00,33.09392
880.00,35.31035
881.00,34.64885
882.00,37.76274
