"Cu2AgBiI6_V - RawData"
"Wavelength nm.","T%"
400.00,0.30959
401.00,0.31328
402.00,0.32325
403.00,0.32369
404.00,0.33120
405.00,0.33446
406.00,0.34260
407.00,0.34808
408.00,0.35543
409.00,0.35693
410.00,0.36356
411.00,0.37149
412.00,0.37830
413.00,0.38829
414.00,0.39135
415.00,0.38931
416.00,0.40058
417.00,0.41367
418.00,0.41824
419.00,0.42771
420.00,0.42607
421.00,0.43371
422.00,0.44307
423.00,0.44444
424.00,0.45366
425.00,0.46410
426.00,0.46764
427.00,0.47275
428.00,0.47713
429.00,0.48215
430.00,0.48426
431.00,0.49919
432.00,0.50446
433.00,0.51256
434.00,0.50948
435.00,0.52084
436.00,0.52825
437.00,0.53114
438.00,0.53850
439.00,0.54161
440.00,0.54807
441.00,0.55362
442.00,0.55918
443.00,0.56301
444.00,0.56400
445.00,0.57379
446.00,0.57722
447.00,0.57942
448.00,0.58379
449.00,0.58875
450.00,0.59361
451.00,0.60163
452.00,0.59997
453.00,0.59944
454.00,0.60501
455.00,0.61715
456.00,0.61352
457.00,0.62201
458.00,0.62429
459.00,0.62434
460.00,0.62958
461.00,0.63012
462.00,0.63227
463.00,0.63809
464.00,0.63752
465.00,0.64411
466.00,0.64231
467.00,0.64355
468.00,0.64710
469.00,0.64898
470.00,0.65575
471.00,0.65751
472.00,0.65442
473.00,0.65684
474.00,0.66057
475.00,0.65900
476.00,0.66677
477.00,0.66304
478.00,0.66421
479.00,0.66642
480.00,0.66429
481.00,0.66622
482.00,0.66279
483.00,0.67076
484.00,0.67056
485.00,0.67038
486.00,0.66795
487.00,0.66931
488.00,0.67443
489.00,0.67112
490.00,0.67193
491.00,0.67104
492.00,0.67490
493.00,0.67241
494.00,0.67670
495.00,0.67643
496.00,0.67329
497.00,0.67455
498.00,0.67919
499.00,0.67979
500.00,0.68232
501.00,0.68467
502.00,0.68174
503.00,0.68409
504.00,0.68808
505.00,0.69030
506.00,0.69071
507.00,0.69818
508.00,0.69443
509.00,0.70275
510.00,0.70599
511.00,0.71265
512.00,0.71627
513.00,0.71890
514.00,0.72911
515.00,0.73172
516.00,0.73746
517.00,0.73854
518.00,0.74320
519.00,0.74927
520.00,0.75676
521.00,0.76187
522.00,0.76584
523.00,0.77159
524.00,0.78028
525.00,0.78670
526.00,0.79666
527.00,0.79870
528.00,0.80616
529.00,0.81629
530.00,0.82387
531.00,0.83092
532.00,0.83716
533.00,0.83496
534.00,0.84535
535.00,0.85009
536.00,0.85714
537.00,0.85803
538.00,0.86040
539.00,0.86700
540.00,0.86719
541.00,0.87734
542.00,0.88117
543.00,0.88752
544.00,0.89086
545.00,0.89088
546.00,0.89290
547.00,0.90286
548.00,0.90371
549.00,0.90761
550.00,0.90467
551.00,0.91215
552.00,0.91530
553.00,0.91514
554.00,0.91898
555.00,0.91171
556.00,0.91741
557.00,0.91692
558.00,0.92237
559.00,0.91998
560.00,0.92068
561.00,0.92367
562.00,0.92449
563.00,0.93136
564.00,0.92675
565.00,0.93087
566.00,0.92774
567.00,0.93301
568.00,0.93901
569.00,0.93447
570.00,0.93673
571.00,0.93587
572.00,0.94110
573.00,0.93935
574.00,0.93525
575.00,0.94213
576.00,0.93622
577.00,0.94167
578.00,0.94407
579.00,0.94869
580.00,0.95788
581.00,0.95867
582.00,0.95516
583.00,0.96243
584.00,0.96805
585.00,0.97552
586.00,0.98197
587.00,0.98785
588.00,0.99552
589.00,1.00948
590.00,1.02110
591.00,1.02459
592.00,1.04017
593.00,1.05251
594.00,1.07048
595.00,1.09091
596.00,1.10711
597.00,1.13021
598.00,1.15376
599.00,1.18288
600.00,1.20983
601.00,1.24015
602.00,1.27579
603.00,1.32049
604.00,1.35971
605.00,1.39955
606.00,1.45463
607.00,1.51819
608.00,1.56514
609.00,1.63958
610.00,1.70899
611.00,1.78237
612.00,1.87313
613.00,1.95884
614.00,2.05651
615.00,2.16593
616.00,2.28470
617.00,2.40200
618.00,2.53835
619.00,2.68997
620.00,2.84452
621.00,3.00689
622.00,3.18242
623.00,3.35626
624.00,3.53906
625.00,3.73777
626.00,3.94664
627.00,4.16033
628.00,4.38592
629.00,4.61657
630.00,4.85898
631.00,5.09513
632.00,5.35877
633.00,5.62207
634.00,5.90370
635.00,6.20639
636.00,6.50954
637.00,6.79884
638.00,7.10874
639.00,7.44247
640.00,7.80385
641.00,8.12997
642.00,8.47319
643.00,8.81569
644.00,9.19735
645.00,9.55361
646.00,9.93253
647.00,10.30008
648.00,10.65677
649.00,11.03624
650.00,11.40487
651.00,11.79496
652.00,12.16980
653.00,12.52640
654.00,12.95155
655.00,13.35289
656.00,13.72334
657.00,14.10866
658.00,14.50535
659.00,14.88314
660.00,15.27314
661.00,15.70202
662.00,16.07272
663.00,16.50119
664.00,16.85188
665.00,17.25803
666.00,17.61247
667.00,17.97536
668.00,18.35169
669.00,18.73046
670.00,19.06734
671.00,19.38951
672.00,19.74332
673.00,20.08063
674.00,20.37458
675.00,20.70866
676.00,21.02031
677.00,21.32952
678.00,21.61872
679.00,21.89174
680.00,22.21861
681.00,22.46141
682.00,22.70864
683.00,22.94882
684.00,23.27216
685.00,23.51914
686.00,23.74941
687.00,23.97137
688.00,24.18171
689.00,24.37656
690.00,24.62541
691.00,24.86966
692.00,24.99264
693.00,25.16384
694.00,25.30747
695.00,25.52185
696.00,25.65598
697.00,25.87528
698.00,26.05742
699.00,26.14746
700.00,26.29153
701.00,26.50141
702.00,26.56910
703.00,26.78464
704.00,26.85394
705.00,27.01273
706.00,27.15867
707.00,27.18521
708.00,27.37924
709.00,27.38775
710.00,27.48609
711.00,27.67982
712.00,27.76305
713.00,27.80441
714.00,27.97295
715.00,27.90249
716.00,28.11196
717.00,28.17575
718.00,28.17836
719.00,28.30149
720.00,28.40078
721.00,28.40774
722.00,28.48803
723.00,28.56652
724.00,28.59830
725.00,28.67774
726.00,28.78226
727.00,28.82230
728.00,28.84895
729.00,28.94733
730.00,29.01761
731.00,29.03903
732.00,29.12062
733.00,29.10059
734.00,29.20127
735.00,29.35524
736.00,29.33265
737.00,29.41389
738.00,29.38944
739.00,29.53821
740.00,29.53087
741.00,29.58131
742.00,29.58105
743.00,29.51191
744.00,29.64941
745.00,29.62622
746.00,29.68130
747.00,29.75118
748.00,29.80283
749.00,29.83997
750.00,29.79739
751.00,29.72875
752.00,29.86860
753.00,29.92527
754.00,29.95387
755.00,30.04520
756.00,30.12752
757.00,30.03411
758.00,30.10334
759.00,30.15783
760.00,30.15037
761.00,30.19062
762.00,30.27402
763.00,30.25958
764.00,30.11387
765.00,30.28809
766.00,30.36436
767.00,30.42931
768.00,30.43098
769.00,30.42663
770.00,30.43539
771.00,30.54909
772.00,30.46263
773.00,30.41592
774.00,30.53779
775.00,30.63741
776.00,30.45113
777.00,30.57453
778.00,30.67238
779.00,30.64672
780.00,30.57036
781.00,30.71305
782.00,30.71862
783.00,30.56574
784.00,30.87180
785.00,30.84573
786.00,30.78215
787.00,30.69364
788.00,30.96752
789.00,30.83946
790.00,30.73322
791.00,30.88647
792.00,30.84529
793.00,30.85763
794.00,30.93758
795.00,30.86250
796.00,31.02116
797.00,31.04363
798.00,30.94964
799.00,30.88582
800.00,31.21323
801.00,31.09187
802.00,31.10998
803.00,30.84936
804.00,30.99479
805.00,31.09039
806.00,30.97470
807.00,31.15020
808.00,31.03181
809.00,31.12192
810.00,31.22125
811.00,31.20887
812.00,31.12389
813.00,31.29916
814.00,31.20886
815.00,31.30909
816.00,31.10111
817.00,31.41092
818.00,31.01889
819.00,31.49473
820.00,31.34283
821.00,31.33510
822.00,31.43926
823.00,31.37554
824.00,31.29432
825.00,31.37186
826.00,31.41752
827.00,31.50570
828.00,31.51428
829.00,31.27427
830.00,31.38188
831.00,31.43816
832.00,31.63968
833.00,31.75416
834.00,31.69563
835.00,31.71894
836.00,31.34941
837.00,31.50903
838.00,31.41634
839.00,31.37142
840.00,31.33612
841.00,31.53270
842.00,31.23311
843.00,31.82789
844.00,31.79762
845.00,31.52757
846.00,31.44635
847.00,31.76678
848.00,31.26554
849.00,32.38039
850.00,31.57074
851.00,32.52079
852.00,31.41964
853.00,31.60475
854.00,32.33485
855.00,31.82286
856.00,32.36920
857.00,32.33419
858.00,30.54862
859.00,32.07623
860.00,31.23761
861.00,32.26651
862.00,31.35961
863.00,32.62325
864.00,31.85809
865.00,33.45136
866.00,30.62610
867.00,31.99642
868.00,32.15960
869.00,32.08901
870.00,31.39663
871.00,31.84129
872.00,30.95380
873.00,30.90260
874.00,30.37235
875.00,32.51239
876.00,31.26481
877.00,35.66400
878.00,32.98002
879.00,30.09213
880.00,32.02714
881.00,30.14525
882.00,30.23506
883.00,34.44144
884.00,28.74881
885.00,29.97723
886.00,31.05505
887.00,30.51607
888.00,31.47183
889.00,32.06393
890.00,33.51539
891.00,33.66495
892.00,34.57312
893.00,31.79132
894.00,29.91892
895.00,30.10072
896.00,28.25480
897.00,29.41385
898.00,31.26206
899.00,30.57011
900.00,33.88281
