"Ag2BiI5_Old - RawData"
"Wavelength nm.","T%"
400.00,0.09780
401.00,0.09985
402.00,0.09900
403.00,0.10003
404.00,0.10282
405.00,0.09703
406.00,0.10243
407.00,0.10133
408.00,0.10330
409.00,0.10534
410.00,0.10160
411.00,0.10144
412.00,0.10290
413.00,0.10269
414.00,0.10630
415.00,0.10095
416.00,0.10262
417.00,0.10247
418.00,0.10100
419.00,0.10343
420.00,0.09801
421.00,0.09869
422.00,0.09887
423.00,0.10040
424.00,0.10071
425.00,0.10761
426.00,0.11494
427.00,0.12288
428.00,0.13650
429.00,0.15242
430.00,0.16916
431.00,0.18624
432.00,0.19816
433.00,0.20944
434.00,0.21966
435.00,0.22713
436.00,0.22955
437.00,0.23453
438.00,0.24448
439.00,0.24643
440.00,0.25221
441.00,0.25748
442.00,0.26313
443.00,0.26481
444.00,0.27013
445.00,0.27411
446.00,0.28015
447.00,0.28595
448.00,0.28832
449.00,0.29351
450.00,0.29513
451.00,0.30247
452.00,0.30397
453.00,0.30839
454.00,0.31543
455.00,0.32039
456.00,0.32561
457.00,0.33013
458.00,0.33807
459.00,0.33834
460.00,0.34894
461.00,0.35083
462.00,0.35698
463.00,0.36081
464.00,0.36768
465.00,0.36954
466.00,0.37566
467.00,0.38204
468.00,0.38964
469.00,0.38868
470.00,0.39108
471.00,0.40304
472.00,0.40874
473.00,0.41248
474.00,0.41594
475.00,0.42426
476.00,0.42285
477.00,0.43301
478.00,0.43586
479.00,0.44189
480.00,0.44636
481.00,0.45278
482.00,0.45723
483.00,0.46010
484.00,0.46343
485.00,0.47299
486.00,0.47324
487.00,0.48119
488.00,0.48671
489.00,0.49390
490.00,0.49893
491.00,0.50621
492.00,0.50782
493.00,0.51015
494.00,0.51849
495.00,0.52360
496.00,0.53456
497.00,0.53391
498.00,0.53836
499.00,0.54754
500.00,0.55258
501.00,0.55627
502.00,0.56633
503.00,0.57116
504.00,0.57846
505.00,0.58281
506.00,0.58789
507.00,0.59686
508.00,0.60888
509.00,0.60897
510.00,0.61345
511.00,0.62296
512.00,0.62795
513.00,0.63494
514.00,0.64680
515.00,0.64916
516.00,0.65452
517.00,0.66362
518.00,0.66834
519.00,0.67715
520.00,0.68414
521.00,0.68968
522.00,0.69168
523.00,0.70095
524.00,0.70660
525.00,0.71129
526.00,0.71579
527.00,0.71932
528.00,0.72539
529.00,0.73784
530.00,0.74365
531.00,0.74753
532.00,0.75397
533.00,0.75293
534.00,0.76158
535.00,0.76658
536.00,0.76848
537.00,0.77718
538.00,0.77722
539.00,0.78555
540.00,0.78658
541.00,0.78913
542.00,0.79445
543.00,0.80024
544.00,0.80427
545.00,0.80824
546.00,0.81185
547.00,0.81666
548.00,0.81494
549.00,0.81754
550.00,0.82541
551.00,0.82339
552.00,0.83212
553.00,0.84134
554.00,0.83777
555.00,0.84442
556.00,0.84968
557.00,0.85258
558.00,0.85829
559.00,0.86319
560.00,0.86818
561.00,0.87583
562.00,0.88145
563.00,0.88129
564.00,0.88747
565.00,0.89583
566.00,0.90878
567.00,0.91546
568.00,0.92212
569.00,0.93354
570.00,0.94208
571.00,0.95537
572.00,0.96829
573.00,0.98241
574.00,0.99767
575.00,1.01339
576.00,1.03134
577.00,1.05041
578.00,1.07523
579.00,1.08705
580.00,1.10970
581.00,1.14069
582.00,1.16490
583.00,1.20026
584.00,1.22357
585.00,1.24837
586.00,1.29116
587.00,1.32501
588.00,1.37184
589.00,1.41689
590.00,1.46215
591.00,1.50939
592.00,1.56298
593.00,1.62824
594.00,1.69512
595.00,1.76218
596.00,1.83223
597.00,1.91967
598.00,2.00253
599.00,2.08349
600.00,2.18549
601.00,2.28642
602.00,2.39779
603.00,2.50693
604.00,2.62790
605.00,2.76711
606.00,2.91165
607.00,3.04421
608.00,3.21368
609.00,3.37037
610.00,3.55329
611.00,3.73875
612.00,3.93736
613.00,4.11449
614.00,4.36011
615.00,4.56881
616.00,4.83094
617.00,5.08051
618.00,5.34907
619.00,5.65649
620.00,5.95473
621.00,6.26273
622.00,6.57334
623.00,6.88224
624.00,7.23651
625.00,7.60115
626.00,7.96009
627.00,8.33005
628.00,8.71072
629.00,9.09230
630.00,9.49571
631.00,9.91857
632.00,10.34163
633.00,10.77785
634.00,11.23775
635.00,11.71002
636.00,12.16227
637.00,12.64144
638.00,13.09999
639.00,13.58841
640.00,14.12762
641.00,14.66567
642.00,15.17088
643.00,15.64416
644.00,16.16917
645.00,16.71245
646.00,17.22310
647.00,17.78669
648.00,18.24613
649.00,18.75973
650.00,19.28067
651.00,19.77934
652.00,20.29648
653.00,20.80581
654.00,21.30355
655.00,21.76863
656.00,22.28421
657.00,22.80595
658.00,23.27743
659.00,23.77355
660.00,24.29750
661.00,24.76671
662.00,25.25622
663.00,25.79847
664.00,26.30936
665.00,26.83828
666.00,27.25730
667.00,27.65238
668.00,28.22589
669.00,28.72938
670.00,29.15970
671.00,29.55305
672.00,30.05659
673.00,30.41493
674.00,30.91221
675.00,31.37283
676.00,31.79768
677.00,32.28495
678.00,32.63303
679.00,33.08333
680.00,33.47517
681.00,33.99435
682.00,34.37216
683.00,34.79168
684.00,35.19407
685.00,35.57593
686.00,35.90770
687.00,36.40241
688.00,36.69515
689.00,37.05315
690.00,37.41958
691.00,37.82429
692.00,38.24037
693.00,38.55554
694.00,38.85640
695.00,39.09056
696.00,39.46629
697.00,39.74582
698.00,39.99765
699.00,40.28283
700.00,40.60754
701.00,40.92656
702.00,41.12839
703.00,41.30606
704.00,41.56755
705.00,41.82136
706.00,42.01509
707.00,42.20858
708.00,42.45376
709.00,42.62123
710.00,42.76804
711.00,42.93720
712.00,43.16614
713.00,43.30335
714.00,43.38693
715.00,43.66955
716.00,43.71850
717.00,43.79954
718.00,43.93202
719.00,44.08262
720.00,44.13983
721.00,44.31516
722.00,44.21257
723.00,44.50331
724.00,44.40535
725.00,44.44212
726.00,44.45266
727.00,44.70375
728.00,44.63123
729.00,44.64798
730.00,44.79487
731.00,44.76738
732.00,44.85902
733.00,45.01994
734.00,44.99310
735.00,44.96909
736.00,44.88297
737.00,44.87539
738.00,44.84559
739.00,45.06542
740.00,44.89457
741.00,45.03193
742.00,45.08408
743.00,45.02307
744.00,45.11831
745.00,44.92195
746.00,45.11703
747.00,44.95258
748.00,45.03189
749.00,45.03950
750.00,45.11498
751.00,45.12759
752.00,45.15970
753.00,44.99733
754.00,45.24618
755.00,44.98853
756.00,45.04772
757.00,45.21641
758.00,45.33203
759.00,45.22757
760.00,45.30251
761.00,45.21566
762.00,45.22058
763.00,45.29728
764.00,45.09610
765.00,45.49121
766.00,45.45673
767.00,45.39371
768.00,45.50703
769.00,45.64214
770.00,45.35402
771.00,45.67777
772.00,45.65630
773.00,45.80627
774.00,45.75925
775.00,45.66125
776.00,45.72800
777.00,45.88023
778.00,45.96471
779.00,45.89190
780.00,45.98251
781.00,46.20806
782.00,46.19945
783.00,46.31228
784.00,46.44047
785.00,46.47636
786.00,46.54778
787.00,46.53096
788.00,46.89485
789.00,46.59359
790.00,46.84733
791.00,46.98864
792.00,47.03570
793.00,46.99779
794.00,47.19771
795.00,47.24913
796.00,47.38375
797.00,47.44010
798.00,47.40413
799.00,47.55730
800.00,47.90446
801.00,47.56743
802.00,47.72479
803.00,48.02184
804.00,48.35486
805.00,48.48405
806.00,48.19374
807.00,48.53134
808.00,48.44954
809.00,48.81337
810.00,48.63521
811.00,49.02853
812.00,49.00907
813.00,49.20502
814.00,49.11789
815.00,49.35699
816.00,49.52596
817.00,49.67386
818.00,49.46809
819.00,49.70085
820.00,49.85868
821.00,49.77883
822.00,50.40585
823.00,50.55191
824.00,50.61662
825.00,50.12408
826.00,50.55525
827.00,50.87072
828.00,50.57995
829.00,50.81495
830.00,50.78927
831.00,50.94022
832.00,51.35664
833.00,51.40698
834.00,51.43299
835.00,51.25209
836.00,51.53744
837.00,51.15325
838.00,51.26963
839.00,51.83536
840.00,52.24499
841.00,51.62895
842.00,52.52676
843.00,52.37193
844.00,52.15760
845.00,52.52925
846.00,53.13140
847.00,52.49268
848.00,52.72551
849.00,53.08067
850.00,52.96398
851.00,52.21148
852.00,53.74308
853.00,52.09217
854.00,53.43726
855.00,53.07976
856.00,53.30669
857.00,52.90629
858.00,52.28422
859.00,52.46673
860.00,54.15578
861.00,54.49961
862.00,54.39046
863.00,53.41038
864.00,54.00496
865.00,53.15689
866.00,53.63669
867.00,52.41126
868.00,51.50881
869.00,54.03265
870.00,55.74532
871.00,53.52093
872.00,53.76493
873.00,56.31273
874.00,54.11432
875.00,58.21148
876.00,53.40468
877.00,50.71934
878.00,55.61301
879.00,54.12984
880.00,56.31162
881.00,54.19927
882.00,51.28666
883.00,56.84452
884.00,52.24005
885.00,52.21341
886.00,58.62780
887.00,54.77062
888.00,58.57987
889.00,56.58510
890.00,51.42852
891.00,54.36217
892.00,55.73900
893.00,50.77144
894.00,55.87236
895.00,54.33319
896.00,55.31283
897.00,60.72246
898.00,56.12175
899.00,49.52040
900.00,52.09540
