"Cu2AgBiI6_VI - RawData"
"Wavelength nm.","T%"
400.00,2.26574
401.00,2.31345
402.00,2.33149
403.00,2.36959
404.00,2.40219
405.00,2.45048
406.00,2.47984
407.00,2.51883
408.00,2.54890
409.00,2.59100
410.00,2.61543
411.00,2.64705
412.00,2.69697
413.00,2.73701
414.00,2.76508
415.00,2.79949
416.00,2.84409
417.00,2.88279
418.00,2.92144
419.00,2.95722
420.00,2.99576
421.00,3.03460
422.00,3.06665
423.00,3.11106
424.00,3.13900
425.00,3.16339
426.00,3.21192
427.00,3.23405
428.00,3.27594
429.00,3.29316
430.00,3.33792
431.00,3.35007
432.00,3.39538
433.00,3.40841
434.00,3.44089
435.00,3.46751
436.00,3.48345
437.00,3.52273
438.00,3.53777
439.00,3.56638
440.00,3.59313
441.00,3.60285
442.00,3.62363
443.00,3.64757
444.00,3.68251
445.00,3.68990
446.00,3.72207
447.00,3.73996
448.00,3.76129
449.00,3.77596
450.00,3.78668
451.00,3.80854
452.00,3.80930
453.00,3.82891
454.00,3.83330
455.00,3.86763
456.00,3.87697
457.00,3.88654
458.00,3.91253
459.00,3.92565
460.00,3.94638
461.00,3.94371
462.00,3.97188
463.00,3.98636
464.00,3.99085
465.00,4.00299
466.00,4.02849
467.00,4.03977
468.00,4.03350
469.00,4.07369
470.00,4.06782
471.00,4.08871
472.00,4.09410
473.00,4.10233
474.00,4.11968
475.00,4.13308
476.00,4.14768
477.00,4.16458
478.00,4.17206
479.00,4.17118
480.00,4.17656
481.00,4.19668
482.00,4.19413
483.00,4.21336
484.00,4.21135
485.00,4.23408
486.00,4.24778
487.00,4.24728
488.00,4.25073
489.00,4.27299
490.00,4.27695
491.00,4.28132
492.00,4.28115
493.00,4.29697
494.00,4.29012
495.00,4.30418
496.00,4.29956
497.00,4.31771
498.00,4.31833
499.00,4.32394
500.00,4.34523
501.00,4.33836
502.00,4.36415
503.00,4.36449
504.00,4.38095
505.00,4.38601
506.00,4.39394
507.00,4.40668
508.00,4.42183
509.00,4.43717
510.00,4.45699
511.00,4.47237
512.00,4.49082
513.00,4.50743
514.00,4.52494
515.00,4.54548
516.00,4.56042
517.00,4.60575
518.00,4.63054
519.00,4.64761
520.00,4.67393
521.00,4.70972
522.00,4.71892
523.00,4.76117
524.00,4.79614
525.00,4.82119
526.00,4.85800
527.00,4.88097
528.00,4.91992
529.00,4.95397
530.00,4.99123
531.00,5.03277
532.00,5.05908
533.00,5.09104
534.00,5.13353
535.00,5.16440
536.00,5.18215
537.00,5.23746
538.00,5.26291
539.00,5.29821
540.00,5.33790
541.00,5.35122
542.00,5.37502
543.00,5.40921
544.00,5.43473
545.00,5.48067
546.00,5.50351
547.00,5.53080
548.00,5.55170
549.00,5.58456
550.00,5.60741
551.00,5.63359
552.00,5.64980
553.00,5.66548
554.00,5.69234
555.00,5.71120
556.00,5.74281
557.00,5.73573
558.00,5.75544
559.00,5.78393
560.00,5.78883
561.00,5.79795
562.00,5.81810
563.00,5.84232
564.00,5.85218
565.00,5.84897
566.00,5.86493
567.00,5.87687
568.00,5.89081
569.00,5.89990
570.00,5.91563
571.00,5.92101
572.00,5.93113
573.00,5.93853
574.00,5.94106
575.00,5.96490
576.00,5.98148
577.00,5.98281
578.00,5.99671
579.00,6.00194
580.00,6.01820
581.00,6.03542
582.00,6.03862
583.00,6.04738
584.00,6.07008
585.00,6.07973
586.00,6.09640
587.00,6.10881
588.00,6.11834
589.00,6.15341
590.00,6.16896
591.00,6.19280
592.00,6.20041
593.00,6.22355
594.00,6.25721
595.00,6.27193
596.00,6.31248
597.00,6.32705
598.00,6.38429
599.00,6.40028
600.00,6.44618
601.00,6.48708
602.00,6.52402
603.00,6.56502
604.00,6.63694
605.00,6.67494
606.00,6.74061
607.00,6.80581
608.00,6.87145
609.00,6.94176
610.00,7.03879
611.00,7.10619
612.00,7.19728
613.00,7.29278
614.00,7.40983
615.00,7.52579
616.00,7.66704
617.00,7.78516
618.00,7.93094
619.00,8.08924
620.00,8.22721
621.00,8.43756
622.00,8.60972
623.00,8.79235
624.00,9.00871
625.00,9.20922
626.00,9.42046
627.00,9.64342
628.00,9.85769
629.00,10.10874
630.00,10.35700
631.00,10.61734
632.00,10.87584
633.00,11.13188
634.00,11.41467
635.00,11.72250
636.00,12.02061
637.00,12.32456
638.00,12.63773
639.00,12.99882
640.00,13.28681
641.00,13.64101
642.00,13.98053
643.00,14.30553
644.00,14.65281
645.00,14.99700
646.00,15.35587
647.00,15.69309
648.00,16.07471
649.00,16.45274
650.00,16.79593
651.00,17.10841
652.00,17.51773
653.00,17.85305
654.00,18.24384
655.00,18.58000
656.00,18.89943
657.00,19.30431
658.00,19.68186
659.00,20.07127
660.00,20.41982
661.00,20.84207
662.00,21.15271
663.00,21.53797
664.00,21.90428
665.00,22.24448
