"CuAgBiI5_VIII - RawData"
"Wavelength nm.","T%"
400.00,0.00920
401.00,0.01020
402.00,0.00945
403.00,0.00905
404.00,0.00960
405.00,0.00973
406.00,0.01048
407.00,0.00984
408.00,0.01076
409.00,0.01023
410.00,0.01070
411.00,0.01169
412.00,0.01116
413.00,0.01048
414.00,0.01076
415.00,0.01128
416.00,0.01090
417.00,0.01056
418.00,0.01111
419.00,0.01041
420.00,0.01133
421.00,0.01123
422.00,0.01179
423.00,0.01374
424.00,0.01496
425.00,0.01586
426.00,0.01795
427.00,0.02034
428.00,0.02008
429.00,0.02099
430.00,0.02297
431.00,0.02306
432.00,0.02397
433.00,0.02461
434.00,0.02425
435.00,0.02519
436.00,0.02704
437.00,0.02776
438.00,0.02876
439.00,0.02930
440.00,0.02886
441.00,0.03033
442.00,0.03253
443.00,0.03186
444.00,0.03320
445.00,0.03448
446.00,0.03499
447.00,0.03645
448.00,0.03588
449.00,0.03848
450.00,0.03894
451.00,0.03941
452.00,0.04083
453.00,0.04265
454.00,0.04241
455.00,0.04427
456.00,0.04436
457.00,0.04510
458.00,0.04839
459.00,0.04862
460.00,0.04938
461.00,0.05091
462.00,0.05234
463.00,0.05293
464.00,0.05445
465.00,0.05618
466.00,0.05510
467.00,0.05775
468.00,0.05872
469.00,0.06160
470.00,0.06261
471.00,0.06361
472.00,0.06498
473.00,0.06477
474.00,0.06718
475.00,0.06914
476.00,0.06970
477.00,0.07056
478.00,0.07215
479.00,0.07305
480.00,0.07632
481.00,0.07658
482.00,0.07802
483.00,0.08014
484.00,0.08137
485.00,0.08105
486.00,0.08601
487.00,0.08601
488.00,0.08897
489.00,0.08960
490.00,0.08978
491.00,0.09240
492.00,0.09392
493.00,0.09613
494.00,0.09558
495.00,0.09786
496.00,0.10124
497.00,0.10010
498.00,0.10233
499.00,0.10411
500.00,0.10549
501.00,0.10642
502.00,0.10848
503.00,0.10908
504.00,0.11168
505.00,0.11326
506.00,0.11346
507.00,0.11598
508.00,0.11632
509.00,0.11746
510.00,0.11951
511.00,0.12074
512.00,0.12450
513.00,0.12377
514.00,0.12582
515.00,0.12630
516.00,0.12728
517.00,0.12990
518.00,0.13192
519.00,0.13307
520.00,0.13027
521.00,0.13247
522.00,0.13413
523.00,0.13468
524.00,0.13195
525.00,0.13422
526.00,0.13489
527.00,0.13786
528.00,0.13746
529.00,0.13728
530.00,0.13986
531.00,0.14038
532.00,0.13971
533.00,0.14082
534.00,0.14014
535.00,0.13927
536.00,0.13988
537.00,0.14114
538.00,0.14097
539.00,0.14158
540.00,0.14223
541.00,0.13983
542.00,0.14207
543.00,0.13995
544.00,0.13991
545.00,0.14081
546.00,0.13877
547.00,0.13992
548.00,0.13862
549.00,0.13792
550.00,0.14039
551.00,0.13698
552.00,0.13657
553.00,0.13752
554.00,0.13751
555.00,0.13532
556.00,0.13684
557.00,0.13461
558.00,0.13502
559.00,0.13525
560.00,0.13462
561.00,0.13682
562.00,0.13654
563.00,0.13676
564.00,0.13733
565.00,0.14065
566.00,0.13998
567.00,0.13963
568.00,0.14048
569.00,0.14171
570.00,0.14581
571.00,0.14883
572.00,0.14913
573.00,0.15127
574.00,0.15475
575.00,0.15988
576.00,0.16344
577.00,0.16641
578.00,0.17171
579.00,0.17514
580.00,0.18200
581.00,0.19135
582.00,0.19721
583.00,0.20505
584.00,0.21522
585.00,0.22488
586.00,0.23517
587.00,0.24751
588.00,0.26059
589.00,0.27798
590.00,0.29293
591.00,0.31498
592.00,0.33844
593.00,0.35853
594.00,0.38676
595.00,0.41909
596.00,0.44810
597.00,0.48423
598.00,0.52833
599.00,0.57128
600.00,0.62083
601.00,0.67839
602.00,0.73405
603.00,0.80012
604.00,0.88038
605.00,0.95549
606.00,1.04088
607.00,1.12882
608.00,1.23009
609.00,1.35317
610.00,1.46131
611.00,1.59328
612.00,1.73329
613.00,1.88464
614.00,2.04550
615.00,2.23238
616.00,2.41452
617.00,2.62358
618.00,2.85254
619.00,3.07318
620.00,3.31635
621.00,3.58693
622.00,3.84754
623.00,4.11940
624.00,4.43435
625.00,4.73174
626.00,5.02081
627.00,5.36918
628.00,5.67947
629.00,6.04329
630.00,6.38083
631.00,6.76180
632.00,7.12030
633.00,7.50214
634.00,7.89613
635.00,8.29163
636.00,8.70612
637.00,9.11398
638.00,9.54012
639.00,9.96028
640.00,10.41036
641.00,10.85870
642.00,11.29445
643.00,11.71549
644.00,12.17110
645.00,12.60192
646.00,13.04383
647.00,13.45979
648.00,13.91359
649.00,14.37379
650.00,14.76087
651.00,15.18767
652.00,15.63913
653.00,16.02763
654.00,16.46761
655.00,16.89589
656.00,17.25643
657.00,17.71272
658.00,18.14038
659.00,18.56360
660.00,19.00670
661.00,19.44459
662.00,19.81817
663.00,20.26036
664.00,20.68296
665.00,21.09424
666.00,21.52915
667.00,21.86270
668.00,22.28391
669.00,22.65444
670.00,23.05212
671.00,23.41156
672.00,23.84191
673.00,24.17137
674.00,24.52486
675.00,24.93068
676.00,25.32041
677.00,25.61868
678.00,25.95645
679.00,26.33829
680.00,26.77063
681.00,27.03973
682.00,27.42872
683.00,27.73890
684.00,28.04590
685.00,28.38408
686.00,28.62490
687.00,29.00736
688.00,29.29043
689.00,29.56893
690.00,29.86033
691.00,30.10380
692.00,30.41404
693.00,30.68241
694.00,30.88664
695.00,31.15226
696.00,31.40111
697.00,31.65981
698.00,31.81023
699.00,32.06552
700.00,32.32807
701.00,32.44793
702.00,32.65674
703.00,32.85966
704.00,33.02738
705.00,33.19881
706.00,33.32814
707.00,33.52412
708.00,33.69959
709.00,33.74808
710.00,34.01310
711.00,34.13948
712.00,34.33255
713.00,34.32602
714.00,34.62805
715.00,34.60034
716.00,34.69557
717.00,34.85589
718.00,34.95812
719.00,35.04547
720.00,35.16072
721.00,35.20740
722.00,35.27655
723.00,35.46814
724.00,35.46067
725.00,35.61435
726.00,35.72271
727.00,35.86302
728.00,35.90234
729.00,36.00038
730.00,36.18931
731.00,36.26190
732.00,36.33865
733.00,36.43698
734.00,36.55237
735.00,36.67248
736.00,36.76018
737.00,36.91886
738.00,36.95764
739.00,36.98343
740.00,37.24513
741.00,37.32095
742.00,37.43960
743.00,37.46271
744.00,37.66882
745.00,37.76261
746.00,37.81651
747.00,38.01777
748.00,38.27694
749.00,38.35320
750.00,38.37009
751.00,38.52005
752.00,38.66792
753.00,38.83683
754.00,39.02985
755.00,39.09289
756.00,39.34542
757.00,39.43619
758.00,39.53550
759.00,39.72756
760.00,39.89085
761.00,40.08867
762.00,40.16763
763.00,40.46980
764.00,40.51574
765.00,40.60901
766.00,40.95796
767.00,41.15618
768.00,41.25527
769.00,41.56746
770.00,41.45295
771.00,41.84131
772.00,41.96423
773.00,42.06070
774.00,42.28026
775.00,42.55512
776.00,42.52158
777.00,42.65857
778.00,42.89463
779.00,42.97491
780.00,43.13852
781.00,43.48038
782.00,43.78555
783.00,43.61995
784.00,43.81554
785.00,44.06807
786.00,44.32441
787.00,44.44298
788.00,44.57162
789.00,44.64294
790.00,44.76609
791.00,45.01194
792.00,45.28099
793.00,45.15552
794.00,45.58399
795.00,45.61707
796.00,45.82310
797.00,46.08819
798.00,45.99754
799.00,46.36141
800.00,46.36062
801.00,46.44479
802.00,46.38781
803.00,46.63180
804.00,47.30645
805.00,47.22520
806.00,47.00822
807.00,47.27183
808.00,47.40851
809.00,47.71242
810.00,47.86243
811.00,47.89673
812.00,48.17924
813.00,48.24257
814.00,48.37599
815.00,48.52973
816.00,48.60815
817.00,48.66064
818.00,48.48659
819.00,49.04450
820.00,49.00626
821.00,49.19630
822.00,49.38045
823.00,49.40279
824.00,49.64093
825.00,49.75950
826.00,49.71450
827.00,50.00572
828.00,50.15188
829.00,49.91470
830.00,49.85584
831.00,49.63188
832.00,50.54752
833.00,50.42070
834.00,51.06861
835.00,50.93119
836.00,51.03160
837.00,50.64614
838.00,51.19650
839.00,50.29410
840.00,51.50306
841.00,51.20710
842.00,51.23250
843.00,51.07684
844.00,51.28706
845.00,51.69533
846.00,52.18583
847.00,51.41031
848.00,51.19387
849.00,52.09923
850.00,52.20530
851.00,52.98462
852.00,52.41731
853.00,52.18062
854.00,52.10565
855.00,50.95472
856.00,51.44100
857.00,52.91546
858.00,52.38888
859.00,53.75265
860.00,51.95003
861.00,52.55554
862.00,52.00697
863.00,51.49944
864.00,51.07742
865.00,52.71314
866.00,52.17950
867.00,52.40612
868.00,52.25297
869.00,51.47245
870.00,50.68972
871.00,49.51753
872.00,49.58212
873.00,53.29415
874.00,51.95647
875.00,51.68614
876.00,50.50259
877.00,55.35465
878.00,51.10185
879.00,48.69167
880.00,51.94187
881.00,52.29397
882.00,47.80702
883.00,56.14525
884.00,54.17936
885.00,54.01391
886.00,52.69798
887.00,46.29597
888.00,49.84366
889.00,51.08163
890.00,56.41844
891.00,53.51812
892.00,50.75247
893.00,53.14144
894.00,50.62869
895.00,53.20973
896.00,47.89019
897.00,43.22248
898.00,48.84422
899.00,56.54445
900.00,49.88046
