"CuAgBiI5_VII - RawData"
"Wavelength nm.","T%"
400.00,0.00644
401.00,0.00525
402.00,0.00579
403.00,0.00584
404.00,0.00586
405.00,0.00662
406.00,0.00604
407.00,0.00688
408.00,0.00681
409.00,0.00695
410.00,0.00712
411.00,0.00754
412.00,0.00725
413.00,0.00683
414.00,0.00713
415.00,0.00789
416.00,0.00825
417.00,0.00870
418.00,0.00860
419.00,0.00937
420.00,0.00955
421.00,0.00948
422.00,0.01020
423.00,0.01051
424.00,0.01077
425.00,0.01139
426.00,0.01204
427.00,0.01325
428.00,0.01397
429.00,0.01518
430.00,0.01625
431.00,0.01774
432.00,0.01793
433.00,0.01837
434.00,0.02021
435.00,0.01996
436.00,0.02235
437.00,0.02309
438.00,0.02353
439.00,0.02511
440.00,0.02569
441.00,0.02723
442.00,0.02759
443.00,0.02900
444.00,0.02907
445.00,0.03079
446.00,0.03170
447.00,0.03209
448.00,0.03338
449.00,0.03484
450.00,0.03588
451.00,0.03718
452.00,0.03798
453.00,0.03885
454.00,0.03965
455.00,0.04235
456.00,0.04356
457.00,0.04297
458.00,0.04570
459.00,0.04620
460.00,0.04801
461.00,0.04991
462.00,0.05077
463.00,0.05167
464.00,0.05406
465.00,0.05494
466.00,0.05654
467.00,0.05838
468.00,0.05938
469.00,0.06185
470.00,0.06186
471.00,0.06412
472.00,0.06602
473.00,0.06740
474.00,0.06963
475.00,0.07119
476.00,0.07361
477.00,0.07490
478.00,0.07655
479.00,0.07855
480.00,0.08234
481.00,0.08192
482.00,0.08462
483.00,0.08603
484.00,0.08793
485.00,0.09027
486.00,0.09050
487.00,0.09405
488.00,0.09442
489.00,0.09731
490.00,0.09797
491.00,0.10183
492.00,0.10267
493.00,0.10392
494.00,0.10612
495.00,0.11017
496.00,0.11151
497.00,0.11289
498.00,0.11476
499.00,0.11582
500.00,0.11933
501.00,0.12066
502.00,0.12406
503.00,0.12525
504.00,0.12594
505.00,0.12887
506.00,0.13032
507.00,0.13198
508.00,0.13595
509.00,0.13682
510.00,0.13661
511.00,0.14097
512.00,0.14295
513.00,0.14473
514.00,0.14748
515.00,0.14605
516.00,0.14925
517.00,0.14902
518.00,0.15086
519.00,0.15328
520.00,0.15629
521.00,0.15402
522.00,0.15766
523.00,0.15892
524.00,0.16355
525.00,0.16301
526.00,0.16322
527.00,0.16297
528.00,0.16721
529.00,0.16621
530.00,0.16479
531.00,0.16911
532.00,0.16836
533.00,0.17107
534.00,0.17235
535.00,0.17091
536.00,0.17021
537.00,0.17547
538.00,0.17468
539.00,0.17680
540.00,0.17599
541.00,0.17710
542.00,0.17649
543.00,0.17679
544.00,0.17518
545.00,0.17750
546.00,0.17618
547.00,0.18034
548.00,0.17852
549.00,0.17650
550.00,0.17686
551.00,0.17725
552.00,0.17867
553.00,0.17907
554.00,0.17875
555.00,0.17923
556.00,0.18013
557.00,0.18088
558.00,0.18040
559.00,0.18326
560.00,0.18569
561.00,0.18417
562.00,0.18635
563.00,0.18775
564.00,0.18880
565.00,0.19387
566.00,0.19381
567.00,0.19550
568.00,0.19577
569.00,0.20177
570.00,0.20857
571.00,0.20808
572.00,0.21444
573.00,0.22138
574.00,0.22609
575.00,0.23075
576.00,0.23806
577.00,0.24247
578.00,0.25172
579.00,0.26344
580.00,0.27356
581.00,0.28263
582.00,0.29423
583.00,0.30658
584.00,0.32125
585.00,0.33504
586.00,0.35512
587.00,0.36663
588.00,0.38832
589.00,0.41323
590.00,0.44015
591.00,0.46851
592.00,0.49485
593.00,0.52651
594.00,0.56543
595.00,0.60415
596.00,0.64555
597.00,0.69698
598.00,0.74952
599.00,0.80563
600.00,0.86274
601.00,0.92980
602.00,1.00482
603.00,1.08615
604.00,1.17382
605.00,1.26997
606.00,1.37437
607.00,1.48489
608.00,1.59549
609.00,1.72129
610.00,1.85607
611.00,2.01124
612.00,2.17420
613.00,2.34434
614.00,2.52739
615.00,2.72664
616.00,2.93486
617.00,3.16032
618.00,3.39954
619.00,3.67006
620.00,3.94335
621.00,4.23759
622.00,4.52362
623.00,4.81673
624.00,5.17080
625.00,5.50018
626.00,5.84311
627.00,6.18821
628.00,6.57037
629.00,6.95699
630.00,7.32907
631.00,7.72369
632.00,8.14666
633.00,8.58833
634.00,9.01830
635.00,9.48869
636.00,9.93533
637.00,10.41036
638.00,10.88781
639.00,11.35884
640.00,11.84433
641.00,12.35011
642.00,12.84033
643.00,13.37080
644.00,13.82377
645.00,14.30835
646.00,14.82903
647.00,15.34622
648.00,15.84007
649.00,16.35571
650.00,16.86817
651.00,17.30860
652.00,17.80803
653.00,18.27984
654.00,18.75631
655.00,19.22019
656.00,19.66832
657.00,20.15496
658.00,20.62359
659.00,21.09589
660.00,21.51065
661.00,21.99651
662.00,22.48764
663.00,22.88949
664.00,23.31838
665.00,23.81471
666.00,24.15932
667.00,24.61419
668.00,25.01261
669.00,25.41595
670.00,25.77341
671.00,26.13257
672.00,26.51536
673.00,26.86973
674.00,27.16242
675.00,27.53282
676.00,27.87260
677.00,28.22558
678.00,28.54593
679.00,28.80342
680.00,29.15120
681.00,29.46126
682.00,29.70324
683.00,30.02328
684.00,30.24839
685.00,30.59751
686.00,30.92583
687.00,31.12213
688.00,31.30572
689.00,31.59993
690.00,31.88962
691.00,32.00306
692.00,32.22649
693.00,32.49487
694.00,32.69172
695.00,32.88643
696.00,33.01157
697.00,33.24564
698.00,33.35327
699.00,33.56003
700.00,33.79811
701.00,33.88950
702.00,34.07257
703.00,34.18161
704.00,34.41579
705.00,34.48135
706.00,34.61719
707.00,34.78971
708.00,34.97745
709.00,35.10785
710.00,35.22423
711.00,35.37178
712.00,35.37070
713.00,35.55986
714.00,35.63017
715.00,35.80045
716.00,35.88604
717.00,36.03660
718.00,36.10702
719.00,36.22162
720.00,36.39541
721.00,36.46781
722.00,36.54207
723.00,36.64406
724.00,36.77179
725.00,36.80447
726.00,37.00356
727.00,37.02011
728.00,37.14190
729.00,37.32025
730.00,37.36773
731.00,37.51927
732.00,37.56815
733.00,37.86421
734.00,37.72855
735.00,37.80869
736.00,37.94629
737.00,38.08309
738.00,38.12037
