"CuAgBiI5_VIII - RawData"
"Wavelength nm.","T%"
400.00,0.02056
401.00,0.01991
402.00,0.02037
403.00,0.02108
404.00,0.02185
405.00,0.02098
406.00,0.02115
407.00,0.02131
408.00,0.02238
409.00,0.02289
410.00,0.02149
411.00,0.02213
412.00,0.02365
413.00,0.02397
414.00,0.02307
415.00,0.02290
416.00,0.02398
417.00,0.02243
418.00,0.02145
419.00,0.02215
420.00,0.02264
421.00,0.02387
422.00,0.02455
423.00,0.02544
424.00,0.02795
425.00,0.02854
426.00,0.03081
427.00,0.03043
428.00,0.03401
429.00,0.03467
430.00,0.03477
431.00,0.03565
432.00,0.03819
433.00,0.03797
434.00,0.03875
435.00,0.03974
436.00,0.04082
437.00,0.04207
438.00,0.04268
439.00,0.04482
440.00,0.04465
441.00,0.04573
442.00,0.04753
443.00,0.04829
444.00,0.04932
445.00,0.05068
446.00,0.04970
447.00,0.05083
448.00,0.05312
449.00,0.05337
450.00,0.05630
451.00,0.05551
452.00,0.05688
453.00,0.05862
454.00,0.05913
455.00,0.06095
456.00,0.06105
457.00,0.06274
458.00,0.06481
459.00,0.06630
460.00,0.06574
461.00,0.06762
462.00,0.06978
463.00,0.07047
464.00,0.07272
465.00,0.07443
466.00,0.07522
467.00,0.07664
468.00,0.07689
469.00,0.08005
470.00,0.08040
471.00,0.08211
472.00,0.08458
473.00,0.08663
474.00,0.08758
475.00,0.08948
476.00,0.09050
477.00,0.09260
478.00,0.09385
479.00,0.09532
480.00,0.09642
481.00,0.09846
482.00,0.09927
483.00,0.10029
484.00,0.10213
485.00,0.10400
486.00,0.10799
487.00,0.10930
488.00,0.10846
489.00,0.11234
490.00,0.11386
491.00,0.11623
492.00,0.11808
493.00,0.11865
494.00,0.12035
495.00,0.12325
496.00,0.12389
497.00,0.12389
498.00,0.12789
499.00,0.12873
500.00,0.12930
501.00,0.13040
502.00,0.13228
503.00,0.13483
504.00,0.13699
505.00,0.13765
506.00,0.13955
507.00,0.14032
508.00,0.14113
509.00,0.14442
510.00,0.14544
511.00,0.14653
512.00,0.14897
513.00,0.15097
514.00,0.15123
515.00,0.15272
516.00,0.15547
517.00,0.15536
518.00,0.15777
519.00,0.15829
520.00,0.15736
521.00,0.15976
522.00,0.15937
523.00,0.16241
524.00,0.16387
525.00,0.16212
526.00,0.16356
527.00,0.16554
528.00,0.16480
529.00,0.16758
530.00,0.16438
531.00,0.16755
532.00,0.16869
