"Ag2BiI5_IX - RawData"
"Wavelength nm.","T%"
400.00,0.00217
401.00,0.00216
402.00,0.00294
403.00,0.00264
404.00,0.00244
405.00,0.00282
406.00,0.00304
407.00,0.00310
408.00,0.00287
409.00,0.00335
410.00,0.00313
411.00,0.00272
412.00,0.00301
413.00,0.00342
414.00,0.00301
415.00,0.00280
416.00,0.00331
417.00,0.00279
418.00,0.00316
419.00,0.00258
420.00,0.00348
421.00,0.00314
422.00,0.00351
423.00,0.00353
424.00,0.00447
425.00,0.00490
426.00,0.00602
427.00,0.00683
428.00,0.00883
429.00,0.01034
430.00,0.01173
431.00,0.01216
432.00,0.01374
433.00,0.01449
434.00,0.01592
435.00,0.01733
436.00,0.01729
437.00,0.01845
438.00,0.01969
439.00,0.01935
440.00,0.02090
441.00,0.02083
442.00,0.02193
443.00,0.02327
444.00,0.02358
445.00,0.02510
446.00,0.02423
447.00,0.02570
448.00,0.02808
449.00,0.02932
450.00,0.02924
451.00,0.03091
452.00,0.03213
453.00,0.03275
454.00,0.03214
455.00,0.03438
456.00,0.03559
457.00,0.03638
458.00,0.03737
459.00,0.03759
460.00,0.04047
461.00,0.04216
462.00,0.04336
463.00,0.04315
464.00,0.04467
465.00,0.04759
466.00,0.04848
467.00,0.05038
468.00,0.05109
469.00,0.05266
470.00,0.05459
471.00,0.05529
472.00,0.05667
473.00,0.05790
474.00,0.06034
475.00,0.06132
476.00,0.06511
477.00,0.06605
478.00,0.06688
479.00,0.06907
480.00,0.07037
481.00,0.07299
482.00,0.07301
483.00,0.07545
484.00,0.07757
485.00,0.07967
486.00,0.08150
487.00,0.08447
488.00,0.08536
489.00,0.08947
490.00,0.09051
491.00,0.09329
492.00,0.09631
493.00,0.09709
494.00,0.10016
495.00,0.10123
496.00,0.10506
497.00,0.10696
498.00,0.10905
499.00,0.11056
500.00,0.11410
501.00,0.11620
502.00,0.11975
503.00,0.12276
504.00,0.12444
505.00,0.12647
506.00,0.12871
507.00,0.13095
508.00,0.13368
509.00,0.13610
510.00,0.14145
511.00,0.14444
512.00,0.14664
513.00,0.15005
514.00,0.15051
515.00,0.15403
516.00,0.16048
517.00,0.15974
518.00,0.16379
519.00,0.16820
520.00,0.17131
521.00,0.17132
522.00,0.17476
523.00,0.17832
524.00,0.18035
525.00,0.18305
526.00,0.18823
527.00,0.18872
528.00,0.19267
529.00,0.19553
530.00,0.19926
531.00,0.20172
532.00,0.20422
533.00,0.20588
534.00,0.20849
535.00,0.21242
536.00,0.21333
537.00,0.21716
538.00,0.21946
539.00,0.22257
540.00,0.22600
541.00,0.22894
542.00,0.23096
543.00,0.23326
544.00,0.23242
545.00,0.23668
546.00,0.24046
547.00,0.24045
548.00,0.24502
549.00,0.25005
550.00,0.25151
551.00,0.25288
552.00,0.25784
553.00,0.25875
554.00,0.26128
555.00,0.26316
556.00,0.26977
557.00,0.27103
558.00,0.27299
559.00,0.27749
560.00,0.28358
561.00,0.28470
562.00,0.29196
563.00,0.29287
