"Ag2BiI5_IX - RawData"
"Wavelength nm.","T%"
400.00,0.00286
401.00,0.00275
402.00,0.00343
403.00,0.00289
404.00,0.00376
405.00,0.00411
406.00,0.00362
407.00,0.00386
408.00,0.00381
409.00,0.00450
410.00,0.00446
411.00,0.00414
412.00,0.00414
413.00,0.00388
414.00,0.00372
415.00,0.00416
416.00,0.00439
417.00,0.00405
418.00,0.00399
419.00,0.00386
420.00,0.00425
421.00,0.00411
422.00,0.00405
423.00,0.00521
424.00,0.00564
425.00,0.00609
426.00,0.00789
427.00,0.00902
428.00,0.01043
429.00,0.01293
430.00,0.01328
431.00,0.01528
432.00,0.01658
433.00,0.01815
434.00,0.01912
435.00,0.02001
436.00,0.02043
437.00,0.02113
438.00,0.02252
439.00,0.02296
440.00,0.02503
441.00,0.02533
442.00,0.02547
443.00,0.02683
444.00,0.02895
445.00,0.02855
446.00,0.02968
447.00,0.03057
448.00,0.03241
449.00,0.03389
450.00,0.03418
451.00,0.03444
452.00,0.03632
453.00,0.03707
454.00,0.03834
455.00,0.03872
456.00,0.04125
457.00,0.04323
458.00,0.04368
459.00,0.04439
460.00,0.04702
461.00,0.04694
462.00,0.04968
463.00,0.05017
464.00,0.05171
465.00,0.05347
466.00,0.05481
467.00,0.05540
468.00,0.05835
469.00,0.05864
470.00,0.06124
471.00,0.06324
472.00,0.06512
473.00,0.06675
474.00,0.06797
475.00,0.07018
476.00,0.07100
477.00,0.07365
478.00,0.07388
479.00,0.07778
480.00,0.07911
481.00,0.08045
482.00,0.08274
483.00,0.08469
484.00,0.08831
485.00,0.09015
486.00,0.09112
487.00,0.09423
488.00,0.09650
489.00,0.09797
490.00,0.09979
491.00,0.10294
492.00,0.10638
493.00,0.10709
494.00,0.10859
495.00,0.11159
496.00,0.11478
497.00,0.11671
498.00,0.11928
499.00,0.12139
500.00,0.12417
501.00,0.12699
502.00,0.12982
503.00,0.13414
504.00,0.13663
505.00,0.13858
506.00,0.14198
507.00,0.14543
508.00,0.14775
509.00,0.15192
510.00,0.15601
511.00,0.15678
512.00,0.15956
513.00,0.16131
514.00,0.16496
515.00,0.17013
516.00,0.17277
517.00,0.17756
518.00,0.18022
519.00,0.18341
520.00,0.18625
521.00,0.18994
522.00,0.19136
523.00,0.19584
524.00,0.19753
525.00,0.20078
526.00,0.20740
527.00,0.21002
528.00,0.21082
529.00,0.21257
530.00,0.21714
531.00,0.22052
532.00,0.22318
533.00,0.22795
534.00,0.23070
535.00,0.23293
536.00,0.23720
537.00,0.24111
538.00,0.24341
539.00,0.24664
540.00,0.24950
541.00,0.25388
542.00,0.25711
543.00,0.25591
544.00,0.26289
545.00,0.26649
546.00,0.26548
547.00,0.26957
548.00,0.27216
549.00,0.27410
550.00,0.27596
551.00,0.27984
552.00,0.28433
553.00,0.28814
554.00,0.28940
555.00,0.29408
556.00,0.29496
557.00,0.30220
558.00,0.30615
559.00,0.30814
560.00,0.31361
561.00,0.31789
562.00,0.32503
563.00,0.32918
564.00,0.33398
565.00,0.33715
566.00,0.34252
567.00,0.35079
568.00,0.35452
569.00,0.36311
570.00,0.37002
571.00,0.37926
572.00,0.38760
573.00,0.39807
574.00,0.40616
575.00,0.41519
576.00,0.43011
577.00,0.44211
578.00,0.45393
579.00,0.46774
580.00,0.47865
581.00,0.49972
582.00,0.51683
583.00,0.53366
584.00,0.55354
585.00,0.57035
586.00,0.59470
587.00,0.61801
588.00,0.64064
589.00,0.67235
590.00,0.70608
591.00,0.73548
592.00,0.77019
593.00,0.80787
594.00,0.84735
595.00,0.89103
596.00,0.93868
597.00,0.99160
598.00,1.05021
599.00,1.09977
600.00,1.17624
601.00,1.23265
602.00,1.30134
603.00,1.37835
604.00,1.46039
605.00,1.54933
606.00,1.64005
607.00,1.74029
608.00,1.84221
609.00,1.95429
610.00,2.06773
611.00,2.20112
612.00,2.33469
613.00,2.47909
614.00,2.63356
615.00,2.79547
616.00,2.97459
617.00,3.16173
618.00,3.34626
619.00,3.56678
620.00,3.78844
621.00,4.01263
622.00,4.25576
623.00,4.49751
624.00,4.75774
625.00,5.03577
626.00,5.30472
627.00,5.58126
628.00,5.89608
629.00,6.20868
630.00,6.52733
631.00,6.83981
632.00,7.19041
633.00,7.54760
634.00,7.92691
635.00,8.33236
636.00,8.72613
637.00,9.10853
638.00,9.50620
639.00,9.94746
640.00,10.39676
641.00,10.83800
642.00,11.30349
643.00,11.74217
644.00,12.20808
645.00,12.65066
646.00,13.12405
647.00,13.60760
648.00,14.05661
649.00,14.55005
650.00,14.97817
651.00,15.44657
652.00,15.93818
653.00,16.38071
654.00,16.85208
655.00,17.32924
656.00,17.79731
657.00,18.26589
658.00,18.78650
659.00,19.20075
660.00,19.67528
661.00,20.14612
662.00,20.59762
663.00,21.13094
664.00,21.52826
665.00,22.05544
666.00,22.52064
667.00,22.90667
668.00,23.35276
669.00,23.79821
670.00,24.23774
671.00,24.62991
672.00,25.04953
673.00,25.48109
674.00,25.88042
675.00,26.29227
676.00,26.72368
