"Ag3BiI6_I - RawData"
"Wavelength nm.","T%"
400.00,0.16558
401.00,0.17410
402.00,0.16855
403.00,0.17176
404.00,0.17794
405.00,0.17869
406.00,0.17929
407.00,0.18420
408.00,0.18290
409.00,0.18520
410.00,0.18945
411.00,0.19315
412.00,0.18889
413.00,0.18346
414.00,0.19073
415.00,0.18750
416.00,0.18367
417.00,0.18170
418.00,0.18366
419.00,0.17877
420.00,0.18453
421.00,0.18916
422.00,0.19692
423.00,0.20390
424.00,0.21665
425.00,0.23577
426.00,0.26113
427.00,0.29394
428.00,0.33018
429.00,0.37036
430.00,0.40856
431.00,0.45339
432.00,0.48641
433.00,0.52253
434.00,0.54543
435.00,0.57151
436.00,0.58256
437.00,0.59910
438.00,0.61008
439.00,0.61651
440.00,0.63056
441.00,0.64756
442.00,0.64758
443.00,0.65856
444.00,0.66099
445.00,0.67346
446.00,0.68744
447.00,0.69319
448.00,0.70538
449.00,0.71165
450.00,0.71658
451.00,0.73521
452.00,0.73954
453.00,0.74546
454.00,0.75241
455.00,0.75857
456.00,0.77419
457.00,0.78020
458.00,0.78427
459.00,0.79452
460.00,0.80270
461.00,0.81333
462.00,0.82187
463.00,0.82331
464.00,0.82879
465.00,0.83667
466.00,0.84250
467.00,0.85347
468.00,0.85811
469.00,0.87038
470.00,0.87250
471.00,0.88118
472.00,0.88833
473.00,0.88978
474.00,0.89668
475.00,0.90406
476.00,0.90729
477.00,0.91163
478.00,0.91744
479.00,0.92758
480.00,0.92813
481.00,0.93404
482.00,0.94293
483.00,0.94550
484.00,0.95065
485.00,0.95757
486.00,0.95932
487.00,0.96909
488.00,0.97320
489.00,0.98059
490.00,0.98317
491.00,0.99247
492.00,0.99508
493.00,1.00446
494.00,1.00845
495.00,1.02184
496.00,1.02884
497.00,1.03060
498.00,1.03781
499.00,1.05385
500.00,1.05587
501.00,1.07039
502.00,1.06942
503.00,1.08433
504.00,1.09355
505.00,1.10181
506.00,1.11199
507.00,1.12449
508.00,1.13793
509.00,1.14219
510.00,1.14951
511.00,1.16951
512.00,1.17161
513.00,1.18988
514.00,1.19491
515.00,1.20703
516.00,1.22223
517.00,1.23140
518.00,1.24291
519.00,1.25312
520.00,1.26727
521.00,1.27933
522.00,1.29461
523.00,1.30429
524.00,1.32306
525.00,1.33027
526.00,1.33731
527.00,1.34895
528.00,1.35856
529.00,1.37642
530.00,1.38280
531.00,1.39594
532.00,1.41017
533.00,1.41259
534.00,1.42727
535.00,1.43232
536.00,1.44176
537.00,1.44343
538.00,1.45628
539.00,1.46475
540.00,1.47220
541.00,1.47398
542.00,1.48765
543.00,1.50088
544.00,1.50538
545.00,1.51546
546.00,1.52062
547.00,1.52881
548.00,1.53617
549.00,1.54426
550.00,1.55400
551.00,1.56237
552.00,1.56586
553.00,1.57305
554.00,1.58430
555.00,1.58637
556.00,1.58819
557.00,1.59618
558.00,1.60832
559.00,1.60885
560.00,1.62873
561.00,1.62876
562.00,1.63894
563.00,1.64598
564.00,1.66024
565.00,1.66298
566.00,1.67985
567.00,1.68263
568.00,1.70002
569.00,1.71107
570.00,1.71464
571.00,1.73256
572.00,1.75039
573.00,1.75741
574.00,1.77612
575.00,1.79359
576.00,1.81076
577.00,1.83257
578.00,1.85473
579.00,1.86992
580.00,1.89459
581.00,1.91462
582.00,1.93712
583.00,1.96547
584.00,1.99691
585.00,2.02257
586.00,2.05616
587.00,2.08440
588.00,2.11779
589.00,2.15592
590.00,2.19907
591.00,2.23791
592.00,2.28232
593.00,2.34035
594.00,2.38586
595.00,2.44293
596.00,2.50688
597.00,2.56948
598.00,2.63586
599.00,2.71026
600.00,2.78572
601.00,2.86441
602.00,2.94877
603.00,3.04746
604.00,3.14033
605.00,3.24450
606.00,3.35588
607.00,3.46735
608.00,3.59435
609.00,3.71047
610.00,3.84865
611.00,3.99388
612.00,4.14675
613.00,4.30822
614.00,4.48958
615.00,4.65753
616.00,4.86056
617.00,5.04193
618.00,5.26134
619.00,5.49449
620.00,5.72730
621.00,5.98834
622.00,6.22775
623.00,6.49855
624.00,6.77368
625.00,7.04750
626.00,7.33463
627.00,7.65268
628.00,7.96428
629.00,8.28641
630.00,8.60714
631.00,8.96320
632.00,9.29247
633.00,9.66014
634.00,10.05372
635.00,10.45169
636.00,10.85195
637.00,11.27786
638.00,11.68853
639.00,12.12197
640.00,12.56764
641.00,13.00128
642.00,13.47216
643.00,13.93045
644.00,14.38111
645.00,14.84034
646.00,15.29858
647.00,15.79054
648.00,16.26025
649.00,16.75885
650.00,17.23612
651.00,17.68127
652.00,18.21690
653.00,18.66693
654.00,19.15871
655.00,19.64516
656.00,20.10548
657.00,20.59794
658.00,21.14737
659.00,21.58962
660.00,22.11038
661.00,22.61887
662.00,23.13569
663.00,23.66184
664.00,24.16842
665.00,24.63825
666.00,25.14932
667.00,25.60430
668.00,26.07447
669.00,26.57050
670.00,27.00268
671.00,27.44336
672.00,27.97258
673.00,28.38559
674.00,28.82995
675.00,29.28102
676.00,29.73315
677.00,30.12820
678.00,30.53633
679.00,31.00393
680.00,31.42035
681.00,31.83641
682.00,32.25622
683.00,32.59682
684.00,32.98049
685.00,33.44737
686.00,33.76562
687.00,34.16628
688.00,34.44153
689.00,34.79931
690.00,35.09338
691.00,35.45025
692.00,35.64399
693.00,35.93740
694.00,36.26918
695.00,36.59030
696.00,36.73635
697.00,37.06379
698.00,37.39780
699.00,37.62260
700.00,37.76684
701.00,38.04232
702.00,38.23676
703.00,38.52277
704.00,38.69915
705.00,38.88468
706.00,39.13489
707.00,39.24778
708.00,39.48645
709.00,39.50109
710.00,39.86439
711.00,40.02732
712.00,40.17225
713.00,40.32481
714.00,40.53320
715.00,40.55612
716.00,40.76738
717.00,40.91421
718.00,40.98715
719.00,41.24430
720.00,41.30597
721.00,41.39647
722.00,41.59368
723.00,41.70525
724.00,41.83704
725.00,42.05386
726.00,42.15147
727.00,42.25765
728.00,42.40994
729.00,42.64918
730.00,42.77287
731.00,42.89308
732.00,42.90668
733.00,43.10047
734.00,43.18058
735.00,43.43044
736.00,43.54558
737.00,43.67742
738.00,43.77714
739.00,44.01237
740.00,44.03262
741.00,44.26826
742.00,44.38716
743.00,44.38776
744.00,44.61495
745.00,44.72800
746.00,45.00560
747.00,45.15272
748.00,45.06565
749.00,45.28708
750.00,45.38428
751.00,45.47233
752.00,45.56364
753.00,45.70907
754.00,45.78670
755.00,46.00406
756.00,46.22130
757.00,46.06065
758.00,46.35168
759.00,46.36712
760.00,46.60819
