"Ag3BiI6_Old - RawData"
"Wavelength nm.","T%"
400.00,0.16037
401.00,0.15927
402.00,0.16442
403.00,0.16480
404.00,0.16490
405.00,0.16826
406.00,0.16428
407.00,0.16748
408.00,0.16549
409.00,0.16797
410.00,0.17037
411.00,0.17263
412.00,0.17209
413.00,0.16688
414.00,0.16637
415.00,0.16480
416.00,0.15697
417.00,0.15535
418.00,0.15425
419.00,0.14634
420.00,0.14257
421.00,0.14132
422.00,0.13721
423.00,0.13440
424.00,0.13303
425.00,0.13782
426.00,0.14762
427.00,0.16524
428.00,0.19428
429.00,0.24063
430.00,0.31039
431.00,0.38999
432.00,0.48344
433.00,0.57258
434.00,0.64344
435.00,0.69489
436.00,0.73404
437.00,0.76564
438.00,0.79100
439.00,0.80672
440.00,0.82622
441.00,0.84708
442.00,0.86231
443.00,0.86850
444.00,0.88272
445.00,0.90329
446.00,0.91819
447.00,0.93700
448.00,0.94571
449.00,0.95672
450.00,0.97144
451.00,0.98676
452.00,1.00246
453.00,1.01306
454.00,1.03163
455.00,1.04584
456.00,1.05619
457.00,1.06772
458.00,1.08810
459.00,1.10273
460.00,1.12153
461.00,1.13614
462.00,1.13880
463.00,1.16465
464.00,1.17652
465.00,1.19122
466.00,1.20621
467.00,1.21811
468.00,1.23063
469.00,1.24238
470.00,1.25988
471.00,1.27213
472.00,1.28800
473.00,1.30207
474.00,1.31162
475.00,1.32608
476.00,1.33591
477.00,1.35870
478.00,1.37014
479.00,1.38283
480.00,1.39606
481.00,1.40969
482.00,1.41967
483.00,1.43290
484.00,1.44746
485.00,1.46144
486.00,1.47256
487.00,1.48784
488.00,1.50856
489.00,1.51497
490.00,1.52231
491.00,1.54505
492.00,1.55502
493.00,1.57192
494.00,1.58536
495.00,1.59122
496.00,1.60072
497.00,1.62688
498.00,1.63190
499.00,1.64926
500.00,1.66024
501.00,1.67184
502.00,1.69935
503.00,1.70966
504.00,1.71843
505.00,1.74289
506.00,1.74570
507.00,1.76449
508.00,1.77924
509.00,1.79128
510.00,1.81092
511.00,1.82085
512.00,1.83852
513.00,1.85285
514.00,1.86032
515.00,1.87745
516.00,1.89833
517.00,1.90421
518.00,1.92699
519.00,1.92971
520.00,1.94334
521.00,1.96020
522.00,1.97313
523.00,1.97765
524.00,2.00271
525.00,2.00899
526.00,2.02204
527.00,2.03050
528.00,2.04463
529.00,2.05159
530.00,2.06379
531.00,2.07479
532.00,2.09460
533.00,2.10113
534.00,2.10599
535.00,2.12138
536.00,2.12902
537.00,2.13351
538.00,2.14579
539.00,2.16050
540.00,2.16416
541.00,2.17308
542.00,2.17854
543.00,2.19280
544.00,2.18970
545.00,2.19590
546.00,2.19593
547.00,2.21128
548.00,2.21886
549.00,2.23402
550.00,2.23184
551.00,2.23646
552.00,2.24854
553.00,2.25902
554.00,2.26891
555.00,2.27512
556.00,2.28795
557.00,2.29681
558.00,2.30302
559.00,2.31103
560.00,2.32262
561.00,2.33163
562.00,2.34579
563.00,2.36004
564.00,2.37545
565.00,2.40379
566.00,2.40177
567.00,2.43175
568.00,2.43904
569.00,2.46281
570.00,2.48499
571.00,2.51506
572.00,2.54782
573.00,2.56722
574.00,2.61134
575.00,2.64113
576.00,2.67956
577.00,2.72005
578.00,2.76068
579.00,2.80522
580.00,2.85360
581.00,2.90495
582.00,2.96744
583.00,3.02478
584.00,3.08229
585.00,3.14690
586.00,3.22736
587.00,3.30129
588.00,3.37189
589.00,3.46449
590.00,3.57210
591.00,3.67430
592.00,3.77012
593.00,3.88139
594.00,4.00895
595.00,4.12848
596.00,4.27579
597.00,4.42588
598.00,4.58478
599.00,4.74493
600.00,4.91680
601.00,5.09970
602.00,5.29280
603.00,5.50169
604.00,5.70724
605.00,5.92444
606.00,6.16327
607.00,6.38651
608.00,6.65274
609.00,6.91781
610.00,7.21050
611.00,7.49883
612.00,7.77752
613.00,8.08594
614.00,8.43921
615.00,8.78102
616.00,9.15490
617.00,9.55534
618.00,9.94169
619.00,10.34314
620.00,10.77306
621.00,11.21462
622.00,11.66630
623.00,12.09570
624.00,12.54314
625.00,13.06546
626.00,13.52706
627.00,14.04305
628.00,14.53098
629.00,15.03254
630.00,15.55824
631.00,16.07494
632.00,16.63371
633.00,17.19634
634.00,17.75407
635.00,18.33686
636.00,18.91337
637.00,19.49235
638.00,20.08866
639.00,20.71042
640.00,21.39708
641.00,21.97199
642.00,22.57395
643.00,23.16163
644.00,23.84605
645.00,24.41121
646.00,25.03696
647.00,25.70564
648.00,26.24529
649.00,26.83434
650.00,27.47015
651.00,28.04417
652.00,28.67203
653.00,29.22843
654.00,29.80992
655.00,30.35453
656.00,30.99831
657.00,31.55639
658.00,32.12019
659.00,32.68560
660.00,33.27364
661.00,33.82488
662.00,34.42694
663.00,34.97669
664.00,35.50670
665.00,36.13168
666.00,36.55654
667.00,37.12935
668.00,37.75810
