"Ag2BiI5_New - RawData"
"Wavelength nm.","T%"
400.00,0.01214
401.00,0.01277
402.00,0.01403
403.00,0.01456
404.00,0.01412
405.00,0.01450
406.00,0.01503
407.00,0.01368
408.00,0.01538
409.00,0.01541
410.00,0.01544
411.00,0.01497
412.00,0.01573
413.00,0.01642
414.00,0.01509
415.00,0.01524
416.00,0.01481
417.00,0.01392
418.00,0.01346
419.00,0.01381
420.00,0.01276
421.00,0.01239
422.00,0.01270
423.00,0.01319
424.00,0.01399
425.00,0.01608
426.00,0.02020
427.00,0.02511
428.00,0.03360
429.00,0.04696
430.00,0.06171
431.00,0.08173
432.00,0.10689
433.00,0.12892
434.00,0.14792
435.00,0.16114
436.00,0.16703
437.00,0.17871
438.00,0.17779
439.00,0.18175
440.00,0.18551
441.00,0.18935
442.00,0.19041
443.00,0.19364
444.00,0.19516
445.00,0.19737
446.00,0.20271
447.00,0.20456
448.00,0.20607
449.00,0.20854
450.00,0.20831
451.00,0.21198
452.00,0.21586
453.00,0.21469
454.00,0.21972
455.00,0.22267
456.00,0.22504
457.00,0.22863
458.00,0.23393
459.00,0.23460
460.00,0.23940
461.00,0.24113
462.00,0.24439
463.00,0.24677
464.00,0.24762
465.00,0.25503
466.00,0.25732
467.00,0.25722
468.00,0.26378
469.00,0.26567
470.00,0.26705
471.00,0.26995
472.00,0.27399
473.00,0.27690
474.00,0.28072
475.00,0.28325
476.00,0.28643
477.00,0.29551
478.00,0.29556
479.00,0.29847
480.00,0.30447
481.00,0.30539
482.00,0.30819
483.00,0.31366
484.00,0.32010
485.00,0.32203
486.00,0.32667
487.00,0.33352
488.00,0.33342
489.00,0.33783
490.00,0.33955
491.00,0.34650
492.00,0.34966
493.00,0.35482
494.00,0.35564
495.00,0.36024
496.00,0.36510
497.00,0.37204
498.00,0.37380
499.00,0.38116
500.00,0.38062
501.00,0.38515
502.00,0.39416
503.00,0.39660
504.00,0.40037
505.00,0.40801
506.00,0.40842
507.00,0.41535
508.00,0.41967
509.00,0.42157
510.00,0.42741
511.00,0.43555
512.00,0.43693
513.00,0.44203
514.00,0.44620
515.00,0.44992
516.00,0.45179
517.00,0.45778
518.00,0.46477
519.00,0.46831
520.00,0.46862
521.00,0.47732
522.00,0.47814
523.00,0.48336
524.00,0.48747
525.00,0.49126
526.00,0.49388
