Voltage Value - Plot 0,Amplitude - Plot 0
0,1.25E-08
0.005,1.20E-06
0.01,3.34E-07
0.015,4.79E-07
0.02,6.29E-07
0.025,7.74E-07
0.03,9.17E-07
0.035,1.06E-06
0.04,1.20E-06
0.045,1.33E-06
0.05,1.47E-06
0.055,1.60E-06
0.06,1.73E-06
0.065,1.87E-06
0.07,2.00E-06
0.075,2.60E-06
0.08,2.67E-06
0.085,2.78E-06
0.09,2.91E-06
0.095,3.05E-06
0.1,3.20E-06
0.105,4.10E-06
0.11,4.42E-06
0.115,4.62E-06
0.12,4.84E-06
0.125,5.03E-06
0.13,5.22E-06
0.135,5.44E-06
0.14,5.67E-06
0.145,5.95E-06
0.15,6.25E-06
0.155,6.55E-06
0.16,6.86E-06
0.165,7.06E-06
0.17,7.33E-06
0.175,7.60E-06
0.18,7.87E-06
0.185,8.11E-06
0.19,8.37E-06
0.195,8.65E-06
0.2,8.97E-06
0.205,9.25E-06
0.21,9.49E-06
0.215,9.73E-06
0.22,1.00E-05
0.225,1.03E-05
0.23,1.06E-05
0.235,1.09E-05
0.24,1.15E-05
0.245,1.19E-05
0.25,1.23E-05
0.255,1.26E-05
0.26,1.28E-05
0.265,1.32E-05
0.27,1.40E-05
0.275,1.62E-05
0.28,1.71E-05
0.285,1.75E-05
0.29,1.78E-05
0.295,1.81E-05
0.3,2.26E-05
0.305,2.34E-05
0.31,2.45E-05
0.315,2.58E-05
0.32,2.68E-05
0.325,2.71E-05
0.33,2.77E-05
0.335,2.90E-05
0.34,2.92E-05
0.345,2.97E-05
0.35,3.03E-05
0.355,3.03E-05
0.36,3.14E-05
0.365,3.23E-05
0.37,3.23E-05
0.375,3.30E-05
0.38,3.44E-05
0.385,3.40E-05
0.39,3.42E-05
0.395,3.42E-05
0.4,3.55E-05
0.405,3.66E-05
0.41,3.69E-05
0.415,3.73E-05
0.42,3.72E-05
0.425,3.82E-05
0.43,3.96E-05
0.435,4.09E-05
0.44,4.13E-05
0.445,4.14E-05
0.45,4.20E-05
0.455,4.27E-05
0.46,4.43E-05
0.465,4.54E-05
0.47,4.54E-05
0.475,4.61E-05
0.48,4.68E-05
0.485,4.70E-05
0.49,4.77E-05
0.495,4.77E-05
0.5,4.84E-05
0.505,4.98E-05
0.51,5.06E-05
0.515,5.19E-05
0.52,5.29E-05
0.525,5.31E-05
0.53,5.22E-05
0.535,5.23E-05
0.54,5.27E-05
0.545,5.19E-05
0.55,5.62E-05
0.555,6.50E-05
0.56,6.67E-05
0.565,6.78E-05
0.57,6.92E-05
0.575,7.04E-05
0.58,7.08E-05
0.585,7.20E-05
0.59,7.28E-05
0.595,7.30E-05
0.6,7.40E-05
0.605,7.61E-05
0.61,7.79E-05
0.615,7.86E-05
0.62,7.92E-05
0.625,8.01E-05
0.63,8.04E-05
0.635,8.11E-05
0.64,8.25E-05
0.645,8.33E-05
0.65,8.39E-05
0.655,8.43E-05
0.66,8.54E-05
0.665,8.67E-05
0.67,8.66E-05
0.675,8.76E-05
0.68,8.83E-05
0.685,8.93E-05
0.69,9.03E-05
0.695,9.08E-05
0.7,9.15E-05
0.705,9.13E-05
0.71,9.20E-05
0.715,9.23E-05
0.72,9.27E-05
0.725,9.25E-05
0.73,9.09E-05
0.735,9.33E-05
0.74,9.46E-05
0.745,9.94E-05
0.75,9.99E-05
0.755,0.000105471
0.76,0.000105938
0.765,0.000106548
0.77,0.00010665
0.775,0.000107428
0.78,0.00010944
0.785,0.000110115
0.79,0.00011085
0.795,0.000110955
0.8,0.000111132
0.805,0.000112391
0.81,0.000113958
0.815,0.00011366
0.82,0.000115456
0.825,0.000116452
0.83,0.000118518
0.835,0.000118256
0.84,0.000120149
0.845,0.000121364
0.85,0.000121798
0.855,0.000122786
0.86,0.000123523
0.865,0.000125123
0.87,0.000125648
0.875,0.00012669
0.88,0.000126644
0.885,0.000128115
0.89,0.00012838
0.895,0.000129531
0.9,0.000129815
0.905,0.000130875
0.91,0.000131252
0.915,0.000131682
0.92,0.000133532
0.925,0.000133362
0.93,0.000135191
0.935,0.000136486
0.94,0.000137227
0.945,0.00013797
0.95,0.000138471
0.955,0.000140004
0.96,0.000140463
0.965,0.000142231
0.97,0.000142892
0.975,0.000143411
0.98,0.000143396
0.985,0.000143461
0.99,0.00014503
0.995,0.000147184
1,0.000145831
