Voltage Value - Plot 0,Amplitude - Plot 0
-1,-4.89E-07
-0.995,-4.66E-07
-0.99,-4.20E-07
-0.985,-4.44E-07
-0.98,-4.44E-07
-0.975,-4.12E-07
-0.97,-4.11E-07
-0.965,-4.24E-07
-0.96,-4.10E-07
-0.955,-3.96E-07
-0.95,-3.91E-07
-0.945,-4.07E-07
-0.94,-3.92E-07
-0.935,-4.01E-07
-0.93,-3.86E-07
-0.925,-3.89E-07
-0.92,-3.81E-07
-0.915,-3.85E-07
-0.91,-3.76E-07
-0.905,-3.84E-07
-0.9,-3.85E-07
-0.895,-3.93E-07
-0.89,-4.00E-07
-0.885,-3.79E-07
-0.88,-3.86E-07
-0.875,-3.80E-07
-0.87,-3.93E-07
-0.865,-3.89E-07
-0.86,-3.98E-07
-0.855,-3.93E-07
-0.85,-3.98E-07
-0.845,-3.86E-07
-0.84,-3.85E-07
-0.835,-3.92E-07
-0.83,-3.94E-07
-0.825,-3.84E-07
-0.82,-3.81E-07
-0.815,-3.82E-07
-0.81,-3.85E-07
-0.805,-3.91E-07
-0.8,-3.89E-07
-0.795,-3.95E-07
-0.79,-4.04E-07
-0.785,-3.93E-07
-0.78,-4.00E-07
-0.775,-3.93E-07
-0.77,-3.83E-07
-0.765,-3.86E-07
-0.76,-3.81E-07
-0.755,-3.85E-07
-0.75,-3.79E-07
-0.745,-3.90E-07
-0.74,-3.52E-07
-0.735,-3.37E-07
-0.73,-3.58E-07
-0.725,-3.42E-07
-0.72,-3.60E-07
-0.715,-3.54E-07
-0.71,-3.45E-07
-0.705,-3.41E-07
-0.7,-3.47E-07
-0.695,-3.57E-07
-0.69,-3.61E-07
-0.685,-3.65E-07
-0.68,-3.64E-07
-0.675,-3.71E-07
-0.67,-3.76E-07
-0.665,-3.81E-07
-0.66,-3.81E-07
-0.655,-3.87E-07
-0.65,-3.93E-07
-0.645,-3.82E-07
-0.64,-3.79E-07
-0.635,-3.91E-07
-0.63,-3.67E-07
-0.625,-3.57E-07
-0.62,-3.54E-07
-0.615,-3.49E-07
-0.61,-3.51E-07
-0.605,-3.56E-07
-0.6,-3.57E-07
-0.595,-3.60E-07
-0.59,-3.61E-07
-0.585,-3.54E-07
-0.58,-3.50E-07
-0.575,-3.52E-07
-0.57,-3.47E-07
-0.565,-3.48E-07
-0.56,-3.47E-07
-0.555,-3.45E-07
-0.55,-3.48E-07
-0.545,-3.44E-07
-0.54,-3.47E-07
-0.535,-3.48E-07
-0.53,-3.50E-07
-0.525,-3.51E-07
-0.52,-3.51E-07
-0.515,-3.43E-07
-0.51,-3.40E-07
-0.505,-3.38E-07
-0.5,-3.37E-07
-0.495,-3.35E-07
-0.49,-3.42E-07
-0.485,-3.37E-07
-0.48,-3.32E-07
-0.475,-3.33E-07
-0.47,-3.30E-07
-0.465,-3.27E-07
-0.46,-3.26E-07
-0.455,-3.26E-07
-0.45,-3.22E-07
-0.445,-3.21E-07
-0.44,-3.26E-07
-0.435,-3.20E-07
-0.43,-3.26E-07
-0.425,-3.26E-07
-0.42,-3.23E-07
-0.415,-3.24E-07
-0.41,-3.13E-07
-0.405,-3.15E-07
-0.4,-3.13E-07
-0.395,-3.16E-07
-0.39,-3.16E-07
-0.385,-3.16E-07
-0.38,-3.15E-07
-0.375,-3.14E-07
-0.37,-3.07E-07
-0.365,-3.05E-07
-0.36,-2.99E-07
-0.355,-3.04E-07
-0.35,-3.01E-07
-0.345,-2.97E-07
-0.34,-2.96E-07
-0.335,-2.98E-07
-0.33,-2.99E-07
-0.325,-2.96E-07
-0.32,-2.93E-07
-0.315,-2.90E-07
-0.31,-2.88E-07
-0.305,-2.77E-07
-0.3,-2.76E-07
-0.295,-2.77E-07
-0.29,-2.78E-07
-0.285,-2.76E-07
-0.28,-2.68E-07
-0.275,-2.74E-07
-0.27,-2.61E-07
-0.265,-2.59E-07
-0.26,-2.53E-07
-0.255,-2.53E-07
-0.25,-2.47E-07
-0.245,-2.46E-07
-0.24,-2.44E-07
-0.235,-2.36E-07
-0.23,-2.38E-07
-0.225,-2.32E-07
-0.22,-2.27E-07
-0.215,-2.23E-07
-0.21,-2.20E-07
-0.205,-2.16E-07
-0.2,-2.09E-07
-0.195,-2.09E-07
-0.19,-2.05E-07
-0.185,-2.03E-07
-0.18,-2.01E-07
-0.175,-1.98E-07
-0.17,-1.89E-07
-0.165,-1.86E-07
-0.16,-1.83E-07
-0.155,-1.80E-07
-0.15,-1.73E-07
-0.145,-1.72E-07
-0.14,-1.65E-07
-0.135,-1.62E-07
-0.13,-1.58E-07
-0.125,-1.54E-07
-0.12,-1.49E-07
-0.115,-1.43E-07
-0.11,-1.38E-07
-0.105,-1.34E-07
-0.1,-1.29E-07
-0.095,-1.23E-07
-0.09,-1.16E-07
-0.085,-1.09E-07
-0.08,-1.07E-07
-0.075,-1.00E-07
