"II - RawData"
"Wavelength nm.","T%"
400.00,0.01148
401.00,0.01103
402.00,0.01074
403.00,0.01101
404.00,0.01201
405.00,0.01264
406.00,0.01275
407.00,0.01075
408.00,0.01239
409.00,0.01264
410.00,0.01240
411.00,0.01214
412.00,0.01242
413.00,0.01093
414.00,0.01097
415.00,0.01116
416.00,0.00985
417.00,0.00954
418.00,0.00956
419.00,0.00895
420.00,0.00863
421.00,0.00962
422.00,0.01033
423.00,0.01168
424.00,0.01364
425.00,0.01736
426.00,0.02406
427.00,0.03127
428.00,0.04232
429.00,0.05459
430.00,0.06987
431.00,0.08373
432.00,0.09543
433.00,0.10873
434.00,0.11878
435.00,0.12602
436.00,0.12815
437.00,0.13356
438.00,0.13499
439.00,0.13928
440.00,0.14209
441.00,0.14448
442.00,0.14891
443.00,0.14981
444.00,0.15516
445.00,0.15470
446.00,0.15878
447.00,0.16112
448.00,0.16245
449.00,0.16658
450.00,0.16789
451.00,0.17201
452.00,0.17514
453.00,0.17698
454.00,0.17964
455.00,0.18347
456.00,0.18808
457.00,0.18960
458.00,0.19596
459.00,0.19695
460.00,0.20038
461.00,0.20493
462.00,0.20892
463.00,0.21272
464.00,0.21518
465.00,0.22114
466.00,0.22268
467.00,0.22976
468.00,0.23227
469.00,0.23746
470.00,0.23835
471.00,0.24515
472.00,0.24866
473.00,0.24942
474.00,0.25485
475.00,0.25722
476.00,0.26466
477.00,0.26483
478.00,0.27200
479.00,0.27534
480.00,0.27813
481.00,0.28045
482.00,0.28702
483.00,0.29047
484.00,0.29181
485.00,0.30116
486.00,0.30452
487.00,0.30619
488.00,0.31252
489.00,0.31751
490.00,0.31993
491.00,0.32739
492.00,0.32952
493.00,0.33638
494.00,0.34063
495.00,0.34232
496.00,0.34866
497.00,0.35158
498.00,0.35798
499.00,0.36387
500.00,0.36943
501.00,0.37045
502.00,0.37312
503.00,0.37920
504.00,0.38811
505.00,0.38876
506.00,0.39634
507.00,0.40023
508.00,0.40524
509.00,0.40761
510.00,0.41749
511.00,0.41982
512.00,0.42254
513.00,0.43079
514.00,0.43181
515.00,0.43636
516.00,0.44375
517.00,0.44475
518.00,0.44983
519.00,0.45562
520.00,0.46023
521.00,0.46569
522.00,0.46246
523.00,0.46794
524.00,0.47191
525.00,0.47665
526.00,0.48144
527.00,0.48324
528.00,0.48495
529.00,0.49098
530.00,0.49659
531.00,0.49792
532.00,0.50161
533.00,0.50472
534.00,0.51251
535.00,0.50967
536.00,0.51716
537.00,0.52271
538.00,0.52144
539.00,0.52494
540.00,0.52741
541.00,0.52925
542.00,0.53445
543.00,0.53112
544.00,0.53844
545.00,0.53668
546.00,0.53804
547.00,0.53894
548.00,0.54455
549.00,0.54747
550.00,0.54484
551.00,0.54945
552.00,0.55057
553.00,0.55336
554.00,0.55822
555.00,0.55865
556.00,0.55976
557.00,0.56026
558.00,0.56781
559.00,0.57165
560.00,0.57223
561.00,0.57303
562.00,0.58184
563.00,0.58082
564.00,0.58930
565.00,0.59191
566.00,0.59880
567.00,0.60189
568.00,0.60500
569.00,0.61442
570.00,0.62393
571.00,0.62314
572.00,0.63970
573.00,0.64309
574.00,0.65250
575.00,0.66744
576.00,0.67496
577.00,0.68698
578.00,0.70271
579.00,0.71996
580.00,0.72950
581.00,0.74974
582.00,0.76554
583.00,0.78744
584.00,0.80891
585.00,0.83011
586.00,0.85515
587.00,0.88278
588.00,0.90914
589.00,0.93927
590.00,0.97656
591.00,1.00980
592.00,1.04489
593.00,1.08488
594.00,1.14044
595.00,1.19006
596.00,1.23668
597.00,1.29895
598.00,1.36082
599.00,1.42514
600.00,1.49436
601.00,1.55571
602.00,1.65578
603.00,1.73516
604.00,1.83827
605.00,1.93292
606.00,2.04407
607.00,2.15303
608.00,2.26415
609.00,2.39631
610.00,2.52506
611.00,2.67316
612.00,2.82922
613.00,2.98944
614.00,3.15719
615.00,3.33578
616.00,3.54230
617.00,3.74555
618.00,3.96384
619.00,4.20399
620.00,4.45142
621.00,4.69168
622.00,4.97693
623.00,5.23584
624.00,5.51746
625.00,5.82762
626.00,6.13037
627.00,6.44037
628.00,6.77157
629.00,7.10294
630.00,7.45846
631.00,7.79231
632.00,8.18674
633.00,8.56062
634.00,8.96446
635.00,9.35387
636.00,9.79379
637.00,10.22223
638.00,10.64664
639.00,11.12198
640.00,11.55955
641.00,12.02980
642.00,12.52785
643.00,12.95688
644.00,13.46887
645.00,13.90058
646.00,14.37448
647.00,14.86461
648.00,15.36611
649.00,15.83251
650.00,16.33711
651.00,16.86020
652.00,17.29759
653.00,17.77306
654.00,18.25773
655.00,18.73860
656.00,19.21651
657.00,19.67602
658.00,20.20261
659.00,20.65772
660.00,21.15358
661.00,21.62672
662.00,22.12585
663.00,22.69468
664.00,23.15755
665.00,23.63808
666.00,24.06113
667.00,24.57970
668.00,25.10940
669.00,25.47562
670.00,25.99088
671.00,26.37618
672.00,26.83399
673.00,27.32480
674.00,27.75340
675.00,28.20498
676.00,28.63021
677.00,29.08481
678.00,29.58227
679.00,30.01123
680.00,30.41066
681.00,30.85577
682.00,31.24712
683.00,31.68518
684.00,32.10973
685.00,32.49820
686.00,32.91590
687.00,33.34917
688.00,33.68010
