"VIII - RawData"
"Wavelength nm.","T%"
400.00,0.00405
401.00,0.00409
402.00,0.00439
403.00,0.00440
404.00,0.00502
405.00,0.00494
406.00,0.00451
407.00,0.00481
408.00,0.00464
409.00,0.00548
410.00,0.00609
411.00,0.00579
412.00,0.00527
413.00,0.00610
414.00,0.00580
415.00,0.00579
416.00,0.00548
417.00,0.00473
418.00,0.00506
419.00,0.00520
420.00,0.00439
421.00,0.00474
422.00,0.00601
423.00,0.00708
424.00,0.00837
425.00,0.00974
426.00,0.01136
427.00,0.01297
428.00,0.01342
429.00,0.01461
430.00,0.01521
431.00,0.01694
432.00,0.01668
433.00,0.01734
434.00,0.01920
435.00,0.01928
436.00,0.02023
437.00,0.02116
438.00,0.02222
439.00,0.02279
440.00,0.02270
441.00,0.02294
442.00,0.02482
443.00,0.02502
444.00,0.02529
445.00,0.02617
446.00,0.02773
447.00,0.02810
448.00,0.02882
449.00,0.03116
450.00,0.03123
451.00,0.03172
452.00,0.03331
453.00,0.03368
454.00,0.03433
455.00,0.03606
456.00,0.03772
457.00,0.03816
458.00,0.03823
459.00,0.04088
460.00,0.04117
461.00,0.04105
462.00,0.04356
463.00,0.04427
464.00,0.04593
465.00,0.04751
466.00,0.04810
467.00,0.05023
468.00,0.05196
469.00,0.05187
470.00,0.05351
471.00,0.05484
472.00,0.05649
473.00,0.05799
474.00,0.05880
475.00,0.06017
476.00,0.06109
477.00,0.06384
478.00,0.06383
479.00,0.06665
480.00,0.06678
481.00,0.06880
482.00,0.06980
483.00,0.07197
484.00,0.07351
485.00,0.07468
486.00,0.07608
487.00,0.07891
488.00,0.07903
489.00,0.08198
490.00,0.08389
491.00,0.08277
492.00,0.08488
493.00,0.08709
494.00,0.08837
495.00,0.09000
496.00,0.09320
497.00,0.09329
498.00,0.09548
499.00,0.09589
500.00,0.09749
501.00,0.09759
502.00,0.10069
503.00,0.10052
504.00,0.10429
505.00,0.10549
506.00,0.10579
507.00,0.10836
508.00,0.10920
509.00,0.10952
510.00,0.11285
511.00,0.11229
512.00,0.11380
513.00,0.11575
514.00,0.11698
515.00,0.11748
516.00,0.11865
517.00,0.11965
518.00,0.12142
519.00,0.12197
520.00,0.12344
521.00,0.12400
522.00,0.12498
523.00,0.12570
524.00,0.12655
525.00,0.12670
526.00,0.12788
