"X - RawData"
"Wavelength nm.","T%"
400.00,0.01607
401.00,0.01581
402.00,0.01634
403.00,0.01659
404.00,0.01809
405.00,0.01733
406.00,0.01742
407.00,0.01770
408.00,0.01822
409.00,0.01862
410.00,0.01910
411.00,0.01766
412.00,0.01917
413.00,0.01827
414.00,0.01906
415.00,0.01831
416.00,0.01830
417.00,0.01795
418.00,0.01724
419.00,0.01832
420.00,0.01815
421.00,0.01887
422.00,0.02048
423.00,0.01948
424.00,0.02240
425.00,0.02426
426.00,0.02715
427.00,0.02973
428.00,0.03359
429.00,0.03855
430.00,0.04253
431.00,0.04434
432.00,0.04707
433.00,0.05106
434.00,0.05341
435.00,0.05600
436.00,0.05726
437.00,0.06001
438.00,0.06031
439.00,0.06095
440.00,0.06365
441.00,0.06309
442.00,0.06494
443.00,0.06842
444.00,0.06782
445.00,0.06885
446.00,0.07078
447.00,0.07188
448.00,0.07305
449.00,0.07784
450.00,0.07739
451.00,0.07980
452.00,0.08093
453.00,0.08201
454.00,0.08353
455.00,0.08585
456.00,0.08782
457.00,0.08960
458.00,0.09152
459.00,0.09375
460.00,0.09528
461.00,0.09450
462.00,0.09682
463.00,0.10113
464.00,0.10296
465.00,0.10285
466.00,0.10689
467.00,0.10827
468.00,0.11017
469.00,0.11303
470.00,0.11453
471.00,0.11634
472.00,0.11862
473.00,0.12054
474.00,0.12278
475.00,0.12594
476.00,0.12703
477.00,0.12956
478.00,0.13426
479.00,0.13389
480.00,0.13759
481.00,0.13869
482.00,0.14134
483.00,0.14486
484.00,0.14663
485.00,0.14744
486.00,0.15216
487.00,0.15299
488.00,0.15660
489.00,0.15834
490.00,0.16076
491.00,0.16299
492.00,0.16663
493.00,0.16718
494.00,0.17062
495.00,0.17181
496.00,0.17677
497.00,0.17904
498.00,0.18268
499.00,0.18624
500.00,0.18650
501.00,0.18951
502.00,0.19160
503.00,0.19673
504.00,0.19712
505.00,0.20105
506.00,0.20543
507.00,0.20670
508.00,0.21018
509.00,0.21203
510.00,0.21686
511.00,0.21647
512.00,0.21864
513.00,0.22160
514.00,0.22555
515.00,0.23035
516.00,0.23272
517.00,0.23396
518.00,0.23703
519.00,0.23981
520.00,0.24479
521.00,0.24364
522.00,0.25146
523.00,0.25229
524.00,0.25255
525.00,0.25794
526.00,0.25727
527.00,0.25959
528.00,0.26166
529.00,0.26449
530.00,0.26744
531.00,0.27131
532.00,0.27499
533.00,0.27561
534.00,0.27707
535.00,0.27772
536.00,0.28462
537.00,0.28365
538.00,0.29025
539.00,0.28706
540.00,0.29012
541.00,0.29275
542.00,0.29780
543.00,0.29449
544.00,0.29923
545.00,0.29925
546.00,0.30244
547.00,0.30428
548.00,0.30823
549.00,0.30608
550.00,0.31003
551.00,0.31460
552.00,0.31722
553.00,0.31694
554.00,0.31650
555.00,0.31797
556.00,0.32297
557.00,0.32809
558.00,0.33126
559.00,0.33494
560.00,0.33564
561.00,0.34042
562.00,0.34139
563.00,0.34341
564.00,0.34918
565.00,0.35270
566.00,0.35826
567.00,0.36349
568.00,0.36866
569.00,0.37601
570.00,0.37976
571.00,0.38936
572.00,0.39264
573.00,0.40356
574.00,0.41315
575.00,0.42299
576.00,0.42685
577.00,0.43917
578.00,0.44813
579.00,0.45735
580.00,0.47553
581.00,0.48818
582.00,0.50239
583.00,0.51796
584.00,0.53554
585.00,0.55178
586.00,0.56860
587.00,0.59457
588.00,0.61285
589.00,0.63859
590.00,0.66373
591.00,0.69455
592.00,0.73070
593.00,0.75639
594.00,0.79362
595.00,0.83661
596.00,0.87670
597.00,0.91900
598.00,0.97275
599.00,1.02833
600.00,1.08971
601.00,1.14326
602.00,1.20647
603.00,1.28167
604.00,1.35334
605.00,1.43517
606.00,1.51814
607.00,1.62267
608.00,1.70801
609.00,1.82451
610.00,1.93289
611.00,2.05015
612.00,2.17681
613.00,2.30798
614.00,2.45959
615.00,2.61548
616.00,2.79350
617.00,2.96067
618.00,3.14301
619.00,3.35675
620.00,3.56739
621.00,3.80566
622.00,4.03166
623.00,4.27887
624.00,4.52493
625.00,4.79473
626.00,5.06003
627.00,5.35202
628.00,5.64356
629.00,5.96025
630.00,6.25762
631.00,6.61710
632.00,6.92656
633.00,7.30265
634.00,7.67292
635.00,8.04403
636.00,8.44776
637.00,8.85760
638.00,9.26607
639.00,9.70177
640.00,10.12694
641.00,10.58202
642.00,11.03359
643.00,11.49158
644.00,11.95273
645.00,12.40743
646.00,12.86935
647.00,13.33307
648.00,13.83415
649.00,14.28241
650.00,14.79091
651.00,15.26082
652.00,15.74116
653.00,16.16821
654.00,16.63482
655.00,17.12721
656.00,17.58510
657.00,18.05124
658.00,18.55688
659.00,18.99234
660.00,19.50967
661.00,19.92796
662.00,20.43954
663.00,20.90401
664.00,21.40198
665.00,21.86752
666.00,22.28805
667.00,22.75241
668.00,23.21244
669.00,23.63713
670.00,23.98435
671.00,24.42030
672.00,24.85799
673.00,25.25817
674.00,25.66735
675.00,26.06542
676.00,26.43520
677.00,26.80495
678.00,27.28530
679.00,27.63411
680.00,28.04929
681.00,28.43581
682.00,28.79551
683.00,29.17541
684.00,29.57555
685.00,29.86713
686.00,30.25737
687.00,30.63257
688.00,30.99190
689.00,31.27181
690.00,31.57689
691.00,31.87075
692.00,32.26154
693.00,32.56716
694.00,32.87923
695.00,33.16854
696.00,33.47721
697.00,33.77761
698.00,33.97449
699.00,34.21064
700.00,34.51678
701.00,34.75444
702.00,34.99824
703.00,35.22623
704.00,35.51176
705.00,35.76227
706.00,35.99404
707.00,36.13372
708.00,36.27613
709.00,36.61258
710.00,36.76462
711.00,36.97942
712.00,37.19969
713.00,37.34218
714.00,37.50352
715.00,37.73496
716.00,37.76473
717.00,37.94393
718.00,38.01600
719.00,38.29527
720.00,38.36064
721.00,38.51356
722.00,38.73423
723.00,38.69466
724.00,38.83548
725.00,39.00005
726.00,39.12718
727.00,39.22038
728.00,39.30470
729.00,39.40963
