"II_EndDay - RawData"
"Wavelength nm.","T%"
400.00,0.01233
401.00,0.01250
402.00,0.01371
403.00,0.01275
404.00,0.01385
405.00,0.01383
406.00,0.01413
407.00,0.01461
408.00,0.01387
409.00,0.01407
410.00,0.01552
411.00,0.01337
412.00,0.01446
413.00,0.01410
414.00,0.01397
415.00,0.01408
416.00,0.01286
417.00,0.01151
418.00,0.01112
419.00,0.01040
420.00,0.01059
421.00,0.01120
422.00,0.01309
423.00,0.01381
424.00,0.01525
425.00,0.01933
426.00,0.02511
427.00,0.03437
428.00,0.04315
429.00,0.05635
430.00,0.06907
431.00,0.08780
432.00,0.10188
433.00,0.11215
434.00,0.12340
435.00,0.12848
436.00,0.13342
437.00,0.13959
438.00,0.14145
439.00,0.14463
440.00,0.14531
441.00,0.15073
442.00,0.15165
443.00,0.15495
444.00,0.15909
445.00,0.16164
446.00,0.16445
447.00,0.16802
448.00,0.16755
449.00,0.17425
450.00,0.17661
451.00,0.17784
452.00,0.18202
453.00,0.18524
454.00,0.18724
455.00,0.19113
456.00,0.19400
457.00,0.19664
458.00,0.20360
459.00,0.20138
460.00,0.20897
461.00,0.21279
462.00,0.21499
463.00,0.21926
464.00,0.22562
465.00,0.23155
466.00,0.23090
467.00,0.23369
468.00,0.24013
469.00,0.24054
470.00,0.24687
471.00,0.24982
472.00,0.25701
473.00,0.25852
474.00,0.26234
475.00,0.26633
476.00,0.27168
477.00,0.27571
478.00,0.27674
479.00,0.28228
480.00,0.28457
481.00,0.28859
482.00,0.29398
483.00,0.30037
484.00,0.30357
485.00,0.30838
486.00,0.31168
487.00,0.31468
488.00,0.32365
489.00,0.32687
490.00,0.33191
491.00,0.33308
492.00,0.33935
493.00,0.34445
494.00,0.34810
495.00,0.35272
496.00,0.35995
497.00,0.36413
498.00,0.36662
499.00,0.37032
500.00,0.37539
501.00,0.37901
502.00,0.38417
503.00,0.38986
504.00,0.39534
505.00,0.40124
506.00,0.40491
507.00,0.40865
508.00,0.41256
509.00,0.42173
510.00,0.42700
511.00,0.42822
512.00,0.43344
513.00,0.44383
514.00,0.44537
515.00,0.44652
516.00,0.45190
517.00,0.45648
518.00,0.46226
519.00,0.46795
520.00,0.47023
521.00,0.47344
522.00,0.48027
523.00,0.48040
524.00,0.48344
525.00,0.48888
526.00,0.49266
527.00,0.49960
528.00,0.49943
529.00,0.50913
530.00,0.51049
531.00,0.51014
532.00,0.51334
533.00,0.52050
534.00,0.52173
535.00,0.52077
536.00,0.52440
537.00,0.52899
538.00,0.53379
539.00,0.53759
540.00,0.53323
541.00,0.54160
542.00,0.54275
543.00,0.54376
544.00,0.54821
545.00,0.54794
546.00,0.55160
547.00,0.55203
548.00,0.55543
549.00,0.55860
550.00,0.55912
551.00,0.56089
552.00,0.56724
553.00,0.56753
554.00,0.56829
555.00,0.57263
556.00,0.57466
557.00,0.57754
558.00,0.57780
559.00,0.58182
560.00,0.58739
561.00,0.58994
562.00,0.59711
563.00,0.59863
564.00,0.59960
565.00,0.60698
566.00,0.61396
567.00,0.62063
568.00,0.62598
569.00,0.63014
570.00,0.63439
571.00,0.64508
572.00,0.65795
