"X_EndDay - RawData"
"Wavelength nm.","T%"
400.00,0.08147
401.00,0.08296
402.00,0.08603
403.00,0.08791
404.00,0.08541
405.00,0.08749
406.00,0.08868
407.00,0.08845
408.00,0.08962
409.00,0.09062
410.00,0.08958
411.00,0.09093
412.00,0.09104
413.00,0.09313
414.00,0.09241
415.00,0.09158
416.00,0.09374
417.00,0.09158
418.00,0.09071
419.00,0.09112
420.00,0.09204
421.00,0.09221
422.00,0.09319
423.00,0.09447
424.00,0.09928
425.00,0.10215
426.00,0.10711
427.00,0.11227
428.00,0.12012
429.00,0.12912
430.00,0.13166
431.00,0.13998
432.00,0.14801
433.00,0.14974
434.00,0.15100
435.00,0.15450
436.00,0.16137
437.00,0.16198
438.00,0.16433
439.00,0.16812
440.00,0.17155
441.00,0.17535
442.00,0.17386
443.00,0.17863
444.00,0.17977
445.00,0.18323
446.00,0.18559
447.00,0.18654
448.00,0.19195
449.00,0.19350
450.00,0.19590
451.00,0.19808
452.00,0.19963
453.00,0.20577
454.00,0.20593
455.00,0.20868
456.00,0.21344
457.00,0.21964
458.00,0.21742
459.00,0.21980
460.00,0.22364
461.00,0.22962
462.00,0.23236
463.00,0.23599
464.00,0.23848
465.00,0.24167
466.00,0.24319
467.00,0.25020
468.00,0.25011
469.00,0.25573
470.00,0.25938
471.00,0.26309
472.00,0.26810
473.00,0.26794
474.00,0.27290
475.00,0.27665
476.00,0.27793
477.00,0.28181
478.00,0.28566
479.00,0.28972
480.00,0.29302
481.00,0.29501
482.00,0.30107
483.00,0.30087
484.00,0.30515
485.00,0.30896
486.00,0.31294
487.00,0.31846
488.00,0.31954
489.00,0.32447
490.00,0.32838
491.00,0.32980
492.00,0.33115
493.00,0.34146
494.00,0.34166
495.00,0.34618
496.00,0.35024
497.00,0.35563
498.00,0.36065
499.00,0.36205
500.00,0.36705
501.00,0.37180
502.00,0.37539
503.00,0.37896
504.00,0.38346
505.00,0.38652
506.00,0.39480
507.00,0.39736
508.00,0.39961
509.00,0.40324
510.00,0.41297
511.00,0.41432
512.00,0.41977
513.00,0.42273
514.00,0.42448
515.00,0.43170
516.00,0.43599
517.00,0.44055
518.00,0.44272
519.00,0.44843
520.00,0.45328
521.00,0.45557
522.00,0.45941
523.00,0.46766
524.00,0.46941
525.00,0.47050
526.00,0.47771
527.00,0.47992
528.00,0.48481
529.00,0.49185
530.00,0.49756
531.00,0.50083
532.00,0.50421
533.00,0.50668
534.00,0.51134
535.00,0.51240
536.00,0.51798
537.00,0.52443
538.00,0.52656
539.00,0.52985
540.00,0.53571
541.00,0.53827
542.00,0.54406
543.00,0.54650
544.00,0.55215
545.00,0.55125
546.00,0.55735
547.00,0.55814
548.00,0.56158
549.00,0.56849
550.00,0.57046
551.00,0.57300
552.00,0.57968
553.00,0.58544
554.00,0.58689
555.00,0.58797
556.00,0.59417
557.00,0.59786
558.00,0.60620
559.00,0.60714
560.00,0.61204
561.00,0.61828
562.00,0.62329
563.00,0.63010
564.00,0.63688
565.00,0.64038
566.00,0.65076
567.00,0.65790
568.00,0.66463
569.00,0.67433
570.00,0.68561
571.00,0.69050
572.00,0.70295
573.00,0.71905
574.00,0.72864
575.00,0.74185
576.00,0.75338
577.00,0.77079
578.00,0.78406
579.00,0.80453
580.00,0.81749
581.00,0.83751
582.00,0.86390
583.00,0.88031
584.00,0.90439
585.00,0.93044
586.00,0.95913
587.00,0.98449
588.00,1.02062
589.00,1.04688
590.00,1.08847
591.00,1.12583
592.00,1.16727
593.00,1.21314
594.00,1.25852
595.00,1.30804
596.00,1.36461
597.00,1.42872
598.00,1.49112
599.00,1.56049
600.00,1.62821
601.00,1.70432
602.00,1.78462
603.00,1.87017
604.00,1.96669
605.00,2.06414
606.00,2.17827
607.00,2.28292
608.00,2.40039
609.00,2.52140
610.00,2.64415
611.00,2.78704
612.00,2.93474
613.00,3.09258
614.00,3.26085
615.00,3.43896
616.00,3.61474
617.00,3.81071
618.00,4.02207
619.00,4.23757
620.00,4.47079
621.00,4.70441
622.00,4.95299
623.00,5.20321
624.00,5.47907
625.00,5.74803
626.00,6.03758
627.00,6.32723
628.00,6.61518
629.00,6.91609
630.00,7.24800
631.00,7.56768
632.00,7.90945
633.00,8.26671
634.00,8.62293
635.00,8.99471
636.00,9.37628
637.00,9.77325
638.00,10.17494
639.00,10.57261
640.00,10.96428
641.00,11.41574
642.00,11.82070
643.00,12.27171
644.00,12.69089
645.00,13.14416
646.00,13.55453
647.00,14.00805
648.00,14.44707
649.00,14.90059
650.00,15.32816
651.00,15.77962
652.00,16.23794
653.00,16.68231
654.00,17.10818
655.00,17.54979
656.00,18.00375
657.00,18.48336
658.00,18.90977
659.00,19.32784
660.00,19.80729
661.00,20.28993
662.00,20.72166
663.00,21.25910
664.00,21.66739
665.00,22.07644
666.00,22.56016
667.00,22.97926
668.00,23.36647
669.00,23.82174
670.00,24.28956
671.00,24.69514
672.00,25.06342
673.00,25.46616
674.00,25.85851
675.00,26.31244
676.00,26.64376
677.00,27.05973
678.00,27.40722
679.00,27.81086
680.00,28.23072
681.00,28.59026
682.00,28.94393
683.00,29.36001
684.00,29.65382
685.00,30.01581
686.00,30.39549
687.00,30.66810
688.00,31.00000
689.00,31.26004
690.00,31.63010
691.00,31.99708
692.00,32.26664
693.00,32.51992
694.00,32.78368
695.00,33.02040
696.00,33.40285
697.00,33.62574
698.00,33.80196
699.00,34.14515
700.00,34.22216
701.00,34.53273
702.00,34.78175
703.00,34.98870
704.00,35.15836
705.00,35.33364
706.00,35.60918
707.00,35.79532
708.00,35.94135
709.00,36.13143
710.00,36.27911
711.00,36.41315
712.00,36.66681
713.00,36.75437
714.00,36.94841
715.00,37.06695
716.00,37.33502
717.00,37.44943
718.00,37.56017
719.00,37.62676
720.00,37.77699
721.00,37.95037
722.00,38.02235
723.00,38.16036
724.00,38.18148
725.00,38.37799
726.00,38.46819
727.00,38.56586
728.00,38.64977
729.00,38.72037
730.00,38.83744
731.00,38.92136
732.00,38.98917
733.00,39.13543
734.00,39.14024
735.00,39.20488
736.00,39.28421
737.00,39.40762
738.00,39.46593
739.00,39.51088
740.00,39.59229
741.00,39.77555
742.00,39.56600
743.00,39.70113
744.00,39.78406
745.00,39.89901
746.00,40.01832
747.00,39.91987
748.00,39.94314
749.00,40.03544
750.00,40.06768
751.00,40.12590
752.00,40.32829
753.00,40.35580
754.00,40.32710
755.00,40.41823
756.00,40.53591
757.00,40.50332
758.00,40.42267
759.00,40.67093
760.00,40.65711
761.00,40.71060
762.00,40.73588
