"VII - RawData"
"Wavelength nm.","T%"
400.00,0.08492
401.00,0.08607
402.00,0.09195
403.00,0.09489
404.00,0.09721
405.00,0.09942
406.00,0.10465
407.00,0.10833
408.00,0.11243
409.00,0.11529
410.00,0.11908
411.00,0.12506
412.00,0.12917
413.00,0.13216
414.00,0.13589
415.00,0.14382
416.00,0.14807
417.00,0.15457
418.00,0.15577
419.00,0.16462
420.00,0.16611
421.00,0.17442
422.00,0.18184
423.00,0.18478
424.00,0.19107
425.00,0.19566
426.00,0.20085
427.00,0.20590
428.00,0.21443
429.00,0.22111
430.00,0.22789
431.00,0.23306
432.00,0.23971
433.00,0.24998
434.00,0.26129
435.00,0.27278
436.00,0.28429
437.00,0.29597
438.00,0.31085
439.00,0.32699
440.00,0.33601
441.00,0.34883
442.00,0.36167
443.00,0.37700
444.00,0.38411
445.00,0.39984
446.00,0.40979
447.00,0.42280
448.00,0.43425
449.00,0.43708
450.00,0.45722
451.00,0.46573
452.00,0.48052
453.00,0.49348
454.00,0.50212
455.00,0.51645
456.00,0.52791
457.00,0.53956
458.00,0.55861
459.00,0.56877
460.00,0.58705
461.00,0.60131
462.00,0.61401
463.00,0.62861
464.00,0.64289
465.00,0.66339
466.00,0.67598
467.00,0.69751
468.00,0.71372
469.00,0.73013
470.00,0.74595
471.00,0.76687
472.00,0.78931
473.00,0.80461
474.00,0.82621
475.00,0.84103
476.00,0.85725
477.00,0.87489
478.00,0.90305
479.00,0.92398
480.00,0.94147
481.00,0.96126
482.00,0.99198
483.00,1.00818
484.00,1.03089
485.00,1.05835
486.00,1.07707
487.00,1.10878
488.00,1.12878
489.00,1.14960
490.00,1.17712
491.00,1.19696
492.00,1.22402
493.00,1.25712
494.00,1.28386
495.00,1.30354
496.00,1.33322
497.00,1.35281
498.00,1.38438
499.00,1.41265
500.00,1.44207
501.00,1.47429
502.00,1.50249
503.00,1.53086
504.00,1.55463
505.00,1.58493
506.00,1.62104
507.00,1.65152
508.00,1.67918
509.00,1.71475
510.00,1.74910
511.00,1.77091
512.00,1.80716
513.00,1.83990
514.00,1.86971
515.00,1.91021
516.00,1.93179
517.00,1.96695
518.00,1.99805
519.00,2.03045
520.00,2.07351
521.00,2.09646
522.00,2.13644
523.00,2.16004
524.00,2.21207
525.00,2.23183
526.00,2.27075
527.00,2.30679
528.00,2.34580
529.00,2.37459
530.00,2.41777
531.00,2.45387
532.00,2.48754
533.00,2.52597
534.00,2.56417
535.00,2.60234
536.00,2.63265
537.00,2.66287
538.00,2.70720
539.00,2.74525
540.00,2.77294
541.00,2.80315
542.00,2.83679
543.00,2.86442
544.00,2.91313
545.00,2.93911
546.00,2.97502
547.00,3.01283
548.00,3.05067
549.00,3.07934
550.00,3.11109
551.00,3.14878
552.00,3.18078
553.00,3.20898
554.00,3.23932
555.00,3.28060
556.00,3.29941
557.00,3.33664
558.00,3.36839
559.00,3.39247
560.00,3.43510
561.00,3.47691
562.00,3.51060
563.00,3.53313
564.00,3.57170
565.00,3.59820
566.00,3.64104
567.00,3.69201
568.00,3.71550
569.00,3.75496
570.00,3.80061
571.00,3.85024
572.00,3.88907
573.00,3.93720
574.00,3.99099
575.00,4.05146
576.00,4.11062
577.00,4.16102
578.00,4.21294
579.00,4.27755
580.00,4.33900
581.00,4.40370
582.00,4.49363
583.00,4.56314
584.00,4.63495
585.00,4.72999
586.00,4.82525
587.00,4.91484
588.00,5.00975
589.00,5.11244
590.00,5.21746
591.00,5.34894
592.00,5.45786
593.00,5.60929
594.00,5.75377
595.00,5.90672
596.00,6.07816
597.00,6.25713
598.00,6.43099
599.00,6.63010
600.00,6.84976
601.00,7.06270
602.00,7.29432
603.00,7.55049
604.00,7.78333
605.00,8.07326
606.00,8.34418
607.00,8.65697
608.00,8.95883
609.00,9.28507
610.00,9.63041
611.00,9.97277
612.00,10.35051
613.00,10.73785
614.00,11.13972
615.00,11.57545
616.00,12.02139
617.00,12.49348
618.00,12.94774
619.00,13.46706
620.00,13.99345
621.00,14.50575
622.00,15.03426
623.00,15.61188
624.00,16.15767
625.00,16.73363
626.00,17.32913
627.00,17.94245
628.00,18.51865
629.00,19.16786
630.00,19.75364
631.00,20.45396
632.00,21.10358
