"X - RawData"
"Wavelength nm.","T%"
400.00,0.25106
401.00,0.25446
402.00,0.25521
403.00,0.25697
404.00,0.26118
405.00,0.25928
406.00,0.26264
407.00,0.26601
408.00,0.26406
409.00,0.26942
410.00,0.27079
411.00,0.27379
412.00,0.26845
413.00,0.26735
414.00,0.26824
415.00,0.26572
416.00,0.26451
417.00,0.25952
418.00,0.25740
419.00,0.25576
420.00,0.26130
421.00,0.25914
422.00,0.26436
423.00,0.26157
424.00,0.26718
425.00,0.28102
426.00,0.29621
427.00,0.31941
428.00,0.34268
429.00,0.36566
430.00,0.38985
431.00,0.41418
432.00,0.42892
433.00,0.44798
434.00,0.46160
435.00,0.46751
436.00,0.48139
437.00,0.49372
438.00,0.50056
439.00,0.50106
440.00,0.50956
441.00,0.51857
442.00,0.51864
443.00,0.52596
444.00,0.53619
445.00,0.53539
446.00,0.54157
447.00,0.54315
448.00,0.55521
449.00,0.55531
450.00,0.56098
451.00,0.56893
452.00,0.56869
453.00,0.57890
454.00,0.57988
455.00,0.58450
456.00,0.59010
457.00,0.59529
458.00,0.60677
459.00,0.60759
460.00,0.61034
461.00,0.61380
462.00,0.62058
463.00,0.62334
464.00,0.63366
465.00,0.64051
466.00,0.64460
467.00,0.65221
468.00,0.65299
469.00,0.66004
470.00,0.66075
471.00,0.66674
472.00,0.67518
473.00,0.68070
474.00,0.69184
475.00,0.69034
476.00,0.69826
477.00,0.70085
478.00,0.70233
479.00,0.71196
480.00,0.72097
481.00,0.72145
482.00,0.72541
483.00,0.73590
484.00,0.73748
485.00,0.74685
486.00,0.74818
487.00,0.75861
488.00,0.75589
489.00,0.76710
490.00,0.77278
491.00,0.78051
492.00,0.77968
493.00,0.78570
494.00,0.78905
495.00,0.79502
496.00,0.80022
497.00,0.80504
498.00,0.81404
499.00,0.81796
500.00,0.82249
501.00,0.82530
502.00,0.83330
503.00,0.83816
504.00,0.83985
505.00,0.84083
506.00,0.85299
507.00,0.86049
508.00,0.86450
509.00,0.86599
510.00,0.86621
511.00,0.87863
512.00,0.88183
513.00,0.88852
514.00,0.89258
515.00,0.89402
516.00,0.90139
517.00,0.90672
518.00,0.91232
519.00,0.91343
520.00,0.92119
521.00,0.92378
522.00,0.92282
523.00,0.93130
524.00,0.93546
525.00,0.94081
526.00,0.94110
527.00,0.94861
528.00,0.95367
529.00,0.94751
530.00,0.96263
531.00,0.96071
532.00,0.96696
533.00,0.97028
534.00,0.97309
535.00,0.97284
536.00,0.98179
537.00,0.99253
538.00,0.99950
539.00,1.00269
540.00,1.00050
541.00,1.00723
542.00,1.01294
543.00,1.01171
544.00,1.01156
545.00,1.01909
546.00,1.02584
547.00,1.02551
548.00,1.02263
549.00,1.03096
550.00,1.03706
551.00,1.03860
552.00,1.04219
553.00,1.04736
554.00,1.05156
555.00,1.04693
556.00,1.05196
557.00,1.05553
558.00,1.06161
559.00,1.06688
560.00,1.06819
561.00,1.08200
562.00,1.08421
563.00,1.08677
564.00,1.09493
565.00,1.10977
566.00,1.11358
567.00,1.11935
568.00,1.12809
569.00,1.13769
570.00,1.14743
571.00,1.16494
572.00,1.16970
573.00,1.18431
574.00,1.19451
575.00,1.20388
576.00,1.22211
577.00,1.23438
578.00,1.24917
579.00,1.26776
580.00,1.28159
581.00,1.30336
582.00,1.32292
583.00,1.34331
584.00,1.36952
585.00,1.38804
586.00,1.41024
587.00,1.44559
588.00,1.47649
589.00,1.50452
590.00,1.54410
591.00,1.57579
592.00,1.62516
593.00,1.66274
594.00,1.70633
595.00,1.75599
596.00,1.81790
597.00,1.86877
598.00,1.93313
599.00,1.99971
600.00,2.07372
601.00,2.13812
602.00,2.22913
603.00,2.30583
604.00,2.39442
605.00,2.50723
606.00,2.60404
607.00,2.70370
608.00,2.81834
609.00,2.94302
610.00,3.07015
611.00,3.21339
612.00,3.35946
613.00,3.51172
614.00,3.66876
615.00,3.85075
616.00,4.01879
617.00,4.22848
618.00,4.42664
619.00,4.64518
620.00,4.87094
621.00,5.10425
622.00,5.35241
623.00,5.60749
624.00,5.87437
625.00,6.15380
626.00,6.42838
627.00,6.71644
628.00,7.01700
629.00,7.31694
630.00,7.62226
631.00,7.93766
632.00,8.29485
633.00,8.64034
634.00,9.03343
635.00,9.37747
636.00,9.75571
637.00,10.15067
638.00,10.53609
639.00,10.95086
640.00,11.36171
641.00,11.76951
642.00,12.20651
643.00,12.60097
644.00,13.02578
645.00,13.44521
646.00,13.88308
647.00,14.31026
648.00,14.75417
649.00,15.17728
650.00,15.65724
651.00,16.06254
652.00,16.48499
653.00,16.93494
654.00,17.31951
655.00,17.79597
656.00,18.19911
657.00,18.64595
658.00,19.07506
659.00,19.50498
660.00,19.95448
661.00,20.42535
662.00,20.88203
663.00,21.26644
664.00,21.74973
665.00,22.14461
666.00,22.54547
667.00,23.01991
668.00,23.40047
669.00,23.81163
670.00,24.23726
671.00,24.62092
672.00,24.99432
673.00,25.35495
674.00,25.77008
675.00,26.13971
676.00,26.52881
677.00,26.92416
678.00,27.26158
679.00,27.66814
680.00,28.04719
681.00,28.36904
682.00,28.75426
683.00,29.09249
684.00,29.48375
685.00,29.79473
686.00,30.08215
687.00,30.40027
688.00,30.77249
689.00,30.97875
690.00,31.38345
691.00,31.68909
692.00,31.95534
693.00,32.30006
694.00,32.46895
695.00,32.72552
696.00,33.05906
697.00,33.20365
698.00,33.47093
699.00,33.67806
700.00,33.96492
701.00,34.13097
702.00,34.32212
703.00,34.53782
704.00,34.74469
705.00,34.99601
706.00,35.07749
707.00,35.31055
708.00,35.49876
709.00,35.62894
710.00,35.76718
711.00,35.97068
712.00,36.04191
713.00,36.26023
714.00,36.39814
715.00,36.46699
716.00,36.56096
717.00,36.70021
718.00,36.81857
719.00,36.91037
720.00,37.08539
721.00,37.12672
722.00,37.17083
723.00,37.33783
724.00,37.46613
725.00,37.57052
726.00,37.52970
727.00,37.71828
728.00,37.70389
729.00,37.88953
730.00,37.86316
731.00,38.00584
732.00,38.09678
733.00,38.15698
734.00,38.07990
735.00,38.21513
736.00,38.33553
737.00,38.30756
738.00,38.38270
739.00,38.42470
740.00,38.53375
741.00,38.61211
742.00,38.67271
743.00,38.69360
744.00,38.79041
745.00,38.69157
746.00,38.69894
747.00,39.02524
748.00,39.00849
749.00,39.00017
750.00,39.12711
751.00,39.08359
752.00,39.10948
753.00,39.26841
754.00,39.29137
755.00,39.23329
756.00,39.41571
757.00,39.48122
758.00,39.41954
759.00,39.49730
760.00,39.58327
761.00,39.72811
762.00,39.58223
763.00,39.85805
764.00,39.81669
765.00,39.90410
766.00,39.98462
767.00,40.05859
768.00,40.09794
769.00,40.22705
770.00,40.30528
771.00,40.28503
772.00,40.52726
773.00,40.32622
774.00,40.59613
775.00,40.62363
776.00,40.68944
777.00,40.59518
778.00,40.77746
779.00,40.62386
780.00,40.86108
781.00,40.90988
782.00,40.98071
783.00,40.92317
784.00,40.90971
785.00,41.14383
786.00,41.20153
787.00,41.14773
788.00,41.38220
789.00,41.42388
790.00,41.59195
791.00,41.52733
792.00,41.53031
793.00,41.56393
794.00,41.46726
795.00,41.67647
796.00,41.73639
797.00,41.76699
798.00,42.08081
799.00,41.94657
800.00,42.12012
801.00,42.18015
802.00,41.95079
803.00,42.05957
804.00,42.12221
805.00,42.16792
806.00,42.10260
807.00,42.24161
808.00,42.28059
809.00,42.45606
810.00,42.58011
811.00,42.78593
812.00,42.56340
813.00,42.78541
814.00,42.73389
815.00,42.84985
816.00,42.55421
817.00,43.03694
818.00,42.89851
819.00,42.91845
820.00,43.21521
821.00,43.08807
822.00,43.31957
823.00,43.18090
824.00,43.25939
825.00,43.51641
826.00,43.38036
827.00,43.59493
828.00,43.53352
829.00,43.48608
830.00,43.23978
831.00,43.78292
832.00,43.91412
833.00,43.67865
834.00,43.95773
835.00,43.81913
836.00,43.75026
837.00,43.96304
838.00,44.07400
839.00,44.15905
840.00,44.16133
841.00,44.44632
842.00,44.43436
843.00,44.26145
844.00,45.05537
845.00,44.47364
846.00,44.62295
847.00,45.16629
848.00,44.89316
849.00,44.65228
850.00,45.40769
851.00,45.01892
852.00,45.83653
853.00,45.13735
854.00,45.00757
855.00,43.68487
856.00,44.89658
857.00,45.69168
858.00,45.08015
859.00,44.48190
860.00,45.88301
861.00,44.50868
862.00,44.40860
863.00,47.70645
864.00,46.20656
865.00,47.04273
866.00,45.79906
867.00,43.82151
868.00,48.10559
869.00,43.83365
870.00,46.14795
871.00,44.23328
872.00,44.16244
873.00,47.54698
874.00,43.23627
875.00,45.79577
876.00,44.76715
877.00,48.02743
878.00,50.49722
879.00,42.95800
880.00,45.18166
881.00,42.81544
882.00,48.24268
883.00,46.40168
884.00,43.85131
885.00,41.02827
886.00,46.52655
887.00,40.51951
888.00,50.86083
889.00,42.20253
890.00,46.03685
891.00,48.52618
892.00,41.85084
893.00,42.26431
894.00,43.73601
895.00,41.93787
896.00,43.65073
897.00,47.97390
898.00,39.73185
899.00,40.90598
900.00,46.81744
