"I - RawData"
"Wavelength nm.","T%"
400.00,0.14521
401.00,0.15077
402.00,0.15078
403.00,0.15387
404.00,0.15515
405.00,0.15760
406.00,0.15714
407.00,0.16238
408.00,0.16151
409.00,0.15679
410.00,0.16086
411.00,0.16233
412.00,0.15662
413.00,0.15983
414.00,0.15566
415.00,0.14876
416.00,0.14500
417.00,0.14147
418.00,0.13777
419.00,0.13682
420.00,0.13625
421.00,0.14182
422.00,0.14810
423.00,0.15583
424.00,0.17350
425.00,0.19668
426.00,0.23004
427.00,0.27174
428.00,0.32111
429.00,0.37548
430.00,0.42383
431.00,0.47416
432.00,0.51919
433.00,0.55386
434.00,0.58054
435.00,0.60022
436.00,0.62062
437.00,0.63783
438.00,0.65319
439.00,0.65393
440.00,0.67389
441.00,0.68364
442.00,0.69876
443.00,0.70205
444.00,0.71604
445.00,0.72869
446.00,0.73123
447.00,0.74590
448.00,0.75370
449.00,0.76007
450.00,0.77183
451.00,0.77752
452.00,0.78786
453.00,0.79848
454.00,0.80845
455.00,0.81930
456.00,0.82806
457.00,0.84223
458.00,0.84787
459.00,0.85647
460.00,0.86340
461.00,0.87384
462.00,0.88840
463.00,0.89393
464.00,0.90225
465.00,0.92134
466.00,0.92650
467.00,0.94290
468.00,0.94789
469.00,0.96543
470.00,0.97227
471.00,0.97452
472.00,0.98663
473.00,1.00210
474.00,1.00429
475.00,1.01643
476.00,1.02179
477.00,1.03466
478.00,1.04141
479.00,1.05061
480.00,1.06337
481.00,1.07049
482.00,1.08085
483.00,1.08777
484.00,1.09573
485.00,1.10902
486.00,1.11850
487.00,1.12149
488.00,1.12950
489.00,1.14389
490.00,1.14962
491.00,1.16255
492.00,1.17178
493.00,1.18167
494.00,1.18615
495.00,1.19867
496.00,1.21222
497.00,1.21823
498.00,1.23269
499.00,1.22977
500.00,1.24409
501.00,1.25744
502.00,1.26449
503.00,1.27303
504.00,1.27916
505.00,1.29576
506.00,1.29690
507.00,1.31812
508.00,1.32337
509.00,1.33190
510.00,1.34889
511.00,1.35199
512.00,1.36189
513.00,1.37610
514.00,1.38203
515.00,1.39297
516.00,1.39949
517.00,1.41472
518.00,1.41990
519.00,1.43030
520.00,1.44856
521.00,1.44743
522.00,1.45411
523.00,1.46812
524.00,1.46881
525.00,1.48271
526.00,1.48782
527.00,1.50002
528.00,1.51203
529.00,1.51772
530.00,1.52245
531.00,1.52534
532.00,1.54391
533.00,1.54017
534.00,1.55118
535.00,1.55193
536.00,1.56042
537.00,1.55178
538.00,1.55489
539.00,1.55844
540.00,1.56660
541.00,1.57318
542.00,1.57998
543.00,1.58394
544.00,1.58637
545.00,1.59692
546.00,1.59581
547.00,1.59848
548.00,1.60378
549.00,1.61242
550.00,1.61800
551.00,1.61927
552.00,1.61646
553.00,1.62285
554.00,1.63467
555.00,1.63533
556.00,1.63731
557.00,1.65067
558.00,1.65556
559.00,1.66205
560.00,1.66036
561.00,1.67231
562.00,1.68018
563.00,1.68408
564.00,1.70384
565.00,1.71854
566.00,1.72807
567.00,1.73145
568.00,1.74766
569.00,1.75089
570.00,1.76257
571.00,1.77184
572.00,1.77999
573.00,1.80449
574.00,1.81244
575.00,1.82290
576.00,1.83844
577.00,1.85259
578.00,1.87808
579.00,1.89901
580.00,1.91670
581.00,1.94443
582.00,1.96955
583.00,1.99791
584.00,2.03425
585.00,2.05930
586.00,2.09538
587.00,2.13621
588.00,2.17139
589.00,2.21392
590.00,2.26094
591.00,2.32034
592.00,2.36628
593.00,2.43008
594.00,2.49065
595.00,2.56546
596.00,2.63103
597.00,2.72045
598.00,2.80451
599.00,2.88617
600.00,2.97440
601.00,3.07215
602.00,3.17741
603.00,3.28985
604.00,3.40586
605.00,3.53941
606.00,3.67189
607.00,3.81708
608.00,3.96177
609.00,4.12029
610.00,4.27776
611.00,4.46588
612.00,4.64695
613.00,4.84683
614.00,5.04760
615.00,5.26810
616.00,5.48106
617.00,5.72777
618.00,5.98410
619.00,6.25298
620.00,6.52831
621.00,6.82442
622.00,7.10596
623.00,7.42300
624.00,7.73645
625.00,8.05703
626.00,8.39865
627.00,8.74994
628.00,9.07687
629.00,9.45421
630.00,9.83758
631.00,10.20087
632.00,10.58634
633.00,11.01379
634.00,11.41298
635.00,11.85991
636.00,12.30945
637.00,12.72829
638.00,13.18491
639.00,13.68078
640.00,14.09906
641.00,14.58753
642.00,15.08944
643.00,15.59534
644.00,16.04444
645.00,16.53650
646.00,17.03669
647.00,17.53331
648.00,18.00406
649.00,18.49910
650.00,18.99394
651.00,19.47658
652.00,19.99482
653.00,20.53401
654.00,20.97976
655.00,21.50240
656.00,21.99625
657.00,22.46687
658.00,22.99698
659.00,23.48835
660.00,23.96961
661.00,24.50005
662.00,25.06278
663.00,25.46787
664.00,26.01195
665.00,26.49080
666.00,26.94086
667.00,27.42399
668.00,27.94601
669.00,28.40212
670.00,28.82474
671.00,29.30616
672.00,29.77301
673.00,30.16492
674.00,30.51271
675.00,30.96941
676.00,31.36599
677.00,31.78357
678.00,32.21584
679.00,32.51926
680.00,33.06575
681.00,33.37709
682.00,33.77696
683.00,34.12366
684.00,34.42984
685.00,34.78280
686.00,35.07739
687.00,35.39360
688.00,35.82593
689.00,36.04715
690.00,36.27947
691.00,36.57405
692.00,36.85338
693.00,37.10642
694.00,37.36826
695.00,37.56765
696.00,37.85909
697.00,38.04283
698.00,38.25967
699.00,38.44773
700.00,38.76081
701.00,38.93650
702.00,39.12862
703.00,39.23710
704.00,39.42929
705.00,39.67335
706.00,39.91888
707.00,39.98697
708.00,40.22278
709.00,40.35836
710.00,40.51649
711.00,40.70502
712.00,40.88701
713.00,41.05746
714.00,41.18766
715.00,41.38361
716.00,41.41639
717.00,41.58367
718.00,41.71208
719.00,41.87121
720.00,42.04826
721.00,42.24031
722.00,42.37365
