"V - RawData"
"Wavelength nm.","T%"
400.00,0.55079
401.00,0.56133
402.00,0.56511
403.00,0.57123
404.00,0.58084
405.00,0.59187
406.00,0.60351
407.00,0.61202
408.00,0.62470
409.00,0.63282
410.00,0.64853
411.00,0.65501
412.00,0.66292
413.00,0.67692
414.00,0.69043
415.00,0.69910
416.00,0.70748
417.00,0.72565
418.00,0.73698
419.00,0.74217
420.00,0.76030
421.00,0.77046
422.00,0.78145
423.00,0.79384
424.00,0.80567
425.00,0.81965
426.00,0.82433
427.00,0.83978
428.00,0.85362
429.00,0.86304
430.00,0.86839
431.00,0.87869
432.00,0.89097
433.00,0.90272
434.00,0.90688
435.00,0.91988
436.00,0.92815
437.00,0.94230
438.00,0.94828
439.00,0.95769
440.00,0.96357
441.00,0.97213
442.00,0.97916
443.00,0.99578
444.00,1.00251
445.00,1.01013
446.00,1.01976
447.00,1.02708
448.00,1.03448
449.00,1.04522
450.00,1.04651
451.00,1.04927
452.00,1.06290
453.00,1.06996
454.00,1.08078
455.00,1.08154
456.00,1.09439
457.00,1.10136
458.00,1.10520
459.00,1.11538
460.00,1.11870
461.00,1.12285
462.00,1.13036
463.00,1.14867
464.00,1.14749
465.00,1.15404
466.00,1.16297
467.00,1.16907
468.00,1.17748
469.00,1.18807
470.00,1.18680
471.00,1.19580
472.00,1.20640
473.00,1.21023
474.00,1.22327
475.00,1.22780
476.00,1.23420
477.00,1.23939
478.00,1.23755
479.00,1.24783
480.00,1.25488
481.00,1.26094
482.00,1.27616
483.00,1.28088
484.00,1.29118
485.00,1.30048
486.00,1.30667
487.00,1.30037
488.00,1.31870
489.00,1.32517
490.00,1.33333
491.00,1.33953
492.00,1.34206
493.00,1.34953
494.00,1.35959
495.00,1.36589
496.00,1.37228
497.00,1.38020
498.00,1.38656
499.00,1.39893
500.00,1.40902
501.00,1.41473
502.00,1.42083
503.00,1.42966
504.00,1.43533
505.00,1.44803
506.00,1.46079
507.00,1.46643
508.00,1.47724
509.00,1.48197
510.00,1.49821
511.00,1.51214
512.00,1.51739
513.00,1.53014
514.00,1.53115
515.00,1.56385
516.00,1.56616
517.00,1.58600
518.00,1.59403
519.00,1.61368
520.00,1.62335
521.00,1.64164
522.00,1.65253
523.00,1.66775
524.00,1.68617
525.00,1.71009
526.00,1.71813
527.00,1.74146
528.00,1.76126
529.00,1.77877
530.00,1.79827
531.00,1.81558
532.00,1.84076
533.00,1.85936
534.00,1.87319
535.00,1.90105
536.00,1.91997
537.00,1.95316
538.00,1.97157
539.00,1.99455
540.00,2.00949
541.00,2.03893
542.00,2.05018
543.00,2.07117
544.00,2.09725
545.00,2.13068
546.00,2.14616
547.00,2.16735
548.00,2.19503
549.00,2.20982
550.00,2.23266
551.00,2.25597
552.00,2.27181
553.00,2.30072
554.00,2.31896
555.00,2.33501
556.00,2.35734
557.00,2.37998
558.00,2.39602
559.00,2.41716
560.00,2.44299
561.00,2.45573
562.00,2.48635
563.00,2.49744
564.00,2.51848
565.00,2.54415
566.00,2.56269
567.00,2.57397
568.00,2.58833
569.00,2.60870
570.00,2.62223
571.00,2.64303
572.00,2.65914
