"Ag2BiI5_X - RawData"
"Wavelength nm.","T%"
400.00,0.01942
401.00,0.02040
402.00,0.01968
403.00,0.02130
404.00,0.02156
405.00,0.02106
406.00,0.02151
407.00,0.02300
408.00,0.02200
409.00,0.02312
410.00,0.02388
411.00,0.02286
412.00,0.02267
413.00,0.02332
414.00,0.02386
415.00,0.02318
416.00,0.02451
417.00,0.02603
418.00,0.02364
419.00,0.02479
420.00,0.02522
421.00,0.02603
422.00,0.02648
423.00,0.02710
424.00,0.02893
425.00,0.03029
426.00,0.03328
427.00,0.03720
428.00,0.03777
429.00,0.04287
430.00,0.04675
431.00,0.05029
432.00,0.05184
433.00,0.05389
434.00,0.05569
435.00,0.05919
436.00,0.05954
437.00,0.06188
438.00,0.06434
439.00,0.06419
440.00,0.06715
441.00,0.06689
442.00,0.06987
443.00,0.07053
444.00,0.07134
445.00,0.07410
446.00,0.07598
447.00,0.07709
448.00,0.08025
449.00,0.08243
450.00,0.08100
451.00,0.08267
452.00,0.08288
453.00,0.08595
454.00,0.08918
455.00,0.09217
456.00,0.09306
457.00,0.09444
458.00,0.09642
459.00,0.10018
460.00,0.10119
461.00,0.10123
462.00,0.10339
463.00,0.10601
464.00,0.10748
465.00,0.11187
466.00,0.11372
467.00,0.11532
468.00,0.11670
469.00,0.11701
470.00,0.12078
471.00,0.12163
472.00,0.12429
473.00,0.12750
474.00,0.12858
475.00,0.12902
476.00,0.13073
477.00,0.13470
478.00,0.13809
479.00,0.13836
480.00,0.14044
481.00,0.14324
482.00,0.14655
483.00,0.14905
484.00,0.14788
485.00,0.15410
486.00,0.15634
487.00,0.15735
488.00,0.15889
489.00,0.16510
490.00,0.16334
491.00,0.16821
492.00,0.17012
493.00,0.17157
494.00,0.17470
495.00,0.17968
496.00,0.18024
497.00,0.18121
498.00,0.18626
499.00,0.18602
500.00,0.19224
501.00,0.19241
502.00,0.19532
503.00,0.19942
504.00,0.20347
505.00,0.20164
506.00,0.20954
507.00,0.21069
508.00,0.21396
509.00,0.21575
510.00,0.22158
511.00,0.22214
512.00,0.22467
513.00,0.22953
514.00,0.23414
515.00,0.23507
516.00,0.23929
517.00,0.23960
518.00,0.24696
519.00,0.25059
520.00,0.25459
521.00,0.25418
522.00,0.25741
523.00,0.26354
524.00,0.26581
525.00,0.26556
526.00,0.27326
527.00,0.27522
528.00,0.28098
529.00,0.28084
530.00,0.28601
531.00,0.28975
532.00,0.29435
533.00,0.29498
534.00,0.29516
535.00,0.30193
536.00,0.30344
537.00,0.30704
538.00,0.30973
539.00,0.31253
540.00,0.31508
541.00,0.31799
542.00,0.32225
543.00,0.32497
544.00,0.32684
545.00,0.33069
546.00,0.33634
547.00,0.33761
548.00,0.34151
549.00,0.33856
550.00,0.34699
551.00,0.34497
552.00,0.35042
553.00,0.35268
554.00,0.35592
555.00,0.35594
556.00,0.36273
557.00,0.36557
558.00,0.36913
559.00,0.37289
560.00,0.37643
561.00,0.38012
562.00,0.38669
563.00,0.38803
564.00,0.39340
565.00,0.39959
566.00,0.40355
567.00,0.40904
568.00,0.41664
569.00,0.42131
570.00,0.43345
571.00,0.44082
572.00,0.44629
573.00,0.45769
574.00,0.46462
575.00,0.47388
576.00,0.48574
577.00,0.49663
578.00,0.50994
579.00,0.51861
580.00,0.53436
581.00,0.55071
582.00,0.56374
583.00,0.58332
584.00,0.59887
585.00,0.61567
586.00,0.63581
587.00,0.65948
588.00,0.68122
589.00,0.70546
590.00,0.73579
591.00,0.76574
592.00,0.79853
593.00,0.83124
594.00,0.87352
595.00,0.91123
596.00,0.95096
597.00,0.99624
598.00,1.04421
599.00,1.09938
600.00,1.15427
601.00,1.21574
602.00,1.27769
603.00,1.34618
604.00,1.42076
605.00,1.50255
606.00,1.59011
607.00,1.68044
608.00,1.76833
609.00,1.86637
610.00,1.97435
611.00,2.09078
612.00,2.21774
613.00,2.35007
614.00,2.48212
615.00,2.63463
616.00,2.79278
617.00,2.97037
618.00,3.14900
619.00,3.33116
620.00,3.53801
621.00,3.75273
622.00,3.97915
623.00,4.20872
624.00,4.44037
625.00,4.69375
626.00,4.95225
627.00,5.22124
628.00,5.51949
629.00,5.81991
630.00,6.11001
631.00,6.41853
632.00,6.75256
633.00,7.08978
634.00,7.43775
635.00,7.82085
636.00,8.21280
637.00,8.57651
638.00,8.98767
639.00,9.38658
640.00,9.80813
641.00,10.25722
642.00,10.66724
643.00,11.10634
644.00,11.58041
645.00,11.99240
646.00,12.43655
647.00,12.90256
648.00,13.36093
649.00,13.82361
650.00,14.31754
651.00,14.77169
652.00,15.22719
653.00,15.69109
654.00,16.12776
655.00,16.61196
656.00,17.08688
657.00,17.54225
658.00,18.02621
659.00,18.45165
660.00,18.90087
661.00,19.40983
662.00,19.90170
663.00,20.35064
664.00,20.77874
665.00,21.27122
666.00,21.73742
667.00,22.17895
668.00,22.57420
669.00,23.06319
670.00,23.46166
671.00,23.90003
672.00,24.31965
673.00,24.70499
674.00,25.09091
675.00,25.51494
676.00,25.91580
