"Cu2AgBiI6_V - RawData"
"Wavelength nm.","T%"
400.00,0.36737
401.00,0.36977
402.00,0.38120
403.00,0.38756
404.00,0.39038
405.00,0.39570
406.00,0.39922
407.00,0.40757
408.00,0.41652
409.00,0.42116
410.00,0.42953
411.00,0.43748
412.00,0.44946
413.00,0.45381
414.00,0.45847
415.00,0.46352
416.00,0.47535
417.00,0.48178
418.00,0.49034
419.00,0.49430
420.00,0.50781
421.00,0.51315
422.00,0.51909
423.00,0.52346
424.00,0.53554
425.00,0.54168
426.00,0.55092
427.00,0.55273
428.00,0.56185
429.00,0.56771
430.00,0.57622
431.00,0.58867
432.00,0.59368
433.00,0.59818
434.00,0.60218
435.00,0.61097
436.00,0.61616
437.00,0.62728
438.00,0.63143
439.00,0.63275
440.00,0.64542
441.00,0.64594
442.00,0.65097
443.00,0.66191
444.00,0.66591
445.00,0.67380
446.00,0.67427
447.00,0.67904
448.00,0.68740
449.00,0.68850
450.00,0.69835
451.00,0.69583
452.00,0.70429
453.00,0.71134
454.00,0.71056
455.00,0.71450
456.00,0.72243
457.00,0.72592
458.00,0.72692
459.00,0.73574
460.00,0.74113
461.00,0.73685
462.00,0.74110
463.00,0.74632
464.00,0.75008
465.00,0.75225
466.00,0.76417
467.00,0.75811
468.00,0.75973
469.00,0.76448
470.00,0.76592
471.00,0.76758
472.00,0.76563
473.00,0.77651
474.00,0.77651
475.00,0.77706
476.00,0.77819
477.00,0.78195
478.00,0.78219
479.00,0.78541
480.00,0.78633
481.00,0.78392
482.00,0.78698
483.00,0.78375
484.00,0.79225
485.00,0.79389
486.00,0.79398
487.00,0.79633
488.00,0.79433
489.00,0.79660
490.00,0.79496
491.00,0.80085
492.00,0.79777
493.00,0.80282
494.00,0.80706
495.00,0.80449
496.00,0.80486
497.00,0.80838
498.00,0.80821
499.00,0.81064
500.00,0.80707
501.00,0.81524
502.00,0.81205
503.00,0.82322
504.00,0.82030
505.00,0.81899
506.00,0.82573
507.00,0.83005
508.00,0.83141
509.00,0.83493
510.00,0.83648
511.00,0.84069
512.00,0.84408
513.00,0.84884
514.00,0.85918
515.00,0.86595
516.00,0.86385
517.00,0.86822
518.00,0.87665
519.00,0.88442
520.00,0.89283
521.00,0.90029
522.00,0.90239
523.00,0.91387
524.00,0.91794
525.00,0.92271
526.00,0.93131
527.00,0.94379
528.00,0.94926
529.00,0.95866
530.00,0.96001
531.00,0.96574
532.00,0.97503
533.00,0.97734
534.00,0.99483
535.00,0.99662
536.00,1.00805
537.00,1.00243
538.00,1.00959
539.00,1.01923
540.00,1.02429
541.00,1.02602
542.00,1.03733
543.00,1.03783
544.00,1.04055
545.00,1.04721
546.00,1.04706
547.00,1.05876
548.00,1.06338
549.00,1.06474
550.00,1.06718
551.00,1.06884
552.00,1.06846
553.00,1.07326
554.00,1.07548
555.00,1.07443
556.00,1.07821
557.00,1.07682
558.00,1.08026
559.00,1.08500
560.00,1.08856
561.00,1.08868
562.00,1.09352
563.00,1.08628
564.00,1.09020
565.00,1.08899
566.00,1.09813
567.00,1.09587
568.00,1.09934
569.00,1.09912
570.00,1.09806
571.00,1.09532
572.00,1.10437
573.00,1.10336
574.00,1.09901
575.00,1.10257
576.00,1.10792
577.00,1.11218
578.00,1.11664
579.00,1.11414
580.00,1.11500
581.00,1.12260
582.00,1.12409
583.00,1.12276
584.00,1.13495
585.00,1.14290
586.00,1.14957
587.00,1.15525
588.00,1.16173
589.00,1.17253
590.00,1.18232
591.00,1.19521
592.00,1.20015
593.00,1.21727
594.00,1.22619
595.00,1.25015
596.00,1.26259
597.00,1.28393
598.00,1.30531
599.00,1.33289
600.00,1.36040
601.00,1.38237
602.00,1.41507
603.00,1.44672
604.00,1.48694
605.00,1.53170
606.00,1.57673
607.00,1.62066
608.00,1.67384
609.00,1.73802
610.00,1.79942
611.00,1.87219
612.00,1.95452
613.00,2.03316
614.00,2.12429
615.00,2.21116
616.00,2.32823
617.00,2.43424
618.00,2.55409
619.00,2.69037
620.00,2.84144
621.00,2.97812
622.00,3.13232
623.00,3.30024
624.00,3.45884
625.00,3.65083
626.00,3.84523
627.00,4.04478
628.00,4.24949
629.00,4.47090
630.00,4.67779
631.00,4.91420
632.00,5.16619
633.00,5.41240
634.00,5.68761
635.00,5.94581
636.00,6.21671
637.00,6.52410
638.00,6.82404
639.00,7.13266
640.00,7.48098
641.00,7.80566
642.00,8.11831
643.00,8.46744
644.00,8.79858
645.00,9.15156
646.00,9.50352
647.00,9.87275
648.00,10.24736
649.00,10.60383
650.00,11.00713
651.00,11.35985
652.00,11.73057
653.00,12.13233
654.00,12.49730
655.00,12.88010
656.00,13.26920
657.00,13.69070
658.00,14.04337
659.00,14.44186
660.00,14.82281
661.00,15.22215
662.00,15.66849
663.00,16.04116
664.00,16.44942
665.00,16.81364
666.00,17.16536
667.00,17.61992
668.00,17.95138
669.00,18.33205
670.00,18.67798
671.00,18.96262
672.00,19.33585
673.00,19.68325
674.00,20.00906
675.00,20.36935
676.00,20.61349
677.00,20.96566
678.00,21.29361
679.00,21.55890
680.00,21.91153
681.00,22.16774
682.00,22.38181
683.00,22.71119
684.00,22.92151
685.00,23.21637
686.00,23.48698
687.00,23.71680
688.00,23.89880
689.00,24.15052
690.00,24.36916
691.00,24.47197
692.00,24.80630
693.00,24.94235
694.00,25.16567
695.00,25.35179
696.00,25.45035
697.00,25.59519
698.00,25.72628
699.00,25.96352
700.00,26.13171
701.00,26.21802
702.00,26.37835
703.00,26.49859
704.00,26.64394
705.00,26.74179
706.00,26.87075
707.00,27.02359
708.00,27.03567
709.00,27.23223
710.00,27.28785
711.00,27.40597
712.00,27.54411
713.00,27.58846
714.00,27.65012
715.00,27.69359
716.00,27.85080
717.00,27.94293
718.00,27.90089
719.00,28.06899
720.00,28.17670
721.00,28.19155
722.00,28.26270
723.00,28.31426
724.00,28.48478
725.00,28.46693
726.00,28.53442
727.00,28.56709
728.00,28.60269
729.00,28.72063
730.00,28.78390
731.00,28.86258
732.00,28.84557
733.00,28.93546
734.00,29.04345
735.00,29.04687
736.00,29.01861
737.00,29.06331
738.00,29.14412
739.00,29.28455
740.00,29.15239
741.00,29.32287
742.00,29.28864
743.00,29.37841
744.00,29.31042
745.00,29.40964
746.00,29.51487
747.00,29.48021
748.00,29.50751
749.00,29.46591
750.00,29.58338
751.00,29.63146
752.00,29.64708
753.00,29.59841
754.00,29.76271
755.00,29.61718
756.00,29.74506
757.00,29.70978
758.00,29.79830
759.00,29.74398
760.00,29.97713
761.00,29.99644
762.00,29.98306
763.00,29.83230
764.00,29.88811
765.00,29.98560
766.00,30.13264
767.00,30.14500
768.00,30.01394
769.00,30.06174
770.00,29.99817
771.00,30.09605
772.00,30.25838
773.00,30.32631
774.00,30.14890
775.00,30.19974
776.00,30.28558
777.00,30.31621
778.00,30.19519
779.00,30.45887
780.00,30.37721
781.00,30.45559
782.00,30.53252
783.00,30.29653
784.00,30.49971
785.00,30.50418
786.00,30.35277
787.00,30.33284
788.00,30.44199
789.00,30.55305
790.00,30.48509
791.00,30.57463
792.00,30.40342
793.00,30.68611
794.00,30.72054
795.00,30.54174
796.00,30.75485
797.00,30.72604
798.00,30.79428
799.00,30.53396
800.00,30.69360
801.00,30.97087
802.00,30.94776
803.00,30.65398
804.00,30.79956
805.00,30.86268
806.00,30.93239
807.00,30.71826
808.00,30.97949
809.00,30.75093
810.00,30.97313
811.00,30.83957
812.00,31.11696
813.00,30.98051
814.00,30.88368
815.00,30.94219
816.00,30.95666
817.00,30.95968
818.00,31.15838
819.00,30.98968
820.00,31.11305
821.00,31.10534
822.00,31.17138
823.00,31.23790
824.00,31.39577
825.00,31.39199
826.00,31.14929
827.00,31.15472
828.00,31.48545
829.00,31.00229
830.00,31.30897
831.00,31.32172
832.00,31.44718
833.00,31.51294
834.00,31.38603
835.00,31.34354
836.00,31.25581
837.00,31.37823
838.00,31.39035
839.00,31.46414
840.00,31.05628
841.00,31.45212
842.00,31.56812
843.00,31.67825
844.00,31.30671
845.00,31.19617
846.00,31.64580
847.00,30.80236
848.00,31.57558
849.00,32.22950
850.00,31.23005
851.00,31.99069
852.00,32.17405
853.00,31.53811
854.00,31.87180
855.00,31.22629
856.00,31.95508
857.00,32.66224
858.00,32.84419
859.00,31.17263
860.00,31.13213
861.00,29.93760
862.00,31.46129
863.00,32.98286
864.00,31.07100
865.00,33.01569
866.00,31.57097
867.00,32.12734
868.00,31.47953
869.00,32.60700
870.00,31.79157
871.00,33.22465
872.00,33.15006
873.00,32.50344
874.00,33.25566
875.00,32.72349
876.00,35.04192
877.00,35.32909
878.00,31.05862
879.00,31.43577
880.00,30.11740
881.00,34.08087
882.00,31.53309
883.00,34.78618
884.00,29.74092
885.00,30.61876
886.00,31.90111
887.00,31.76604
888.00,30.70727
889.00,34.86115
890.00,32.61024
891.00,31.39651
892.00,34.01065
893.00,28.52359
894.00,31.19361
895.00,31.97784
896.00,33.17526
897.00,34.07350
898.00,29.84911
899.00,34.21382
900.00,27.92381
