"Ag2BiI5_IX - RawData"
"Wavelength nm.","T%"
400.00,0.00172
401.00,0.00191
402.00,0.00142
403.00,0.00179
404.00,0.00233
405.00,0.00175
406.00,0.00241
407.00,0.00239
408.00,0.00254
409.00,0.00234
410.00,0.00262
411.00,0.00232
412.00,0.00261
413.00,0.00257
414.00,0.00238
415.00,0.00273
416.00,0.00250
417.00,0.00203
418.00,0.00248
419.00,0.00241
420.00,0.00266
421.00,0.00255
422.00,0.00243
423.00,0.00333
424.00,0.00316
425.00,0.00442
426.00,0.00594
427.00,0.00645
428.00,0.00759
429.00,0.01016
430.00,0.01146
431.00,0.01278
432.00,0.01376
433.00,0.01525
434.00,0.01716
435.00,0.01646
436.00,0.01810
437.00,0.01945
438.00,0.01873
439.00,0.02045
440.00,0.02186
441.00,0.02278
442.00,0.02348
443.00,0.02426
444.00,0.02467
445.00,0.02503
446.00,0.02697
447.00,0.02758
448.00,0.02779
449.00,0.02946
450.00,0.03068
451.00,0.03240
452.00,0.03233
453.00,0.03326
454.00,0.03387
455.00,0.03603
456.00,0.03661
457.00,0.04004
458.00,0.03886
459.00,0.03983
460.00,0.04321
461.00,0.04273
462.00,0.04491
463.00,0.04726
464.00,0.04895
465.00,0.04847
466.00,0.05008
467.00,0.05233
468.00,0.05469
469.00,0.05373
470.00,0.05824
471.00,0.05822
472.00,0.06086
473.00,0.06268
474.00,0.06328
475.00,0.06526
476.00,0.06780
477.00,0.07092
478.00,0.07057
479.00,0.07276
480.00,0.07524
481.00,0.07767
482.00,0.07895
483.00,0.08185
484.00,0.08203
485.00,0.08394
486.00,0.08711
487.00,0.08927
488.00,0.09127
489.00,0.09582
490.00,0.09480
491.00,0.10001
492.00,0.10061
493.00,0.10328
494.00,0.10702
495.00,0.10875
496.00,0.11014
497.00,0.11472
498.00,0.11758
499.00,0.11922
500.00,0.12096
501.00,0.12394
502.00,0.12624
503.00,0.12983
504.00,0.13241
505.00,0.13750
506.00,0.13950
507.00,0.14370
508.00,0.14665
509.00,0.14898
510.00,0.15099
511.00,0.15474
512.00,0.15673
513.00,0.16233
514.00,0.16537
515.00,0.17079
516.00,0.17341
