"Ag3BiI6_II - RawData"
"Wavelength nm.","T%"
400.00,0.02123
401.00,0.02147
402.00,0.02204
403.00,0.02275
404.00,0.02142
405.00,0.02240
406.00,0.02261
407.00,0.02296
408.00,0.02401
409.00,0.02405
410.00,0.02440
411.00,0.02420
412.00,0.02361
413.00,0.02394
414.00,0.02229
415.00,0.02156
416.00,0.02021
417.00,0.02007
418.00,0.01905
419.00,0.01764
420.00,0.01818
421.00,0.01905
422.00,0.02078
423.00,0.02155
424.00,0.02470
425.00,0.03050
426.00,0.03795
427.00,0.04982
428.00,0.06411
429.00,0.08383
430.00,0.10910
431.00,0.13234
432.00,0.15847
433.00,0.18580
434.00,0.20430
435.00,0.21963
436.00,0.22694
437.00,0.23802
438.00,0.24275
439.00,0.24803
440.00,0.25041
441.00,0.25310
442.00,0.25955
443.00,0.26336
444.00,0.26395
445.00,0.26795
446.00,0.27502
447.00,0.27720
448.00,0.27693
449.00,0.28402
450.00,0.28782
451.00,0.29029
452.00,0.29661
453.00,0.30360
454.00,0.30054
455.00,0.30988
456.00,0.31185
457.00,0.31825
458.00,0.32038
459.00,0.32603
460.00,0.33123
461.00,0.33305
462.00,0.33865
463.00,0.34407
464.00,0.35219
465.00,0.35550
466.00,0.36099
467.00,0.35907
468.00,0.36699
469.00,0.37214
470.00,0.37393
471.00,0.38220
472.00,0.38689
473.00,0.39038
474.00,0.39729
475.00,0.40281
476.00,0.40636
477.00,0.40823
478.00,0.41513
479.00,0.41835
480.00,0.41832
481.00,0.42500
482.00,0.43541
483.00,0.43531
484.00,0.43779
485.00,0.44669
486.00,0.45127
487.00,0.45602
488.00,0.46359
489.00,0.46782
490.00,0.47160
491.00,0.47780
492.00,0.47865
493.00,0.48952
494.00,0.49206
495.00,0.49679
496.00,0.50353
497.00,0.50589
498.00,0.51238
499.00,0.51575
500.00,0.52554
501.00,0.53077
502.00,0.53599
503.00,0.53790
504.00,0.54638
505.00,0.55014
506.00,0.56057
507.00,0.56861
508.00,0.57120
509.00,0.58018
510.00,0.58197
511.00,0.59013
512.00,0.59485
513.00,0.60485
514.00,0.60488
515.00,0.61039
516.00,0.62010
517.00,0.62459
518.00,0.63449
519.00,0.63996
520.00,0.64155
521.00,0.65049
522.00,0.65543
523.00,0.65813
524.00,0.66613
525.00,0.67218
526.00,0.68016
527.00,0.68215
528.00,0.68933
529.00,0.69470
530.00,0.70057
531.00,0.70441
532.00,0.70954
533.00,0.71159
534.00,0.71752
535.00,0.72863
536.00,0.73422
537.00,0.73437
538.00,0.73958
539.00,0.74142
540.00,0.75060
541.00,0.74801
542.00,0.75651
543.00,0.75874
544.00,0.76471
545.00,0.76399
546.00,0.76962
547.00,0.77113
548.00,0.77934
549.00,0.78511
550.00,0.78600
551.00,0.79200
552.00,0.79188
553.00,0.79581
554.00,0.79521
555.00,0.80401
556.00,0.81008
557.00,0.81336
558.00,0.81654
559.00,0.82082
560.00,0.82460
561.00,0.83749
562.00,0.84104
563.00,0.84466
564.00,0.85573
565.00,0.85882
566.00,0.86860
567.00,0.86963
568.00,0.88292
569.00,0.88692
570.00,0.90384
571.00,0.91029
572.00,0.91825
573.00,0.92232
574.00,0.94549
575.00,0.95994
576.00,0.97135
577.00,0.99399
578.00,1.00651
579.00,1.02623
580.00,1.04557
581.00,1.06405
582.00,1.08637
583.00,1.11367
584.00,1.13801
585.00,1.16342
586.00,1.19562
587.00,1.22157
588.00,1.26309
589.00,1.30134
590.00,1.33361
591.00,1.37641
592.00,1.42374
593.00,1.46814
594.00,1.52072
595.00,1.58013
596.00,1.63833
597.00,1.70141
598.00,1.77834
599.00,1.85448
600.00,1.91828
601.00,2.00702
602.00,2.08978
603.00,2.19015
604.00,2.29939
605.00,2.39796
606.00,2.51687
607.00,2.63657
608.00,2.75741
609.00,2.88772
610.00,3.03311
611.00,3.19721
612.00,3.34735
613.00,3.52661
614.00,3.72204
615.00,3.90218
616.00,4.11293
617.00,4.33321
618.00,4.55871
619.00,4.80585
620.00,5.08202
621.00,5.35881
622.00,5.62556
623.00,5.90221
624.00,6.22252
625.00,6.50766
626.00,6.85112
627.00,7.18116
628.00,7.51633
629.00,7.89240
630.00,8.25015
631.00,8.60762
632.00,9.04186
633.00,9.44113
634.00,9.85942
635.00,10.31439
636.00,10.76387
637.00,11.19215
638.00,11.69421
639.00,12.16047
640.00,12.66591
641.00,13.16077
642.00,13.65354
643.00,14.16985
644.00,14.71432
645.00,15.19446
646.00,15.76678
647.00,16.25163
648.00,16.73926
649.00,17.26391
650.00,17.82373
651.00,18.37543
652.00,18.85883
653.00,19.38083
654.00,19.92192
655.00,20.47146
656.00,20.94388
657.00,21.54785
658.00,22.06291
659.00,22.55793
660.00,23.13956
661.00,23.67151
662.00,24.22429
663.00,24.74335
664.00,25.28917
665.00,25.80864
666.00,26.31667
667.00,26.84252
668.00,27.27851
669.00,27.84126
670.00,28.43378
671.00,28.92954
672.00,29.34295
673.00,29.77537
674.00,30.31867
675.00,30.83484
676.00,31.29807
677.00,31.77508
678.00,32.19761
679.00,32.69360
680.00,33.11942
681.00,33.55151
682.00,34.00103
683.00,34.53391
684.00,34.97517
685.00,35.40564
686.00,35.79165
687.00,36.24537
688.00,36.68762
689.00,37.05097
690.00,37.50276
691.00,37.84185
692.00,38.28648
693.00,38.58629
694.00,39.04267
695.00,39.31300
696.00,39.63739
697.00,39.85575
698.00,40.22472
699.00,40.53305
700.00,40.83826
701.00,41.13723
702.00,41.36048
703.00,41.74949
704.00,41.85106
705.00,42.19759
706.00,42.38504
707.00,42.64675
708.00,42.91029
709.00,43.09045
710.00,43.31929
