"srGlass215 - RawData"
"Wavelength nm.","R%"
400.00,14.12139
401.00,14.09891
402.00,14.08571
403.00,14.11825
404.00,14.12316
405.00,14.08341
406.00,14.14307
407.00,14.15975
408.00,14.18237
409.00,14.18187
410.00,14.17906
411.00,14.18671
412.00,14.22891
413.00,14.30228
414.00,14.26556
415.00,14.32596
416.00,14.29874
417.00,14.37937
418.00,14.42377
419.00,14.48145
420.00,14.51035
421.00,14.58213
422.00,14.59903
423.00,14.67658
424.00,14.73117
425.00,14.72312
426.00,14.75968
427.00,14.71951
428.00,14.73877
429.00,14.69211
430.00,14.60572
431.00,14.59148
432.00,14.53160
433.00,14.49494
434.00,14.46747
435.00,14.49793
436.00,14.45818
437.00,14.45220
438.00,14.44033
439.00,14.44808
440.00,14.44913
441.00,14.49133
442.00,14.50518
443.00,14.51099
444.00,14.54449
445.00,14.54195
446.00,14.55642
447.00,14.57196
448.00,14.61365
449.00,14.61021
450.00,14.62415
451.00,14.67322
452.00,14.68764
453.00,14.70243
454.00,14.74400
455.00,14.76869
456.00,14.82351
457.00,14.79570
458.00,14.85001
459.00,14.86237
460.00,14.89759
461.00,14.95531
462.00,14.95165
463.00,14.99897
464.00,15.02306
465.00,15.03482
466.00,15.03612
467.00,15.11708
468.00,15.15086
469.00,15.13535
470.00,15.17710
471.00,15.21411
472.00,15.25742
473.00,15.26695
474.00,15.30004
475.00,15.34278
476.00,15.36960
477.00,15.38613
478.00,15.44427
479.00,15.45948
480.00,15.50672
481.00,15.54635
482.00,15.59326
483.00,15.61978
484.00,15.64730
485.00,15.70801
486.00,15.74177
487.00,15.78436
488.00,15.82848
489.00,15.84854
490.00,15.93831
491.00,15.91295
492.00,15.97878
493.00,16.00550
494.00,16.05480
495.00,16.10751
496.00,16.13883
497.00,16.17880
498.00,16.23349
499.00,16.25969
500.00,16.33632
501.00,16.36114
502.00,16.42802
503.00,16.48044
504.00,16.51997
505.00,16.56431
506.00,16.60867
507.00,16.66429
508.00,16.70397
509.00,16.74662
510.00,16.78473
511.00,16.84070
512.00,16.88299
513.00,16.94827
514.00,16.99975
515.00,17.01842
516.00,17.05843
