"glass2116 - RawData"
"Wavelength nm.","T%"
400.00,0.28014
401.00,0.27901
402.00,0.28181
403.00,0.27938
404.00,0.28458
405.00,0.28024
406.00,0.28077
407.00,0.28064
408.00,0.28421
409.00,0.28214
410.00,0.27810
411.00,0.27654
412.00,0.27457
413.00,0.28041
414.00,0.28021
415.00,0.28161
416.00,0.28533
417.00,0.28639
418.00,0.28773
419.00,0.28768
420.00,0.28986
421.00,0.28999
422.00,0.29439
423.00,0.28978
424.00,0.29860
425.00,0.29348
426.00,0.29522
427.00,0.29478
428.00,0.29375
429.00,0.29631
430.00,0.29755
431.00,0.29467
432.00,0.29973
433.00,0.29630
434.00,0.29839
435.00,0.29902
436.00,0.29877
437.00,0.30010
438.00,0.29993
439.00,0.29636
440.00,0.30328
441.00,0.29894
442.00,0.30082
443.00,0.29992
444.00,0.29943
445.00,0.30150
446.00,0.30402
447.00,0.30429
448.00,0.30321
449.00,0.30528
450.00,0.30727
451.00,0.30344
452.00,0.30447
453.00,0.30642
454.00,0.30610
455.00,0.30703
456.00,0.30794
457.00,0.30831
458.00,0.30948
459.00,0.30938
460.00,0.31067
461.00,0.31256
462.00,0.31343
463.00,0.30903
464.00,0.30902
465.00,0.30986
466.00,0.30988
467.00,0.31297
468.00,0.31237
469.00,0.31393
470.00,0.31247
471.00,0.31492
472.00,0.31543
473.00,0.31610
474.00,0.31914
475.00,0.31451
476.00,0.31888
477.00,0.31517
478.00,0.31631
479.00,0.31822
480.00,0.31753
481.00,0.31930
482.00,0.31853
483.00,0.31842
484.00,0.32193
485.00,0.32050
486.00,0.32119
487.00,0.31810
488.00,0.32081
489.00,0.31760
490.00,0.32154
491.00,0.32129
492.00,0.32410
493.00,0.32339
494.00,0.32161
495.00,0.32544
496.00,0.32746
497.00,0.32785
498.00,0.32602
499.00,0.32770
500.00,0.32814
501.00,0.32606
502.00,0.32707
503.00,0.32868
504.00,0.32734
505.00,0.32616
506.00,0.32887
507.00,0.32900
508.00,0.32809
509.00,0.32942
510.00,0.32633
511.00,0.32935
512.00,0.32779
513.00,0.32872
514.00,0.32887
515.00,0.32990
516.00,0.33057
517.00,0.33273
518.00,0.33185
519.00,0.33046
520.00,0.33368
521.00,0.32989
522.00,0.33138
523.00,0.33025
524.00,0.33304
525.00,0.33004
526.00,0.33298
527.00,0.33150
528.00,0.33584
529.00,0.33250
530.00,0.33130
531.00,0.33361
532.00,0.33476
533.00,0.33281
534.00,0.33339
535.00,0.33230
536.00,0.33559
537.00,0.33796
538.00,0.33890
539.00,0.33597
540.00,0.33720
541.00,0.33574
542.00,0.33773
543.00,0.33753
544.00,0.33785
545.00,0.33845
546.00,0.33654
547.00,0.33567
548.00,0.33688
549.00,0.33871
550.00,0.33529
551.00,0.33509
552.00,0.33820
553.00,0.33487
554.00,0.33619
555.00,0.33764
556.00,0.33864
557.00,0.33999
558.00,0.33542
559.00,0.33707
560.00,0.33875
561.00,0.33885
