"SR_Glass215 - RawData"
"Wavelength nm.","R%"
400.00,18.55085
401.00,18.50830
402.00,18.54544
403.00,18.50028
404.00,18.49613
405.00,18.56619
406.00,18.62610
407.00,18.56679
408.00,18.57898
409.00,18.64282
410.00,18.58643
411.00,18.64804
412.00,18.66642
413.00,18.65148
414.00,18.64887
415.00,18.67942
416.00,18.69525
417.00,18.73191
418.00,18.71407
419.00,18.77777
420.00,18.76658
421.00,18.85570
422.00,18.88568
423.00,18.93027
424.00,18.95302
425.00,19.02378
426.00,19.01769
427.00,19.01702
428.00,18.99616
429.00,19.02099
430.00,18.99556
431.00,19.04402
432.00,19.05916
433.00,18.99701
434.00,19.05288
435.00,19.05814
436.00,19.07301
437.00,19.08598
438.00,19.11220
439.00,19.17348
440.00,19.19229
441.00,19.13879
442.00,19.17459
443.00,19.26579
444.00,19.24841
445.00,19.27741
446.00,19.28007
447.00,19.31542
448.00,19.33374
449.00,19.37725
450.00,19.41856
451.00,19.40548
452.00,19.46522
453.00,19.43778
454.00,19.45459
455.00,19.46334
456.00,19.53865
457.00,19.53383
458.00,19.59042
459.00,19.61154
460.00,19.64907
461.00,19.63942
462.00,19.71565
463.00,19.72412
464.00,19.70997
465.00,19.74647
466.00,19.78066
467.00,19.79080
468.00,19.83403
469.00,19.85441
470.00,19.87843
471.00,19.86957
472.00,19.96368
473.00,19.99218
474.00,19.96128
475.00,19.98790
476.00,20.05272
477.00,20.07338
478.00,20.09512
479.00,20.12870
480.00,20.17972
481.00,20.18490
482.00,20.21432
483.00,20.24130
484.00,20.30237
485.00,20.34016
486.00,20.35664
487.00,20.40349
488.00,20.45225
489.00,20.45638
490.00,20.49547
491.00,20.55744
492.00,20.57766
493.00,20.62364
494.00,20.66704
495.00,20.68493
496.00,20.71451
497.00,20.76898
498.00,20.79890
499.00,20.85361
500.00,20.89118
501.00,20.93711
502.00,20.97480
503.00,21.01596
504.00,21.05882
505.00,21.10945
506.00,21.16834
507.00,21.18234
508.00,21.21909
509.00,21.24487
510.00,21.33108
511.00,21.35763
512.00,21.40962
513.00,21.46068
514.00,21.48839
515.00,21.53114
516.00,21.56444
517.00,21.62565
518.00,21.67362
519.00,21.70607
520.00,21.76303
521.00,21.79842
522.00,21.81827
523.00,21.90972
524.00,21.94375
525.00,22.00194
526.00,22.06739
527.00,22.08432
528.00,22.18690
529.00,22.20339
530.00,22.25255
531.00,22.32021
532.00,22.38575
533.00,22.46085
534.00,22.51920
535.00,22.54216
536.00,22.63636
537.00,22.68189
538.00,22.75998
539.00,22.82036
540.00,22.91036
541.00,22.96780
542.00,23.01009
543.00,23.06890
544.00,23.15743
545.00,23.22307
546.00,23.27731
547.00,23.37101
548.00,23.40212
549.00,23.51631
550.00,23.61266
551.00,23.64776
552.00,23.71990
553.00,23.82326
554.00,23.91609
555.00,24.02301
556.00,24.05980
557.00,24.12936
558.00,24.24743
559.00,24.30149
560.00,24.39077
561.00,24.48301
562.00,24.58497
563.00,24.67489
564.00,24.72113
565.00,24.79640
566.00,24.91384
567.00,24.99796
568.00,25.04289
569.00,25.18241
570.00,25.24314
571.00,25.33809
572.00,25.40971
573.00,25.49184
574.00,25.55562
575.00,25.61465
576.00,25.74927
577.00,25.82917
578.00,25.87418
579.00,25.99388
580.00,26.07250
581.00,26.12609
582.00,26.20567
583.00,26.25605
584.00,26.39091
585.00,26.49473
586.00,26.48683
587.00,26.58575
588.00,26.63930
589.00,26.72445
590.00,26.78419
591.00,26.86998
592.00,26.96723
593.00,26.93681
594.00,27.03070
595.00,27.09639
596.00,27.16801
