"SR_Glass316a - RawData"
"Wavelength nm.","R%"
400.00,19.39452
401.00,19.36786
402.00,19.42437
403.00,19.41211
404.00,19.41435
405.00,19.47447
406.00,19.47451
407.00,19.44635
408.00,19.47760
409.00,19.56627
410.00,19.56561
411.00,19.59962
412.00,19.59358
413.00,19.67140
414.00,19.68935
415.00,19.63281
416.00,19.71178
417.00,19.76386
418.00,19.81070
419.00,19.87572
420.00,19.88043
421.00,19.93560
422.00,19.97248
423.00,20.01540
424.00,20.09056
425.00,20.11048
426.00,20.06677
427.00,20.06548
428.00,20.03320
429.00,19.97120
430.00,19.97024
431.00,19.93302
432.00,19.90543
433.00,19.91150
434.00,19.88114
435.00,19.90828
436.00,19.89904
437.00,19.93340
438.00,19.96013
439.00,20.02914
440.00,20.04874
441.00,20.08150
442.00,20.10510
443.00,20.22198
444.00,20.23136
445.00,20.24527
446.00,20.33321
447.00,20.34271
448.00,20.36559
449.00,20.39158
450.00,20.48060
451.00,20.51993
452.00,20.55501
453.00,20.58409
454.00,20.64677
455.00,20.65359
456.00,20.71853
457.00,20.78864
458.00,20.78882
459.00,20.84968
460.00,20.89534
461.00,20.97872
462.00,21.00995
463.00,21.07362
464.00,21.06824
465.00,21.10279
466.00,21.16173
467.00,21.22436
468.00,21.27513
469.00,21.25679
470.00,21.29023
471.00,21.30568
472.00,21.35660
473.00,21.41480
474.00,21.44360
475.00,21.46300
476.00,21.50718
477.00,21.56882
478.00,21.57546
479.00,21.62308
480.00,21.68754
481.00,21.74130
482.00,21.72281
483.00,21.82158
484.00,21.80436
485.00,21.87721
486.00,21.93380
487.00,21.94913
488.00,21.95901
489.00,21.98498
490.00,22.02628
491.00,22.09992
492.00,22.13988
493.00,22.16017
494.00,22.20442
495.00,22.24277
496.00,22.29261
497.00,22.29366
498.00,22.34859
499.00,22.41910
500.00,22.44955
501.00,22.49364
502.00,22.54337
503.00,22.60648
504.00,22.64958
505.00,22.63502
506.00,22.68114
507.00,22.75167
508.00,22.74171
509.00,22.76545
510.00,22.87845
511.00,22.90802
512.00,22.96295
513.00,22.97551
514.00,23.01071
515.00,23.04679
516.00,23.06913
517.00,23.13091
518.00,23.19548
519.00,23.20246
520.00,23.26460
521.00,23.31459
522.00,23.34990
523.00,23.40692
524.00,23.46516
525.00,23.54752
526.00,23.56064
527.00,23.60542
528.00,23.67183
529.00,23.73473
530.00,23.78550
531.00,23.83845
532.00,23.94506
533.00,23.92691
534.00,24.03551
535.00,24.05264
536.00,24.14710
537.00,24.15516
538.00,24.29894
539.00,24.29847
540.00,24.42502
541.00,24.42774
542.00,24.52944
543.00,24.54943
544.00,24.65589
545.00,24.73188
546.00,24.81795
547.00,24.88921
548.00,24.99640
549.00,25.05158
550.00,25.15081
551.00,25.22750
552.00,25.28529
553.00,25.40445
554.00,25.46834
555.00,25.58625
556.00,25.64604
557.00,25.74562
558.00,25.87025
559.00,25.90117
560.00,25.99626
561.00,26.15495
562.00,26.22001
563.00,26.29128
564.00,26.38030
565.00,26.49010
566.00,26.56859
567.00,26.68333
568.00,26.75727
569.00,26.80482
570.00,26.90478
571.00,27.01310
572.00,27.13976
573.00,27.18877
574.00,27.27432
575.00,27.32650
576.00,27.50757
577.00,27.53960
578.00,27.60161
579.00,27.72377
580.00,27.75726
581.00,27.88327
582.00,27.93773
583.00,28.04632
584.00,28.11737
585.00,28.23008
586.00,28.26446
587.00,28.33661
588.00,28.40642
589.00,28.47556
590.00,28.54066
591.00,28.61567
592.00,28.66504
593.00,28.67604
594.00,28.75675
595.00,28.82357
596.00,28.82186
597.00,28.96093
598.00,28.89834
599.00,28.99125
600.00,29.05478
601.00,29.04221
602.00,29.07009
603.00,29.13179
604.00,29.10013
605.00,29.17137
606.00,29.20445
607.00,29.19828
608.00,29.24611
609.00,29.21408
610.00,29.23708
611.00,29.22772
612.00,29.23173
613.00,29.24196
614.00,29.29063
615.00,29.20684
616.00,29.25813
617.00,29.23514
618.00,29.18477
619.00,29.23920
620.00,29.22131
621.00,29.20972
622.00,29.15457
623.00,29.08325
624.00,29.10675
625.00,29.14318
626.00,29.06426
627.00,29.09699
628.00,29.03127
629.00,28.99630
630.00,29.01860
631.00,28.95179
632.00,28.90237
633.00,28.91471
634.00,28.85299
635.00,28.80794
636.00,28.86275
637.00,28.81934
638.00,28.74882
639.00,28.76503
640.00,28.72157
641.00,28.70128
642.00,28.71953
643.00,28.68038
644.00,28.75543
645.00,28.73575
646.00,28.74957
647.00,28.76191
648.00,28.81368
649.00,28.81185
650.00,28.91517
651.00,29.01675
652.00,29.10767
653.00,29.15139
654.00,29.23867
655.00,29.36272
656.00,29.39820
657.00,29.56715
658.00,29.67131
659.00,29.84526
660.00,30.04009
661.00,30.20178
662.00,30.41848
663.00,30.61874
664.00,30.90456
