"Glass2116 - RawData"
"Wavelength nm.","T%"
400.00,0.24265
401.00,0.24352
402.00,0.24394
403.00,0.24027
404.00,0.24014
405.00,0.24094
406.00,0.24017
407.00,0.24534
408.00,0.23697
409.00,0.23887
410.00,0.24018
411.00,0.24151
412.00,0.23966
413.00,0.23795
414.00,0.23975
415.00,0.24034
416.00,0.23919
417.00,0.24317
418.00,0.24440
419.00,0.24515
420.00,0.24578
421.00,0.24131
422.00,0.24809
423.00,0.24407
424.00,0.24223
425.00,0.24405
426.00,0.24354
427.00,0.24635
428.00,0.24683
429.00,0.24253
430.00,0.24603
431.00,0.24324
432.00,0.24225
433.00,0.24553
434.00,0.24506
435.00,0.24567
436.00,0.24453
437.00,0.24850
438.00,0.24520
439.00,0.24711
440.00,0.24627
441.00,0.24512
442.00,0.24374
443.00,0.24803
444.00,0.24812
445.00,0.24390
446.00,0.24570
447.00,0.24137
448.00,0.24527
449.00,0.24449
450.00,0.24553
451.00,0.24755
452.00,0.24520
453.00,0.24234
454.00,0.24514
455.00,0.24360
456.00,0.24418
457.00,0.24350
458.00,0.24532
459.00,0.24589
460.00,0.24769
461.00,0.24226
462.00,0.24557
463.00,0.24435
464.00,0.24345
465.00,0.24315
466.00,0.24304
467.00,0.24634
468.00,0.24544
469.00,0.24320
470.00,0.24446
471.00,0.24372
472.00,0.24445
473.00,0.24340
474.00,0.24262
475.00,0.24114
476.00,0.24013
477.00,0.24262
478.00,0.24340
479.00,0.24044
480.00,0.24439
481.00,0.24158
482.00,0.24246
483.00,0.24345
484.00,0.24081
485.00,0.24005
486.00,0.24120
487.00,0.24024
488.00,0.24159
489.00,0.24034
490.00,0.23942
491.00,0.23885
492.00,0.23928
493.00,0.23897
494.00,0.23987
495.00,0.24170
496.00,0.23837
497.00,0.24076
498.00,0.24249
499.00,0.24319
500.00,0.24187
501.00,0.24037
502.00,0.23822
503.00,0.24144
504.00,0.24038
505.00,0.23876
506.00,0.23993
507.00,0.23767
508.00,0.24011
509.00,0.23609
510.00,0.23955
511.00,0.23776
512.00,0.24032
513.00,0.24007
514.00,0.24021
515.00,0.23641
516.00,0.23975
517.00,0.24005
518.00,0.23952
519.00,0.24109
520.00,0.24012
521.00,0.23945
522.00,0.24009
523.00,0.24228
524.00,0.23847
525.00,0.23803
526.00,0.23754
527.00,0.23512
528.00,0.23895
529.00,0.23926
530.00,0.23967
531.00,0.23456
532.00,0.24037
533.00,0.23691
534.00,0.23773
535.00,0.23695
536.00,0.23832
537.00,0.24042
538.00,0.24014
539.00,0.23863
540.00,0.23941
541.00,0.23827
542.00,0.23713
543.00,0.23761
544.00,0.23863
545.00,0.23755
546.00,0.23660
547.00,0.24002
548.00,0.23810
549.00,0.23886
550.00,0.23879
551.00,0.23785
552.00,0.23644
553.00,0.23905
554.00,0.23836
555.00,0.23863
556.00,0.23600
557.00,0.23628
558.00,0.23507
559.00,0.23542
560.00,0.23638
561.00,0.23742
562.00,0.23507
563.00,0.23661
564.00,0.23559
565.00,0.23516
566.00,0.23458
567.00,0.23638
568.00,0.23478
569.00,0.23613
570.00,0.23465
571.00,0.23563
572.00,0.23689
573.00,0.23757
574.00,0.23641
575.00,0.23460
576.00,0.23472
577.00,0.24033
578.00,0.23876
579.00,0.23996
580.00,0.23899
581.00,0.24164
582.00,0.24238
583.00,0.24062
584.00,0.24283
585.00,0.24318
586.00,0.24305
587.00,0.24743
588.00,0.24596
589.00,0.24903
590.00,0.24753
591.00,0.25202
592.00,0.25332
593.00,0.25560
594.00,0.26154
595.00,0.26315
596.00,0.26728
597.00,0.27084
598.00,0.27188
599.00,0.27975
600.00,0.28392
601.00,0.29248
602.00,0.30033
603.00,0.30604
604.00,0.31312
605.00,0.32304
606.00,0.33727
607.00,0.34873
608.00,0.36098
609.00,0.37778
610.00,0.39125
611.00,0.40764
612.00,0.42736
613.00,0.45366
614.00,0.47768
615.00,0.50535
616.00,0.53887
617.00,0.57082
618.00,0.60931
619.00,0.65458
620.00,0.70315
621.00,0.75423
622.00,0.80472
623.00,0.87170
624.00,0.94217
625.00,1.01822
626.00,1.08701
627.00,1.17212
628.00,1.26088
629.00,1.36387
630.00,1.46208
631.00,1.57389
632.00,1.69365
633.00,1.82082
634.00,1.95114
635.00,2.09960
636.00,2.25240
637.00,2.40394
638.00,2.56395
639.00,2.75398
