Voltage Value - Plot 0,Amplitude - Plot 0
0,2.72E-09
0.005,6.29E-08
0.01,1.23E-07
0.015,1.81E-07
0.02,2.38E-07
0.025,2.94E-07
0.03,3.49E-07
0.035,4.03E-07
0.04,4.57E-07
0.045,5.12E-07
0.05,5.64E-07
0.055,6.17E-07
0.06,6.70E-07
0.065,7.20E-07
0.07,7.72E-07
0.075,8.22E-07
0.08,8.75E-07
0.085,9.21E-07
0.09,9.69E-07
0.095,1.02E-06
0.1,1.07E-06
0.105,1.12E-06
0.11,1.16E-06
0.115,1.22E-06
0.12,1.26E-06
0.125,1.32E-06
0.13,1.36E-06
0.135,1.42E-06
0.14,1.46E-06
0.145,1.50E-06
0.15,1.55E-06
0.155,1.60E-06
0.16,1.65E-06
0.165,1.70E-06
0.17,1.74E-06
0.175,1.79E-06
0.18,1.83E-06
0.185,1.87E-06
0.19,1.92E-06
0.195,1.96E-06
0.2,2.01E-06
0.205,2.06E-06
0.21,1.61E-06
0.215,1.62E-06
0.22,1.63E-06
0.225,1.67E-06
0.23,1.70E-06
0.235,1.74E-06
0.24,1.76E-06
0.245,1.80E-06
0.25,1.83E-06
0.255,1.87E-06
0.26,1.88E-06
0.265,1.91E-06
0.27,1.94E-06
0.275,1.98E-06
0.28,2.02E-06
0.285,2.03E-06
0.29,2.05E-06
0.295,2.08E-06
0.3,7.78E-06
0.305,7.13E-06
0.31,6.92E-06
0.315,6.88E-06
0.32,6.95E-06
0.325,7.02E-06
0.33,7.16E-06
0.335,7.25E-06
0.34,7.30E-06
0.345,7.36E-06
0.35,7.48E-06
0.355,7.57E-06
0.36,7.68E-06
0.365,7.78E-06
0.37,7.86E-06
0.375,8.08E-06
0.38,8.18E-06
0.385,8.33E-06
0.39,8.47E-06
0.395,8.60E-06
0.4,8.71E-06
0.405,8.84E-06
0.41,8.91E-06
0.415,9.04E-06
0.42,9.11E-06
0.425,9.28E-06
0.43,9.42E-06
0.435,9.51E-06
0.44,9.61E-06
0.445,9.68E-06
0.45,9.83E-06
0.455,9.98E-06
0.46,1.01E-05
0.465,1.02E-05
0.47,1.04E-05
0.475,1.05E-05
0.48,1.06E-05
0.485,1.07E-05
0.49,1.09E-05
0.495,1.10E-05
0.5,1.11E-05
0.505,1.13E-05
0.51,1.14E-05
0.515,1.16E-05
0.52,1.18E-05
0.525,1.19E-05
0.53,1.21E-05
0.535,1.22E-05
0.54,1.24E-05
0.545,1.26E-05
0.55,1.28E-05
0.555,1.30E-05
0.56,1.32E-05
0.565,1.34E-05
0.57,1.36E-05
0.575,1.38E-05
0.58,1.40E-05
0.585,1.42E-05
0.59,1.45E-05
0.595,1.46E-05
0.6,1.48E-05
0.605,1.51E-05
0.61,1.53E-05
0.615,1.56E-05
0.62,1.60E-05
0.625,1.62E-05
0.63,1.65E-05
0.635,1.69E-05
0.64,1.70E-05
0.645,1.73E-05
0.65,1.76E-05
0.655,1.80E-05
0.66,1.84E-05
0.665,1.87E-05
0.67,1.90E-05
0.675,1.94E-05
0.68,1.97E-05
0.685,2.03E-05
0.69,2.06E-05
0.695,2.09E-05
0.7,2.12E-05
0.705,2.15E-05
0.71,2.21E-05
0.715,2.26E-05
0.72,2.31E-05
0.725,2.34E-05
0.73,2.37E-05
0.735,2.42E-05
0.74,2.45E-05
0.745,2.51E-05
0.75,2.54E-05
0.755,2.59E-05
0.76,2.65E-05
0.765,2.71E-05
0.77,2.74E-05
0.775,2.78E-05
0.78,2.82E-05
0.785,2.83E-05
0.79,2.88E-05
0.795,2.88E-05
0.8,2.93E-05
0.805,2.90E-05
0.81,2.92E-05
0.815,2.92E-05
0.82,2.92E-05
0.825,2.97E-05
0.83,2.96E-05
0.835,2.98E-05
0.84,2.96E-05
0.845,2.96E-05
0.85,2.96E-05
0.855,2.94E-05
0.86,2.93E-05
0.865,2.87E-05
0.87,2.84E-05
0.875,2.82E-05
0.88,2.81E-05
0.885,2.79E-05
0.89,2.77E-05
0.895,2.76E-05
0.9,2.75E-05
0.905,2.73E-05
0.91,2.71E-05
0.915,2.70E-05
0.92,2.72E-05
0.925,2.74E-05
0.93,2.74E-05
0.935,2.77E-05
0.94,2.80E-05
0.945,2.80E-05
0.95,2.82E-05
0.955,2.82E-05
0.96,2.84E-05
0.965,2.86E-05
0.97,2.90E-05
0.975,2.93E-05
0.98,2.97E-05
0.985,2.98E-05
0.99,2.99E-05
0.995,3.01E-05
1,3.05E-05
