"Or3I - RawData"
"Wavelength nm.","T%"
400.00,0.04573
401.00,0.04841
402.00,0.04870
403.00,0.05057
404.00,0.04884
405.00,0.05010
406.00,0.05086
407.00,0.05053
408.00,0.05059
409.00,0.05182
410.00,0.05175
411.00,0.05019
412.00,0.04952
413.00,0.04981
414.00,0.04864
415.00,0.04825
416.00,0.04725
417.00,0.04527
418.00,0.04337
419.00,0.04279
420.00,0.04251
421.00,0.04460
422.00,0.04664
423.00,0.04667
424.00,0.04734
425.00,0.05317
426.00,0.06389
427.00,0.07605
428.00,0.08968
429.00,0.10731
430.00,0.12929
431.00,0.15501
432.00,0.17932
433.00,0.19929
434.00,0.21119
435.00,0.22506
436.00,0.23336
437.00,0.24184
438.00,0.25085
439.00,0.25249
440.00,0.25839
441.00,0.26137
442.00,0.27033
443.00,0.27571
444.00,0.28017
445.00,0.28343
446.00,0.28647
447.00,0.29298
448.00,0.29830
449.00,0.30011
450.00,0.30564
451.00,0.31162
452.00,0.31644
453.00,0.31965
454.00,0.32428
455.00,0.33460
456.00,0.33444
457.00,0.34365
458.00,0.34640
459.00,0.34806
460.00,0.35559
461.00,0.36040
462.00,0.36721
463.00,0.37053
464.00,0.38048
465.00,0.37813
466.00,0.38801
467.00,0.39763
468.00,0.39463
469.00,0.40221
470.00,0.40904
471.00,0.42109
472.00,0.41764
473.00,0.42663
474.00,0.43282
475.00,0.43789
476.00,0.44350
477.00,0.44703
478.00,0.45274
479.00,0.46055
480.00,0.46463
481.00,0.47457
482.00,0.47588
483.00,0.48555
484.00,0.48959
485.00,0.49404
486.00,0.50328
487.00,0.51111
488.00,0.51880
489.00,0.52023
490.00,0.52649
491.00,0.53210
492.00,0.53770
493.00,0.54567
494.00,0.55082
495.00,0.55639
496.00,0.56528
497.00,0.56682
498.00,0.57509
499.00,0.58150
500.00,0.58621
501.00,0.59549
502.00,0.60309
503.00,0.61072
504.00,0.61365
505.00,0.61831
506.00,0.62614
507.00,0.63556
508.00,0.64102
509.00,0.64537
510.00,0.64853
511.00,0.65394
512.00,0.66367
513.00,0.66860
514.00,0.67610
515.00,0.67982
516.00,0.68309
517.00,0.69289
518.00,0.69892
519.00,0.70214
520.00,0.71021
521.00,0.70625
522.00,0.71791
523.00,0.72773
524.00,0.73303
525.00,0.73562
526.00,0.73599
527.00,0.74266
528.00,0.74912
