Voltage Value - Plot 0,Amplitude - Plot 0
-1,-0.00264629
-0.995,-0.00250093
-0.99,-0.00249742
-0.985,-0.00247417
-0.98,-0.00245239
-0.975,-0.00241973
-0.97,-0.00244775
-0.965,-0.00244686
-0.96,-0.00240475
-0.955,-0.00238289
-0.95,-0.0023552
-0.945,-0.00229666
-0.94,-0.00236043
-0.935,-0.00234206
-0.93,-0.00230202
-0.925,-0.00222907
-0.92,-0.00221587
-0.915,-0.0021955
-0.91,-0.00217115
-0.905,-0.00210589
-0.9,-0.00208157
-0.895,-0.00205829
-0.89,-0.00204034
-0.885,-0.00201146
-0.88,-0.00199042
-0.875,-0.00196558
-0.87,-0.00194203
-0.865,-0.00192069
-0.86,-0.00189409
-0.855,-0.00186249
-0.85,-0.00183347
-0.845,-0.0018108
-0.84,-0.00178908
-0.835,-0.00177546
-0.83,-0.0017559
-0.825,-0.00173247
-0.82,-0.00170802
-0.815,-0.00168855
-0.81,-0.00166653
-0.805,-0.00164786
-0.8,-0.00162186
-0.795,-0.00159619
-0.79,-0.00157758
-0.785,-0.00155367
-0.78,-0.00153495
-0.775,-0.00151633
-0.77,-0.00149545
-0.765,-0.00147111
-0.76,-0.00145381
-0.755,-0.00142844
-0.75,-0.00140716
-0.745,-0.0013904
-0.74,-0.00137296
-0.735,-0.00135348
-0.73,-0.00133316
-0.725,-0.00131677
-0.72,-0.00129421
-0.715,-0.00127659
-0.71,-0.00125805
-0.705,-0.00124087
-0.7,-0.00122668
-0.695,-0.00120851
-0.69,-0.00119176
-0.685,-0.00117651
-0.68,-0.00115872
-0.675,-0.00114362
-0.67,-0.00113016
-0.665,-0.00111557
-0.66,-0.00109493
-0.655,-0.00108102
-0.65,-0.00106608
-0.645,-0.00105245
-0.64,-0.00104015
-0.635,-0.00102321
-0.63,-0.00101307
-0.625,-0.000999736
-0.62,-0.000984792
-0.615,-0.000972602
-0.61,-0.000962989
-0.605,-0.000949738
-0.6,-0.000938169
-0.595,-0.000925272
-0.59,-0.000912707
-0.585,-0.00090002
-0.58,-0.000891332
-0.575,-0.000881437
-0.57,-0.000865434
-0.565,-0.00085364
-0.56,-0.000840859
-0.555,-0.000830283
-0.55,-0.000817967
-0.545,-0.00080833
-0.54,-0.000795123
-0.535,-0.000788339
-0.53,-0.000776738
-0.525,-0.000767936
-0.52,-0.000756847
-0.515,-0.000747997
-0.51,-0.000735153
-0.505,-0.000725129
-0.5,-0.000714993
-0.495,-0.000707231
-0.49,-0.000696905
-0.485,-0.000683874
-0.48,-0.000675458
-0.475,-0.000664419
-0.47,-0.000655462
-0.465,-0.0006432
-0.46,-0.000635051
-0.455,-0.000625037
-0.45,-0.000613911
-0.445,-0.000604066
-0.44,-0.000594177
-0.435,-0.00058679
-0.43,-0.000578045
-0.425,-0.000569253
-0.42,-0.000557791
-0.415,-0.000548668
-0.41,-0.000540436
-0.405,-0.000531294
-0.4,-0.000523879
-0.395,-0.00051522
-0.39,-0.000507914
-0.385,-0.000495617
-0.38,-0.000486457
-0.375,-0.000477949
-0.37,-0.000460294
-0.365,-0.000450796
-0.36,-0.000443933
-0.355,-0.000442179
-0.35,-0.000434023
-0.345,-0.000421347
-0.34,-0.000414892
-0.335,-0.000408048
-0.33,-0.000399963
-0.325,-0.000392154
-0.32,-0.000377924
-0.315,-0.000376017
-0.31,-0.000365328
-0.305,-0.000357852
-0.3,-0.00035147
-0.295,-0.000342989
-0.29,-0.000336489
-0.285,-0.000329344
-0.28,-0.000321939
-0.275,-0.000312602
-0.27,-0.000306575
-0.265,-0.000299745
-0.26,-0.000293515
-0.255,-0.000286379
-0.25,-0.000279353
-0.245,-0.000271786
-0.24,-0.000264434
-0.235,-0.000257725
-0.23,-0.000250495
-0.225,-0.00024524
-0.22,-0.000237846
-0.215,-0.000231515
-0.21,-0.000224237
-0.205,-0.000218758
-0.2,-0.000210223
-0.195,-0.000206221
-0.19,-0.000199563
-0.185,-0.000192395
-0.18,-0.000185621
-0.175,-0.000179704
-0.17,-0.000173005
-0.165,-0.00016648
-0.16,-0.000160489
-0.155,-0.000154554
-0.15,-0.000147909
-0.145,-0.000141171
-0.14,-0.000134769
-0.135,-0.000127854
-0.13,-0.000122158
-0.125,-0.000116464
-0.12,-0.000109793
-0.115,-0.000104144
-0.11,-9.83E-05
-0.105,-8.69E-05
-0.1,-8.13E-05
-0.095,-7.45E-05
-0.09,-6.96E-05
-0.085,-6.40E-05
-0.08,-5.90E-05
-0.075,-5.35E-05
-0.07,-4.78E-05
-0.065,-4.32E-05
-0.06,-3.92E-05
-0.055,-3.47E-05
-0.05,-3.06E-05
-0.045,-2.69E-05
-0.04,-2.33E-05
-0.035,-2.00E-05
-0.03,-1.67E-05
-0.025,-1.37E-05
-0.02,-1.07E-05
-0.015,-7.91E-06
-0.01,-4.95E-06
-0.005,-2.48E-06
0,-9.24E-08
0.005,1.53E-05
0.01,2.90E-05
0.015,4.31E-05
0.02,5.66E-05
0.025,6.97E-05
0.03,8.38E-05
0.035,9.75E-05
0.04,0.000111214
0.045,0.000123614
0.05,0.000137079
0.055,0.000151754
0.06,0.000164728
0.065,0.000177869
0.07,0.000191346
0.075,0.000206461
0.08,3.09E-05
0.085,3.16E-05
0.09,3.25E-05
0.095,4.72E-05
0.1,4.99E-05
0.105,4.88E-05
0.11,5.04E-05
0.115,5.27E-05
0.12,5.83E-05
0.125,6.61E-05
0.13,7.00E-05
0.135,7.25E-05
0.14,8.45E-05
0.145,8.84E-05
0.15,9.65E-05
0.155,8.56E-05
0.16,9.17E-05
0.165,9.91E-05
0.17,0.00010265
0.175,0.000105222
0.18,0.000115687
0.185,0.000120389
0.19,0.000129038
0.195,0.000137321
0.2,0.000145792
0.205,0.000164961
0.21,0.000178967
0.215,0.000194429
0.22,0.00018673
0.225,0.000201981
0.23,0.000192145
0.235,0.000214479
0.24,0.000324366
0.245,0.000228253
0.25,0.000210351
0.255,0.000206108
0.26,0.000200703
0.265,0.000197597
0.27,0.000196977
0.275,0.000197921
0.28,0.000198171
0.285,0.000198325
0.29,0.000265615
0.295,0.000246258
0.3,0.000228958
0.305,0.000221084
0.31,0.000228749
0.315,0.000224474
0.32,0.000219448
0.325,0.000220956
0.33,0.000212046
0.335,0.000216433
0.34,0.000213479
0.345,0.000208251
0.35,0.000209988
0.355,0.000206804
0.36,0.000201048
0.365,0.00020317
0.37,0.000200495
0.375,0.000199172
0.38,0.000199664
0.385,0.000187236
0.39,0.00018189
0.395,0.000177263
0.4,0.000174337
0.405,0.000182085
0.41,0.000184106
0.415,0.000184353
0.42,0.000184937
0.425,0.000184414
0.43,0.000185158
0.435,0.000185858
0.44,0.000186165
0.445,0.000186103
0.45,0.000189293
0.455,0.000195026
0.46,0.000199648
0.465,0.000201899
0.47,0.000204963
0.475,0.00020682
0.48,0.000208756
0.485,0.000452394
0.49,0.000348299
0.495,0.00029116
0.5,0.00027422
0.505,0.000261907
0.51,0.000250301
0.515,0.000252322
0.52,0.000258348
0.525,0.000257816
0.53,0.000257736
0.535,0.00025864
0.54,0.000256141
0.545,0.000245671
0.55,0.00024253
0.555,0.000243046
0.56,0.000247637
0.565,0.000247032
0.57,0.000247419
0.575,0.000246614
0.58,0.000247814
0.585,0.000236357
0.59,0.000233465
0.595,0.000237909
0.6,0.000243402
0.605,0.000257328
0.61,0.000260896
0.615,0.000264557
0.62,0.000267288
0.625,0.000268266
0.63,0.000272355
0.635,0.00030176
0.64,0.000310557
0.645,0.000310408
0.65,0.000315177
0.655,0.000322039
0.66,0.000326175
0.665,0.000332769
0.67,0.000334899
0.675,0.000343218
0.68,0.00034065
0.685,0.000341867
0.69,0.00034396
0.695,0.000344805
0.7,0.000349207
0.705,0.000360059
0.71,0.000357861
0.715,0.000359229
0.72,0.000362988
0.725,0.000364975
0.73,0.000368293
0.735,0.00037346
0.74,0.000374051
0.745,0.000377576
0.75,0.000382209
0.755,0.00038497
0.76,0.000389068
0.765,0.000393693
0.77,0.0003934
0.775,0.000396261
0.78,0.000399701
0.785,0.000403447
0.79,0.000405637
0.795,0.00040889
0.8,0.000411055
0.805,0.000408616
0.81,0.00041564
0.815,0.000413625
0.82,0.000416643
0.825,0.000421842
0.83,0.00042294
0.835,0.000423705
0.84,0.000422655
0.845,0.000426477
0.85,0.000429158
0.855,0.000433205
0.86,0.000435566
0.865,0.000437446
0.87,0.000441167
0.875,0.000446433
0.8798,0.000449928
0.885,0.000453546
0.89,0.000457844
0.895,0.000460519
0.9,0.000462827
0.905,0.000464385
0.91,0.000468123
0.915,0.000469256
0.92,0.000471785
0.925,0.000472174
0.93,0.000475575
0.935,0.000478239
0.94,0.000479026
0.945,0.000481621
0.95,0.000486127
0.955,0.000485287
0.96,0.000518782
0.965,0.000526583
0.97,0.000529729
0.975,0.000535311
0.98,0.00054182
0.985,0.000545641
0.99,0.00054767
0.995,0.000550502
1,0.000552176
