"I - RawData"
"Wavelength nm.","T%"
400.00,0.02189
401.00,0.02210
402.00,0.02280
403.00,0.02445
404.00,0.02393
405.00,0.02464
406.00,0.02652
407.00,0.02427
408.00,0.02417
409.00,0.02552
410.00,0.02771
411.00,0.02607
412.00,0.02466
413.00,0.02591
414.00,0.02580
415.00,0.02463
416.00,0.02476
417.00,0.02299
418.00,0.02312
419.00,0.02388
420.00,0.02414
421.00,0.02353
422.00,0.02431
423.00,0.02604
424.00,0.02712
425.00,0.03092
426.00,0.03697
427.00,0.04397
428.00,0.05501
429.00,0.07096
430.00,0.08614
431.00,0.10571
432.00,0.12852
433.00,0.14870
434.00,0.16132
435.00,0.17082
436.00,0.18036
437.00,0.18492
438.00,0.18966
439.00,0.19343
440.00,0.19724
441.00,0.20315
442.00,0.20548
443.00,0.21240
444.00,0.21348
445.00,0.21709
446.00,0.22411
447.00,0.22378
448.00,0.22973
449.00,0.23568
450.00,0.23491
451.00,0.23879
452.00,0.24449
453.00,0.24869
454.00,0.25170
455.00,0.25574
456.00,0.26085
457.00,0.26556
458.00,0.26987
459.00,0.27257
460.00,0.27730
461.00,0.28401
462.00,0.28694
463.00,0.29368
464.00,0.29796
465.00,0.30448
466.00,0.30806
467.00,0.31020
468.00,0.31638
469.00,0.32139
470.00,0.32244
471.00,0.33085
472.00,0.33750
473.00,0.33824
474.00,0.34392
475.00,0.35049
476.00,0.35575
477.00,0.35886
478.00,0.36511
479.00,0.36660
480.00,0.37264
481.00,0.37834
482.00,0.38589
483.00,0.38688
484.00,0.39304
485.00,0.40280
486.00,0.40689
487.00,0.41163
488.00,0.41712
489.00,0.42187
490.00,0.42398
491.00,0.43315
492.00,0.43798
493.00,0.44146
494.00,0.44911
495.00,0.45350
496.00,0.45995
497.00,0.46290
498.00,0.46867
499.00,0.47531
500.00,0.48460
501.00,0.48666
502.00,0.49119
503.00,0.49926
504.00,0.50571
505.00,0.51205
506.00,0.51279
507.00,0.52435
508.00,0.53142
509.00,0.52818
510.00,0.53654
511.00,0.54542
512.00,0.54913
513.00,0.55746
514.00,0.56241
515.00,0.56322
516.00,0.57767
517.00,0.57969
518.00,0.58125
519.00,0.58480
520.00,0.59187
521.00,0.60246
522.00,0.60389
523.00,0.61179
524.00,0.61436
525.00,0.61735
526.00,0.62461
527.00,0.62960
528.00,0.63092
529.00,0.63566
530.00,0.64696
531.00,0.64896
532.00,0.65331
533.00,0.65460
534.00,0.66007
535.00,0.66470
536.00,0.66060
537.00,0.67115
538.00,0.67288
539.00,0.67841
540.00,0.68061
541.00,0.68239
542.00,0.68847
543.00,0.68282
544.00,0.68710
545.00,0.69222
546.00,0.69649
547.00,0.69672
548.00,0.70156
549.00,0.69949
550.00,0.70674
551.00,0.70887
552.00,0.71096
553.00,0.70659
554.00,0.71638
555.00,0.71967
556.00,0.72157
557.00,0.72273
558.00,0.72921
559.00,0.73406
560.00,0.73314
561.00,0.73929
562.00,0.73988
563.00,0.74869
564.00,0.75182
565.00,0.75672
566.00,0.76151
567.00,0.76495
568.00,0.77483
569.00,0.77836
570.00,0.79342
571.00,0.80142
572.00,0.80232
573.00,0.81820
574.00,0.82533
575.00,0.83945
576.00,0.85221
577.00,0.86543
578.00,0.88162
579.00,0.89380
580.00,0.90894
581.00,0.93256
582.00,0.94569
583.00,0.96967
584.00,0.99500
585.00,1.01493
586.00,1.04411
587.00,1.06929
588.00,1.09536
589.00,1.13257
590.00,1.16960
591.00,1.20574
592.00,1.24927
593.00,1.29122
594.00,1.34302
595.00,1.38989
596.00,1.44892
597.00,1.50997
598.00,1.56517
599.00,1.64362
