"SR_II - RawData"
"Wavelength nm.","R%"
400.00,11.14752
401.00,11.12089
402.00,11.23812
403.00,11.21111
404.00,11.18649
405.00,11.24944
406.00,11.26944
407.00,11.26405
408.00,11.34731
409.00,11.38893
410.00,11.38739
411.00,11.45821
412.00,11.56851
413.00,11.62487
414.00,11.65954
415.00,11.84866
416.00,12.02711
417.00,12.16253
418.00,12.38120
419.00,12.53519
420.00,12.64720
421.00,12.74413
422.00,12.85102
423.00,12.95686
424.00,12.95631
425.00,12.86788
426.00,12.66747
427.00,12.32500
428.00,12.00743
429.00,11.61770
430.00,11.29274
431.00,11.02197
432.00,10.76993
433.00,10.61979
434.00,10.47352
435.00,10.41535
436.00,10.35447
437.00,10.32405
438.00,10.30196
439.00,10.29024
440.00,10.28996
441.00,10.31301
442.00,10.31812
443.00,10.31429
444.00,10.32770
445.00,10.33813
446.00,10.38151
447.00,10.36796
448.00,10.37814
449.00,10.40389
450.00,10.44256
451.00,10.46045
452.00,10.48945
453.00,10.51121
454.00,10.54151
455.00,10.54539
456.00,10.61483
457.00,10.62442
458.00,10.65279
459.00,10.67554
460.00,10.73609
461.00,10.74240
462.00,10.77104
463.00,10.78710
464.00,10.81909
465.00,10.85911
466.00,10.89489
467.00,10.94050
468.00,10.93529
469.00,10.97464
470.00,11.00244
471.00,11.05954
472.00,11.07259
473.00,11.10242
474.00,11.10077
475.00,11.14949
476.00,11.18964
477.00,11.23522
478.00,11.23860
479.00,11.29136
480.00,11.31704
481.00,11.34470
482.00,11.40433
483.00,11.40488
484.00,11.47561
485.00,11.47875
486.00,11.56424
487.00,11.60604
488.00,11.59406
489.00,11.63941
490.00,11.70390
491.00,11.70160
492.00,11.77093
493.00,11.80668
494.00,11.83490
495.00,11.88513
496.00,11.92593
497.00,11.93791
498.00,11.99551
499.00,12.03096
500.00,12.06022
501.00,12.12708
502.00,12.14476
503.00,12.19338
504.00,12.24465
505.00,12.25292
506.00,12.31218
507.00,12.36529
508.00,12.39768
509.00,12.45165
510.00,12.50748
511.00,12.55863
512.00,12.58025
513.00,12.63144
514.00,12.66654
515.00,12.71683
516.00,12.77301
517.00,12.79887
518.00,12.83887
519.00,12.87975
520.00,12.92302
521.00,12.95778
522.00,13.03264
523.00,13.10278
524.00,13.12543
525.00,13.17100
526.00,13.23798
527.00,13.25655
528.00,13.32038
529.00,13.34925
530.00,13.41899
531.00,13.48001
532.00,13.51079
533.00,13.59820
534.00,13.63190
535.00,13.66114
536.00,13.73491
537.00,13.81460
538.00,13.86483
539.00,13.91878
540.00,13.98736
541.00,14.03433
542.00,14.07844
543.00,14.15364
544.00,14.20619
545.00,14.29978
546.00,14.36851
547.00,14.43214
548.00,14.50769
549.00,14.55099
550.00,14.62502
551.00,14.71297
552.00,14.77613
553.00,14.85475
554.00,14.92237
555.00,15.05812
556.00,15.08682
557.00,15.18863
558.00,15.27112
559.00,15.34608
560.00,15.41765
561.00,15.49343
562.00,15.58301
563.00,15.67724
564.00,15.78430
565.00,15.85317
566.00,15.93859
567.00,16.08937
568.00,16.14919
569.00,16.20461
570.00,16.31942
571.00,16.42746
572.00,16.50203
573.00,16.57329
574.00,16.69130
575.00,16.74826
576.00,16.88081
577.00,16.96606
578.00,17.06920
579.00,17.17076
580.00,17.26408
581.00,17.33944
582.00,17.47584
583.00,17.53034
584.00,17.64288
585.00,17.72328
586.00,17.82472
587.00,17.95382
588.00,18.01323
589.00,18.11113
590.00,18.22716
591.00,18.32484
592.00,18.41037
593.00,18.52623
594.00,18.59098
595.00,18.69964
596.00,18.77515
597.00,18.87513
598.00,18.96835
599.00,19.06362
600.00,19.11867
601.00,19.21269
602.00,19.30307
603.00,19.42527
604.00,19.45965
605.00,19.57487
606.00,19.63551
607.00,19.67828
608.00,19.80929
609.00,19.82531
610.00,19.92446
611.00,19.99189
612.00,20.08818
613.00,20.13165
614.00,20.21871
