"SR_VII - RawData"
"Wavelength nm.","R%"
400.00,12.77571
401.00,12.80815
402.00,12.78878
403.00,12.78735
404.00,12.79138
405.00,12.80555
406.00,12.75342
407.00,12.79163
408.00,12.80434
409.00,12.77736
410.00,12.79049
411.00,12.79865
412.00,12.79030
413.00,12.82254
414.00,12.81404
415.00,12.79207
416.00,12.79749
417.00,12.81554
418.00,12.83287
419.00,12.79813
420.00,12.84414
421.00,12.84406
422.00,12.84209
423.00,12.84930
424.00,12.85479
425.00,12.86257
426.00,12.86307
427.00,12.87638
428.00,12.89941
429.00,12.92462
430.00,12.94760
431.00,13.03508
432.00,13.08991
433.00,13.17935
434.00,13.28404
435.00,13.38520
436.00,13.44351
437.00,13.46894
438.00,13.48729
439.00,13.45899
440.00,13.43073
441.00,13.38359
442.00,13.33783
443.00,13.30078
444.00,13.28034
445.00,13.22344
446.00,13.19867
447.00,13.14571
448.00,13.15570
449.00,13.09850
450.00,13.08186
451.00,13.03873
452.00,13.06582
453.00,13.02280
454.00,13.01616
455.00,12.99326
456.00,12.98976
457.00,12.95133
458.00,12.96270
459.00,12.94629
460.00,12.92149
461.00,12.93221
462.00,12.91122
463.00,12.88912
464.00,12.88163
465.00,12.86674
466.00,12.87595
467.00,12.83001
468.00,12.86762
469.00,12.83791
470.00,12.81569
471.00,12.83515
472.00,12.82301
473.00,12.82919
474.00,12.79810
475.00,12.80558
476.00,12.80325
477.00,12.80997
478.00,12.80081
479.00,12.79853
480.00,12.80463
481.00,12.80811
482.00,12.78412
483.00,12.81088
484.00,12.80114
485.00,12.80774
486.00,12.80914
487.00,12.80749
488.00,12.80161
489.00,12.82999
490.00,12.83543
491.00,12.82492
492.00,12.83571
493.00,12.83532
494.00,12.84237
495.00,12.84882
496.00,12.88767
497.00,12.87306
498.00,12.88512
499.00,12.88360
500.00,12.88419
501.00,12.90287
502.00,12.89266
503.00,12.91712
504.00,12.93392
505.00,12.94770
506.00,12.94531
507.00,12.96876
508.00,12.96831
509.00,12.97369
510.00,13.00971
511.00,13.01325
512.00,13.01716
513.00,13.03759
514.00,13.04692
515.00,13.05844
516.00,13.06282
517.00,13.08553
518.00,13.12245
519.00,13.13469
520.00,13.14868
521.00,13.15387
522.00,13.16353
523.00,13.18423
524.00,13.22581
525.00,13.23587
526.00,13.25255
527.00,13.25960
528.00,13.26743
529.00,13.26821
530.00,13.33170
531.00,13.34625
532.00,13.36534
533.00,13.39101
534.00,13.39785
535.00,13.42140
536.00,13.48366
537.00,13.47078
538.00,13.49122
539.00,13.53492
540.00,13.55260
541.00,13.54797
542.00,13.59956
543.00,13.62997
544.00,13.64298
545.00,13.68722
546.00,13.70335
547.00,13.74497
548.00,13.76441
549.00,13.80645
550.00,13.84415
551.00,13.88119
552.00,13.90471
553.00,13.94309
554.00,13.99274
555.00,14.01125
556.00,14.05868
557.00,14.11587
558.00,14.12992
559.00,14.19842
560.00,14.24446
561.00,14.28284
562.00,14.32615
563.00,14.36032
564.00,14.40200
565.00,14.47186
566.00,14.52377
567.00,14.54168
568.00,14.61039
569.00,14.65255
570.00,14.71232
571.00,14.76556
572.00,14.80321
573.00,14.85291
574.00,14.91435
575.00,14.95900
576.00,15.02910
577.00,15.08056
578.00,15.14497
579.00,15.21201
580.00,15.23912
581.00,15.29100
582.00,15.36281
583.00,15.42073
584.00,15.46604
585.00,15.54880
586.00,15.60819
587.00,15.65266
588.00,15.70856
589.00,15.76987
590.00,15.83055
591.00,15.90178
592.00,15.96453
593.00,16.01263
594.00,16.09630
595.00,16.12147
596.00,16.21636
597.00,16.31432
598.00,16.36503
599.00,16.42388
600.00,16.49439
601.00,16.56608
602.00,16.65825
603.00,16.73315
604.00,16.81730
605.00,16.90154
606.00,16.99389
607.00,17.07163
608.00,17.15891
609.00,17.25255
610.00,17.33498
611.00,17.45570
612.00,17.57862
613.00,17.64214
614.00,17.77291
615.00,17.89206
616.00,18.02676
617.00,18.12566
618.00,18.25584
619.00,18.37756
620.00,18.54737
621.00,18.62984
622.00,18.78779
623.00,18.92432
624.00,19.07167
625.00,19.23832
626.00,19.38923
627.00,19.53652
628.00,19.68151
629.00,19.85911
630.00,20.03226
631.00,20.16739
632.00,20.36302
633.00,20.52110
634.00,20.70801
635.00,20.86288
636.00,21.07739
637.00,21.23367
638.00,21.42537
639.00,21.60144
640.00,21.78841
641.00,21.99407
642.00,22.21851
643.00,22.38376
644.00,22.57721
645.00,22.77048
646.00,22.96269
647.00,23.19323
648.00,23.37149
649.00,23.53463
650.00,23.71864
651.00,23.95170
652.00,24.10007
653.00,24.33081
654.00,24.53118
655.00,24.70511
656.00,24.88257
657.00,25.02911
658.00,25.24769
659.00,25.43291
660.00,25.63287
661.00,25.81879
662.00,25.91403
663.00,26.17951
664.00,26.33480
665.00,26.50624
666.00,26.65810
667.00,26.78463
668.00,26.96516
669.00,27.10202
670.00,27.29762
671.00,27.39151
672.00,27.55350
673.00,27.67959
674.00,27.81608
675.00,27.96120
676.00,28.09495
677.00,28.18194
678.00,28.33774
