"SR_VIII - RawData"
"Wavelength nm.","R%"
400.00,18.25182
401.00,18.22619
402.00,18.25882
403.00,18.29144
404.00,18.27979
405.00,18.32757
406.00,18.36429
407.00,18.37259
408.00,18.38928
409.00,18.47704
410.00,18.45674
411.00,18.48609
412.00,18.54861
413.00,18.55882
414.00,18.54197
415.00,18.58421
416.00,18.63146
417.00,18.63222
418.00,18.62188
419.00,18.66739
420.00,18.67719
421.00,18.71102
422.00,18.77727
423.00,18.81079
424.00,18.85215
425.00,18.91732
426.00,18.96408
427.00,19.04730
428.00,19.08791
429.00,19.11481
430.00,19.10812
431.00,19.11977
432.00,19.14132
433.00,19.15199
434.00,19.14757
435.00,19.11756
436.00,19.09450
437.00,19.10102
438.00,19.08873
439.00,19.07459
440.00,19.10426
441.00,19.08579
442.00,19.09009
443.00,19.09806
444.00,19.10933
445.00,19.11031
446.00,19.10033
447.00,19.13565
448.00,19.13990
449.00,19.16432
450.00,19.16909
451.00,19.18194
452.00,19.18499
453.00,19.20446
454.00,19.22785
455.00,19.26132
456.00,19.26021
457.00,19.27761
458.00,19.29757
459.00,19.32586
460.00,19.32880
461.00,19.35338
462.00,19.38387
463.00,19.41794
464.00,19.39906
465.00,19.43633
466.00,19.46516
467.00,19.49312
468.00,19.50473
469.00,19.52956
470.00,19.54877
471.00,19.56421
472.00,19.59178
473.00,19.61503
474.00,19.65658
475.00,19.64665
476.00,19.68312
477.00,19.71782
478.00,19.75462
479.00,19.75277
480.00,19.81693
481.00,19.83934
482.00,19.86057
483.00,19.91879
484.00,19.93674
485.00,19.97917
486.00,20.06243
487.00,20.08398
488.00,20.13428
489.00,20.15415
490.00,20.20637
491.00,20.23878
492.00,20.28389
493.00,20.35059
494.00,20.39710
495.00,20.44720
496.00,20.50303
497.00,20.55826
498.00,20.60893
499.00,20.65362
500.00,20.71518
501.00,20.78638
502.00,20.83016
503.00,20.88092
504.00,20.95476
505.00,21.00496
506.00,21.09465
507.00,21.16404
508.00,21.24656
509.00,21.29456
510.00,21.38164
511.00,21.44625
512.00,21.52712
513.00,21.56831
514.00,21.64723
515.00,21.74237
516.00,21.81551
517.00,21.91133
518.00,21.97737
519.00,22.07649
520.00,22.13110
521.00,22.21931
522.00,22.30044
523.00,22.40879
524.00,22.48792
525.00,22.57904
526.00,22.66303
527.00,22.75937
528.00,22.88988
529.00,22.98246
530.00,23.10486
531.00,23.20419
532.00,23.30517
533.00,23.39272
534.00,23.51388
535.00,23.65219
536.00,23.76003
537.00,23.88388
538.00,23.96204
539.00,24.09576
540.00,24.19280
541.00,24.33271
542.00,24.44216
543.00,24.58535
544.00,24.71041
545.00,24.86858
546.00,24.99702
547.00,25.13734
548.00,25.27342
549.00,25.43621
550.00,25.57924
551.00,25.72280
552.00,25.86293
553.00,26.05219
554.00,26.20846
555.00,26.34968
556.00,26.50906
557.00,26.67886
558.00,26.83444
559.00,26.97362
560.00,27.16212
561.00,27.31661
562.00,27.50402
563.00,27.67259
564.00,27.78720
565.00,27.93737
566.00,28.11615
567.00,28.27717
568.00,28.40602
569.00,28.56811
570.00,28.72655
571.00,28.86550
572.00,29.03691
573.00,29.13034
574.00,29.28275
575.00,29.41957
576.00,29.58142
577.00,29.70352
578.00,29.83200
579.00,29.95271
580.00,30.06389
581.00,30.18638
582.00,30.27675
583.00,30.37519
584.00,30.47577
585.00,30.59297
586.00,30.67116
587.00,30.77477
588.00,30.82565
589.00,30.91281
590.00,30.96470
591.00,31.07718
592.00,31.13665
593.00,31.17379
594.00,31.26491
595.00,31.34785
596.00,31.41718
597.00,31.49306
598.00,31.50429
599.00,31.58508
600.00,31.67855
601.00,31.70810
602.00,31.79979
603.00,31.85814
604.00,31.94511
605.00,32.02060
606.00,32.13418
607.00,32.18501
608.00,32.27233
609.00,32.39498
610.00,32.50521
611.00,32.62334
612.00,32.75057
613.00,32.89310
614.00,33.00691
615.00,33.19736
616.00,33.37761
617.00,33.53592
618.00,33.74724
619.00,33.96883
620.00,34.13877
621.00,34.40350
622.00,34.60096
623.00,34.83972
624.00,35.11195
625.00,35.34428
626.00,35.65902
627.00,35.90034
628.00,36.19857
629.00,36.45335
630.00,36.75019
631.00,37.06990
632.00,37.33748
633.00,37.73271
634.00,38.02983
635.00,38.36198
636.00,38.73361
637.00,39.02057
638.00,39.38772
639.00,39.71944
640.00,40.05281
641.00,40.49748
642.00,40.81817
643.00,41.14231
644.00,41.55696
645.00,41.94267
646.00,42.24249
647.00,42.51686
648.00,42.86771
649.00,43.23630
650.00,43.51878
651.00,43.90636
652.00,44.21898
653.00,44.52735
654.00,44.90727
655.00,45.14910
656.00,45.46594
657.00,45.75466
658.00,45.98565
659.00,46.30102
660.00,46.54676
661.00,46.77317
662.00,47.10799
663.00,47.24091
664.00,47.45242
665.00,47.59303
666.00,47.86401
667.00,47.97463
668.00,48.12918
669.00,48.26932
670.00,48.40840
671.00,48.46061
672.00,48.66062
673.00,48.77211
674.00,48.78040
675.00,48.94315
676.00,48.95864
677.00,49.02887
678.00,48.98533
679.00,49.08020
680.00,49.13737
681.00,49.06029
682.00,49.06281
683.00,49.08661
684.00,49.09314
685.00,49.07264
686.00,49.13666
687.00,49.10541
688.00,49.13667
689.00,48.98432
690.00,49.07102
691.00,49.08780
692.00,49.04436
693.00,49.07966
694.00,48.91454
695.00,48.94062
696.00,48.92081
697.00,49.01797
698.00,48.91788
699.00,48.93225
700.00,48.97462
701.00,48.98913
