"SR_VIII2 - RawData"
"Wavelength nm.","R%"
400.00,18.02021
401.00,18.04680
402.00,18.05008
403.00,18.03884
404.00,18.09103
405.00,18.12084
406.00,18.15045
407.00,18.14921
408.00,18.19045
409.00,18.25934
410.00,18.24201
411.00,18.28874
412.00,18.31867
413.00,18.35432
414.00,18.36177
415.00,18.36322
416.00,18.44537
417.00,18.42530
418.00,18.46076
419.00,18.45864
420.00,18.49629
421.00,18.53845
422.00,18.57889
423.00,18.58947
424.00,18.64362
425.00,18.67384
426.00,18.70385
427.00,18.71586
428.00,18.70642
429.00,18.73818
430.00,18.74725
431.00,18.79686
432.00,18.78628
433.00,18.84584
434.00,18.82728
435.00,18.88467
436.00,18.85740
437.00,18.89452
438.00,18.92767
439.00,18.91224
440.00,18.94218
441.00,18.97024
442.00,19.00650
443.00,19.04268
444.00,19.07680
445.00,19.08329
446.00,19.08548
447.00,19.12453
448.00,19.14331
449.00,19.16479
450.00,19.19189
451.00,19.19746
452.00,19.24742
453.00,19.23333
454.00,19.25299
455.00,19.30932
456.00,19.30590
457.00,19.36150
458.00,19.33828
459.00,19.37617
460.00,19.39911
461.00,19.42811
462.00,19.45581
463.00,19.51898
464.00,19.46504
465.00,19.54102
466.00,19.53476
467.00,19.54430
468.00,19.57948
469.00,19.60335
470.00,19.60314
471.00,19.61193
472.00,19.64557
473.00,19.68432
474.00,19.68675
475.00,19.71168
476.00,19.73681
477.00,19.75848
478.00,19.76920
479.00,19.80736
480.00,19.82963
481.00,19.86185
482.00,19.88216
483.00,19.90855
484.00,19.93508
485.00,19.94378
486.00,19.98184
487.00,20.02542
488.00,20.05972
489.00,20.04910
490.00,20.09457
491.00,20.13973
492.00,20.16615
493.00,20.17627
494.00,20.22299
495.00,20.24414
496.00,20.27121
497.00,20.29606
498.00,20.34792
499.00,20.34296
500.00,20.39446
501.00,20.45625
502.00,20.48898
503.00,20.50532
504.00,20.56125
505.00,20.60755
506.00,20.62945
507.00,20.65440
508.00,20.73609
509.00,20.71210
510.00,20.79213
511.00,20.84617
512.00,20.89003
513.00,20.93706
514.00,20.99078
515.00,21.05426
516.00,21.09022
517.00,21.13515
518.00,21.22594
519.00,21.25507
520.00,21.29634
521.00,21.33349
522.00,21.40761
523.00,21.46344
524.00,21.56721
525.00,21.57435
526.00,21.65016
527.00,21.74008
528.00,21.79492
529.00,21.86922
530.00,21.95262
531.00,22.04724
532.00,22.15851
533.00,22.19970
534.00,22.30923
535.00,22.38112
536.00,22.46565
537.00,22.57668
538.00,22.66246
539.00,22.76628
540.00,22.83226
541.00,22.94642
542.00,23.06183
543.00,23.17712
544.00,23.26260
545.00,23.40668
546.00,23.49248
547.00,23.62768
548.00,23.79566
549.00,23.89219
550.00,24.04012
551.00,24.16920
552.00,24.31206
553.00,24.45040
554.00,24.62420
555.00,24.75661
556.00,24.88601
557.00,25.03897
558.00,25.18209
559.00,25.35812
560.00,25.49401
561.00,25.67625
562.00,25.83308
563.00,25.99611
564.00,26.10993
565.00,26.28521
566.00,26.44719
567.00,26.60418
568.00,26.74569
569.00,26.87556
570.00,27.05068
571.00,27.15282
572.00,27.30935
573.00,27.43927
574.00,27.60148
575.00,27.74372
576.00,27.86500
577.00,28.02007
578.00,28.11877
579.00,28.23025
580.00,28.35162
581.00,28.47340
582.00,28.54647
583.00,28.61589
584.00,28.72427
585.00,28.80028
586.00,28.88761
587.00,28.98106
588.00,29.02369
589.00,29.08261
590.00,29.13735
591.00,29.19559
592.00,29.24587
593.00,29.28614
594.00,29.32589
595.00,29.34619
596.00,29.34326
597.00,29.35961
598.00,29.38302
599.00,29.36940
600.00,29.40534
601.00,29.37298
602.00,29.42392
603.00,29.41400
604.00,29.35061
605.00,29.38169
606.00,29.32197
607.00,29.29377
608.00,29.29346
609.00,29.25508
610.00,29.24053
611.00,29.21573
612.00,29.19078
613.00,29.17283
614.00,29.10444
615.00,29.07996
616.00,29.08918
617.00,29.07254
618.00,29.04262
619.00,29.05366
620.00,29.03449
621.00,29.02333
622.00,29.03663
623.00,29.07478
624.00,29.03553
625.00,29.10033
626.00,29.11335
627.00,29.09923
628.00,29.19722
629.00,29.24513
630.00,29.27952
631.00,29.35205
632.00,29.40595
633.00,29.51290
634.00,29.60882
635.00,29.72397
636.00,29.85352
637.00,29.97019
638.00,30.08531
639.00,30.20248
640.00,30.36164
641.00,30.60879
642.00,30.69726
643.00,30.86246
644.00,31.08065
645.00,31.29574
646.00,31.51538
647.00,31.65425
648.00,31.89589
649.00,32.10279
650.00,32.38083
651.00,32.63427
652.00,32.88961
653.00,33.14483
654.00,33.41712
655.00,33.70130
656.00,33.94662
657.00,34.28039
658.00,34.49816
659.00,34.83435
660.00,35.13136
661.00,35.42511
662.00,35.82158
663.00,36.13120
664.00,36.39287
665.00,36.69772
666.00,37.06841
667.00,37.33662
668.00,37.67020
669.00,38.05026
670.00,38.27684
671.00,38.56021
672.00,38.90170
673.00,39.21103
674.00,39.50053
675.00,39.78285
676.00,40.05631
677.00,40.36391
678.00,40.65027
679.00,40.95295
680.00,41.25381
681.00,41.43108
682.00,41.74371
683.00,41.98565
684.00,42.20967
685.00,42.48257
686.00,42.60287
687.00,42.89540
688.00,43.10735
689.00,43.27106
690.00,43.41772
691.00,43.65984
692.00,43.81549
693.00,43.93571
694.00,44.07566
695.00,44.12042
696.00,44.40679
697.00,44.49852
698.00,44.60791
699.00,44.70303
700.00,44.79811
701.00,44.94953
702.00,44.95953
703.00,45.05932
704.00,45.18442
705.00,45.33248
706.00,45.33553
707.00,45.30235
708.00,45.39806
709.00,45.48701
710.00,45.55219
711.00,45.53418
712.00,45.64373
713.00,45.59036
714.00,45.75060
715.00,45.83809
716.00,45.77454
717.00,45.86800
718.00,45.98156
719.00,45.89432
720.00,45.98081
721.00,46.01191
722.00,46.02993
723.00,46.04023
724.00,46.15060
725.00,46.17900
726.00,46.11653
727.00,46.16493
728.00,46.19969
729.00,46.27883
730.00,46.23240
731.00,46.30195
732.00,46.33826
733.00,46.34658
734.00,46.46026
735.00,46.37395
736.00,46.50878
737.00,46.56602
738.00,46.61015
739.00,46.79108
740.00,46.77302
741.00,46.72115
742.00,46.94486
743.00,46.94703
744.00,46.85767
745.00,47.12273
746.00,47.17591
747.00,47.27594
748.00,47.39969
749.00,47.43403
750.00,47.61602
751.00,47.44782
752.00,47.65434
753.00,47.67902
754.00,47.67826
755.00,47.85852
756.00,47.86892
757.00,48.08947
758.00,48.10173
759.00,48.15398
760.00,48.22733
761.00,48.36393
762.00,48.37244
763.00,48.72339
764.00,48.74986
765.00,48.67304
766.00,48.79489
767.00,48.84883
768.00,49.10040
769.00,48.97999
770.00,48.78857
771.00,49.27177
772.00,49.08980
773.00,49.40056
774.00,49.34744
775.00,49.13217
776.00,49.43654
777.00,49.40525
778.00,49.49639
779.00,49.72260
780.00,49.71717
781.00,49.91452
782.00,49.95898
783.00,49.97338
784.00,50.03967
785.00,49.95833
786.00,50.02766
787.00,50.06129
788.00,50.24933
789.00,50.22750
790.00,50.21016
791.00,50.31743
792.00,50.62906
793.00,50.46390
794.00,50.58923
795.00,50.41617
796.00,50.46590
797.00,50.84538
798.00,50.49632
799.00,50.66503
800.00,50.84041
801.00,50.83664
802.00,50.81635
803.00,50.60736
804.00,50.73843
805.00,50.89793
806.00,50.79448
807.00,50.76844
808.00,50.96250
809.00,50.75950
810.00,50.91091
811.00,50.86173
812.00,50.93130
813.00,50.98840
814.00,50.83913
815.00,50.91367
816.00,51.11161
817.00,50.91277
818.00,50.77160
819.00,50.67004
820.00,50.78133
821.00,50.51908
822.00,50.53261
823.00,50.51113
824.00,50.68112
825.00,50.49834
826.00,50.43921
827.00,50.50912
828.00,50.51095
829.00,50.17828
830.00,50.53287
831.00,50.20200
832.00,50.18840
833.00,49.90186
834.00,50.02068
835.00,50.02111
836.00,49.85516
837.00,49.34682
838.00,49.17604
839.00,48.56148
840.00,49.62397
841.00,49.34824
842.00,48.26868
843.00,48.40729
844.00,48.49364
845.00,49.16310
846.00,48.43660
847.00,47.75534
848.00,47.76486
849.00,47.84910
850.00,47.60194
851.00,47.57686
852.00,46.73649
853.00,46.71101
854.00,46.76513
855.00,47.22135
856.00,45.61843
857.00,45.00545
858.00,44.69824
859.00,44.86236
860.00,45.21202
861.00,45.36363
862.00,45.20563
863.00,45.32824
864.00,43.35370
865.00,43.48692
866.00,40.87528
867.00,42.00276
868.00,41.95181
869.00,44.17723
870.00,41.77025
871.00,42.77771
872.00,42.86021
873.00,41.22688
874.00,41.17093
875.00,40.20797
876.00,39.89108
877.00,39.05111
878.00,40.06350
879.00,40.14751
880.00,40.52178
881.00,41.82971
882.00,39.07138
883.00,37.32959
884.00,41.86848
885.00,37.41040
886.00,39.32813
887.00,39.35634
888.00,37.34050
889.00,37.46557
890.00,36.86962
891.00,35.39063
892.00,34.08247
893.00,40.66173
894.00,40.93964
895.00,36.39938
896.00,38.19068
897.00,36.60120
898.00,38.17225
899.00,37.19873
900.00,39.01745
