"SR_X - RawData"
"Wavelength nm.","R%"
400.00,9.31989
401.00,9.31539
402.00,9.33630
403.00,9.32828
404.00,9.34814
405.00,9.35781
406.00,9.38512
407.00,9.39634
408.00,9.41071
409.00,9.45197
410.00,9.46752
411.00,9.51909
412.00,9.57744
413.00,9.65526
414.00,9.74127
415.00,9.87696
416.00,10.01848
417.00,10.17728
418.00,10.38075
419.00,10.53889
420.00,10.70409
421.00,10.82325
422.00,11.00049
423.00,11.15345
424.00,11.24508
425.00,11.28805
426.00,11.19133
427.00,11.01200
428.00,10.73731
429.00,10.45389
430.00,10.14135
431.00,9.83356
432.00,9.57765
433.00,9.32691
434.00,9.13197
435.00,8.95059
436.00,8.84379
437.00,8.74993
438.00,8.67264
439.00,8.62527
440.00,8.57218
441.00,8.52179
442.00,8.50050
443.00,8.46185
444.00,8.45840
445.00,8.43991
446.00,8.43287
447.00,8.42107
448.00,8.41370
449.00,8.42024
450.00,8.39665
451.00,8.41273
452.00,8.41361
453.00,8.40381
454.00,8.41011
455.00,8.42206
456.00,8.43311
457.00,8.43958
458.00,8.44293
459.00,8.45140
460.00,8.45690
461.00,8.47309
462.00,8.48809
463.00,8.50436
464.00,8.52285
465.00,8.54189
466.00,8.53917
467.00,8.55411
468.00,8.59318
469.00,8.58337
470.00,8.61459
471.00,8.63362
472.00,8.64061
473.00,8.67489
474.00,8.68765
475.00,8.70034
476.00,8.71622
477.00,8.74232
478.00,8.75863
479.00,8.78280
480.00,8.82524
481.00,8.82951
482.00,8.83908
483.00,8.86926
484.00,8.89025
485.00,8.91931
486.00,8.94901
487.00,8.96897
488.00,9.00011
489.00,9.02389
490.00,9.03483
491.00,9.06148
492.00,9.08493
493.00,9.11351
494.00,9.15036
495.00,9.17349
496.00,9.18173
497.00,9.23112
498.00,9.24444
499.00,9.27550
500.00,9.29403
501.00,9.32704
502.00,9.36039
503.00,9.37072
504.00,9.40996
505.00,9.43514
506.00,9.45687
507.00,9.48876
508.00,9.53254
509.00,9.53285
510.00,9.58137
511.00,9.62519
512.00,9.63247
513.00,9.66021
514.00,9.69619
515.00,9.72273
516.00,9.75800
517.00,9.78393
518.00,9.82543
519.00,9.84648
520.00,9.87062
521.00,9.89830
522.00,9.93122
523.00,9.95809
524.00,9.98764
525.00,10.03675
526.00,10.06049
527.00,10.09115
528.00,10.13181
529.00,10.20197
530.00,10.20881
531.00,10.23462
532.00,10.28424
533.00,10.32875
534.00,10.35914
535.00,10.39924
536.00,10.45333
537.00,10.45032
538.00,10.49935
539.00,10.53388
540.00,10.57944
541.00,10.62110
542.00,10.66307
543.00,10.69839
544.00,10.74261
545.00,10.80100
546.00,10.83370
547.00,10.90039
548.00,10.96416
549.00,10.98872
550.00,11.05109
551.00,11.10861
552.00,11.17041
553.00,11.23454
554.00,11.28339
555.00,11.35767
556.00,11.41843
557.00,11.46534
558.00,11.51189
559.00,11.58578
560.00,11.66176
561.00,11.72122
562.00,11.80362
563.00,11.86099
564.00,11.93319
565.00,11.98545
566.00,12.06587
567.00,12.13842
568.00,12.20781
569.00,12.27269
570.00,12.37083
571.00,12.42901
572.00,12.50756
573.00,12.59958
574.00,12.65939
575.00,12.77245
576.00,12.84319
577.00,12.91884
578.00,13.01167
579.00,13.09291
580.00,13.18351
581.00,13.23957
582.00,13.34218
583.00,13.41213
584.00,13.49302
585.00,13.60565
586.00,13.66696
587.00,13.74988
588.00,13.80775
589.00,13.92425
590.00,13.97269
591.00,14.09576
592.00,14.15752
593.00,14.22431
594.00,14.32453
595.00,14.41513
596.00,14.48886
597.00,14.55628
598.00,14.62516
599.00,14.69680
600.00,14.78463
601.00,14.85289
602.00,14.94393
603.00,15.00593
604.00,15.09122
605.00,15.13580
606.00,15.21595
607.00,15.28244
608.00,15.34779
609.00,15.39778
610.00,15.47707
611.00,15.52732
612.00,15.60064
613.00,15.67561
614.00,15.70517
615.00,15.77348
616.00,15.85880
617.00,15.89984
618.00,15.97221
619.00,16.02160
620.00,16.08064
621.00,16.13717
622.00,16.21913
623.00,16.27744
624.00,16.33889
625.00,16.39838
626.00,16.46131
627.00,16.50592
628.00,16.59386
629.00,16.63578
630.00,16.71630
631.00,16.76287
632.00,16.81203
633.00,16.92094
634.00,16.99677
635.00,17.04646
636.00,17.13966
637.00,17.20708
638.00,17.31391
639.00,17.39871
640.00,17.50777
641.00,17.62336
642.00,17.73287
643.00,17.83725
644.00,17.94477
645.00,18.06254
646.00,18.17991
647.00,18.31908
648.00,18.47469
649.00,18.61561
650.00,18.75051
651.00,18.94713
652.00,19.12346
653.00,19.28225
654.00,19.46449
655.00,19.67461
656.00,19.86493
657.00,20.07318
658.00,20.26549
659.00,20.52236
660.00,20.76505
661.00,21.00767
662.00,21.31332
663.00,21.56801
664.00,21.84468
665.00,22.08362
666.00,22.43961
667.00,22.75654
668.00,23.07345
669.00,23.38507
670.00,23.69674
671.00,24.08785
672.00,24.44117
673.00,24.75942
674.00,25.12292
675.00,25.53392
676.00,25.95143
677.00,26.34602
678.00,26.72294
679.00,27.16707
680.00,27.61686
681.00,28.04631
682.00,28.47292
683.00,28.93944
684.00,29.38896
685.00,29.83871
686.00,30.33797
687.00,30.79258
688.00,31.25674
689.00,31.67768
690.00,32.17405
691.00,32.61971
692.00,33.09824
693.00,33.53809
694.00,34.01881
695.00,34.45654
696.00,34.88432
697.00,35.33365
698.00,35.82076
699.00,36.19008
700.00,36.69274
701.00,37.13007
702.00,37.52149
703.00,37.90143
704.00,38.35407
705.00,38.78693
706.00,39.16296
707.00,39.50025
708.00,39.91782
709.00,40.29434
710.00,40.69465
711.00,41.00123
712.00,41.42987
713.00,41.65039
714.00,42.07050
715.00,42.36886
716.00,42.69564
717.00,42.90511
718.00,43.17212
719.00,43.51153
720.00,43.73837
721.00,44.11977
722.00,44.29465
723.00,44.50381
724.00,44.74971
725.00,44.96093
726.00,45.21712
727.00,45.37182
728.00,45.62067
729.00,45.74743
730.00,45.91189
731.00,46.04855
732.00,46.29387
733.00,46.51700
734.00,46.65272
735.00,46.72394
736.00,46.97584
737.00,47.18741
738.00,47.28624
739.00,47.25507
740.00,47.49836
741.00,47.55799
742.00,47.87079
743.00,47.76474
744.00,47.84970
745.00,48.19296
746.00,48.16180
747.00,48.31592
748.00,48.47113
749.00,48.61754
750.00,48.57731
751.00,48.55706
752.00,48.65700
753.00,48.65778
754.00,48.88235
755.00,49.03868
756.00,49.10972
757.00,49.13268
758.00,49.20640
759.00,49.22668
760.00,49.27943
761.00,49.35035
762.00,49.66126
763.00,49.53681
764.00,49.70852
765.00,49.53974
766.00,49.80822
767.00,49.95190
768.00,50.09244
769.00,49.87613
770.00,49.63445
771.00,50.04738
772.00,50.03423
773.00,50.14687
774.00,50.15647
775.00,50.08382
776.00,50.18340
777.00,50.16578
778.00,50.07738
779.00,50.24594
780.00,50.36405
781.00,50.27147
782.00,50.36355
783.00,50.30952
784.00,50.51473
785.00,50.27847
786.00,50.48639
787.00,50.45262
788.00,50.42130
789.00,50.36284
790.00,50.50711
791.00,50.64621
792.00,50.60584
793.00,50.70676
794.00,50.73664
795.00,50.53591
796.00,50.41701
797.00,50.62675
798.00,50.60636
799.00,50.62679
800.00,50.75934
801.00,51.02051
802.00,50.35114
803.00,50.68971
804.00,50.62591
805.00,50.77502
806.00,50.59084
807.00,50.56480
808.00,50.56443
809.00,50.56055
810.00,50.42257
811.00,50.42190
812.00,50.45868
813.00,50.48810
814.00,50.42378
815.00,50.21287
816.00,50.32395
817.00,50.31757
818.00,50.36454
819.00,50.34724
820.00,50.23967
821.00,50.38674
822.00,50.24723
823.00,49.98175
824.00,49.87985
825.00,50.21031
826.00,49.96587
827.00,49.48398
828.00,49.90842
829.00,49.61047
830.00,49.95944
831.00,49.61342
832.00,49.66128
833.00,49.45887
834.00,49.61919
835.00,49.48426
836.00,49.44656
837.00,49.06618
838.00,48.86945
839.00,48.97106
840.00,49.31687
841.00,48.93931
842.00,48.67553
843.00,48.82013
844.00,48.41577
845.00,48.80954
846.00,48.16627
847.00,47.93558
848.00,47.10268
849.00,48.29374
850.00,47.89690
851.00,47.95672
852.00,48.68215
853.00,47.45577
854.00,47.10820
855.00,46.56955
856.00,45.62837
857.00,47.18815
858.00,46.42737
859.00,45.90843
860.00,45.32593
861.00,46.15338
862.00,47.28628
863.00,45.90406
864.00,45.29479
865.00,44.88849
866.00,43.80139
867.00,44.02465
868.00,44.19826
869.00,45.60881
870.00,46.27212
871.00,43.96638
872.00,42.80698
873.00,44.73400
874.00,44.98471
875.00,43.91249
876.00,41.75074
877.00,45.27564
878.00,43.00311
879.00,41.76221
880.00,43.00424
881.00,41.29653
882.00,42.89899
883.00,43.14851
884.00,38.62603
885.00,42.32036
886.00,45.23336
887.00,40.56509
888.00,37.19041
889.00,46.58782
890.00,47.85960
891.00,42.25714
892.00,38.41070
893.00,38.17134
894.00,43.02093
895.00,40.21472
896.00,46.13137
897.00,43.74584
898.00,43.90926
899.00,39.32519
900.00,42.04345
