"IX - RawData"
"Wavelength nm.","T%"
400.00,0.00562
401.00,0.00536
402.00,0.00548
403.00,0.00565
404.00,0.00576
405.00,0.00665
406.00,0.00585
407.00,0.00480
408.00,0.00602
409.00,0.00616
410.00,0.00635
411.00,0.00604
412.00,0.00636
413.00,0.00647
414.00,0.00581
415.00,0.00620
416.00,0.00649
417.00,0.00582
418.00,0.00610
419.00,0.00593
420.00,0.00599
421.00,0.00639
422.00,0.00684
423.00,0.00732
424.00,0.00795
425.00,0.00935
426.00,0.01131
427.00,0.01389
428.00,0.01497
429.00,0.01878
430.00,0.02161
431.00,0.02395
432.00,0.02548
433.00,0.02759
434.00,0.02891
435.00,0.03085
436.00,0.03057
437.00,0.03321
438.00,0.03447
439.00,0.03534
440.00,0.03717
441.00,0.03800
442.00,0.03970
443.00,0.03917
444.00,0.04228
445.00,0.04302
446.00,0.04407
447.00,0.04458
448.00,0.04676
449.00,0.04792
450.00,0.05101
451.00,0.05127
452.00,0.05410
453.00,0.05520
454.00,0.05648
455.00,0.05856
456.00,0.06051
457.00,0.06185
458.00,0.06318
459.00,0.06698
460.00,0.06661
461.00,0.07010
462.00,0.07153
463.00,0.07523
464.00,0.07433
465.00,0.07792
466.00,0.08111
467.00,0.08289
468.00,0.08351
469.00,0.08686
470.00,0.08748
471.00,0.09214
472.00,0.09266
473.00,0.09560
474.00,0.09610
475.00,0.10044
476.00,0.10341
477.00,0.10471
478.00,0.10781
479.00,0.10890
480.00,0.11266
481.00,0.11552
482.00,0.11905
483.00,0.12166
484.00,0.12365
485.00,0.12773
486.00,0.13044
487.00,0.13369
488.00,0.13817
489.00,0.13886
490.00,0.14141
491.00,0.14468
492.00,0.14671
493.00,0.15053
494.00,0.15483
495.00,0.15917
496.00,0.16029
497.00,0.16558
498.00,0.16706
499.00,0.17108
500.00,0.17539
501.00,0.18039
502.00,0.18189
503.00,0.18498
504.00,0.18906
505.00,0.19283
506.00,0.19603
507.00,0.20110
508.00,0.20198
509.00,0.21211
510.00,0.21365
511.00,0.21700
512.00,0.21893
513.00,0.22468
514.00,0.22970
515.00,0.23258
516.00,0.23593
517.00,0.24006
518.00,0.24714
519.00,0.25051
520.00,0.25096
521.00,0.25492
522.00,0.25892
523.00,0.26449
524.00,0.26823
525.00,0.26863
526.00,0.27668
527.00,0.27530
528.00,0.28089
529.00,0.28472
530.00,0.28776
531.00,0.29521
532.00,0.29507
533.00,0.29985
534.00,0.30185
535.00,0.30791
536.00,0.30937
537.00,0.31409
538.00,0.31359
539.00,0.32232
