"VI - RawData"
"Wavelength nm.","T%"
400.00,2.17941
401.00,2.20679
402.00,2.23805
403.00,2.28145
404.00,2.29982
405.00,2.33207
406.00,2.37390
407.00,2.39972
408.00,2.44703
409.00,2.47489
410.00,2.51435
411.00,2.54330
412.00,2.57363
413.00,2.62236
414.00,2.65846
415.00,2.68472
416.00,2.71742
417.00,2.75370
418.00,2.79962
419.00,2.81102
420.00,2.85882
421.00,2.88235
422.00,2.92213
423.00,2.95021
424.00,2.99776
425.00,3.02499
426.00,3.06374
427.00,3.08439
428.00,3.10623
429.00,3.15875
430.00,3.17374
431.00,3.20415
432.00,3.24458
433.00,3.26096
434.00,3.27973
435.00,3.30592
436.00,3.33069
437.00,3.35526
438.00,3.38300
439.00,3.40801
440.00,3.42856
441.00,3.44626
442.00,3.46781
443.00,3.49266
444.00,3.51319
445.00,3.52762
446.00,3.55540
447.00,3.56491
448.00,3.58161
449.00,3.60380
450.00,3.60782
451.00,3.64030
452.00,3.64239
453.00,3.66503
454.00,3.67085
455.00,3.70852
456.00,3.71641
457.00,3.72076
458.00,3.73851
459.00,3.76578
460.00,3.78777
461.00,3.79595
462.00,3.80786
463.00,3.82377
464.00,3.84909
465.00,3.86909
466.00,3.87854
467.00,3.89449
468.00,3.91948
469.00,3.92835
470.00,3.94909
471.00,3.95952
472.00,3.97228
473.00,3.98897
474.00,4.00974
475.00,4.02302
476.00,4.03353
477.00,4.05242
478.00,4.07776
479.00,4.08082
480.00,4.09662
481.00,4.11645
482.00,4.12391
483.00,4.14336
484.00,4.16559
485.00,4.17461
486.00,4.18573
487.00,4.19732
488.00,4.21829
489.00,4.22898
490.00,4.22854
491.00,4.24265
492.00,4.24133
493.00,4.26084
494.00,4.26275
495.00,4.28522
496.00,4.28130
497.00,4.30054
498.00,4.29864
499.00,4.30517
500.00,4.32041
501.00,4.33172
502.00,4.33358
503.00,4.34358
504.00,4.35849
505.00,4.37465
506.00,4.37831
507.00,4.39951
508.00,4.41619
509.00,4.42015
510.00,4.44156
511.00,4.44823
512.00,4.46080
513.00,4.47076
514.00,4.50482
515.00,4.52222
516.00,4.54365
517.00,4.55416
518.00,4.58359
519.00,4.58446
520.00,4.61010
521.00,4.63927
522.00,4.66626
523.00,4.68769
524.00,4.70250
525.00,4.75872
526.00,4.77074
527.00,4.80465
528.00,4.82755
529.00,4.88192
530.00,4.90133
531.00,4.91828
532.00,4.94465
533.00,4.99089
534.00,5.01834
535.00,5.05741
536.00,5.07253
537.00,5.12305
538.00,5.14560
539.00,5.17653
540.00,5.21373
541.00,5.24579
542.00,5.26450
543.00,5.31643
544.00,5.33141
545.00,5.35686
546.00,5.39154
547.00,5.43360
548.00,5.43885
549.00,5.47949
550.00,5.51717
551.00,5.52551
552.00,5.54173
553.00,5.58120
554.00,5.60109
555.00,5.62948
556.00,5.65714
557.00,5.66065
558.00,5.67621
559.00,5.71536
560.00,5.72459
561.00,5.74984
562.00,5.76871
563.00,5.79045
564.00,5.78497
565.00,5.81228
566.00,5.83377
567.00,5.84300
568.00,5.86582
569.00,5.88170
570.00,5.89012
571.00,5.90402
572.00,5.94736
573.00,5.94064
574.00,5.97391
575.00,5.96443
576.00,5.99919
577.00,5.99957
578.00,6.00922
579.00,6.04084
580.00,6.05086
581.00,6.06084
582.00,6.07078
583.00,6.07974
584.00,6.09989
585.00,6.11775
586.00,6.13055
587.00,6.13893
588.00,6.17096
589.00,6.18440
590.00,6.22236
591.00,6.23664
592.00,6.25121
593.00,6.25587
594.00,6.29666
595.00,6.31949
596.00,6.35050
597.00,6.37239
598.00,6.40121
599.00,6.42055
600.00,6.47127
601.00,6.50492
602.00,6.54716
603.00,6.57527
604.00,6.62026
605.00,6.66809
606.00,6.72943
607.00,6.76744
608.00,6.81782
609.00,6.88245
610.00,6.94807
611.00,7.02472
612.00,7.09241
613.00,7.18636
614.00,7.25642
615.00,7.37119
616.00,7.46393
617.00,7.57644
618.00,7.67833
619.00,7.79473
620.00,7.91641
621.00,8.05693
622.00,8.21677
623.00,8.35034
624.00,8.52125
625.00,8.69657
626.00,8.86178
627.00,9.03674
628.00,9.18308
629.00,9.41848
630.00,9.61320
631.00,9.80285
632.00,10.00371
633.00,10.23028
634.00,10.46454
635.00,10.71049
636.00,10.93767
637.00,11.20459
638.00,11.49220
639.00,11.73491
640.00,12.04803
641.00,12.31563
642.00,12.63393
643.00,12.93409
644.00,13.23434
645.00,13.55846
646.00,13.88517
647.00,14.20094
648.00,14.52574
649.00,14.85630
650.00,15.23155
651.00,15.58883
652.00,15.94116
653.00,16.29186
654.00,16.62311
655.00,17.00781
656.00,17.38404
657.00,17.72025
658.00,18.11313
659.00,18.54017
660.00,18.90609
661.00,19.31072
662.00,19.65130
663.00,20.10310
664.00,20.46644
665.00,20.82243
666.00,21.22804
667.00,21.59561
668.00,22.01223
669.00,22.37598
670.00,22.69650
671.00,23.06006
672.00,23.40051
673.00,23.72486
674.00,24.06519
675.00,24.36940
676.00,24.72716
677.00,25.09046
678.00,25.41834
679.00,25.68527
680.00,25.96956
681.00,26.28664
682.00,26.55207
683.00,26.87746
684.00,27.13777
685.00,27.42320
686.00,27.65659
687.00,27.86717
688.00,28.11125
689.00,28.42581
690.00,28.60678
691.00,28.80388
692.00,29.01029
693.00,29.17930
694.00,29.41355
695.00,29.64779
696.00,29.82360
697.00,29.94007
698.00,30.13637
699.00,30.29458
700.00,30.50703
701.00,30.59564
702.00,30.79084
703.00,30.94194
704.00,31.03989
705.00,31.23449
706.00,31.34725
707.00,31.51370
708.00,31.56444
709.00,31.66813
710.00,31.80796
711.00,31.85960
712.00,32.04355
713.00,32.17409
714.00,32.24556
715.00,32.32412
716.00,32.52883
717.00,32.56156
718.00,32.69153
719.00,32.81087
720.00,32.91038
721.00,32.83408
722.00,32.92947
723.00,33.05984
724.00,33.07364
725.00,33.26246
726.00,33.32283
727.00,33.32052
728.00,33.40482
729.00,33.40578
730.00,33.53948
731.00,33.64736
732.00,33.78969
733.00,33.80608
734.00,33.79179
735.00,33.92156
736.00,33.94987
737.00,34.08262
738.00,34.02252
739.00,34.08876
740.00,34.13093
741.00,34.13688
742.00,34.29737
743.00,34.28556
744.00,34.50875
745.00,34.35020
746.00,34.47967
747.00,34.53200
748.00,34.63333
749.00,34.53974
750.00,34.71158
751.00,34.62562
752.00,34.75846
753.00,34.74251
754.00,34.77939
755.00,34.93103
756.00,34.80631
757.00,34.83482
758.00,35.16361
759.00,35.18229
760.00,35.09573
761.00,35.08559
762.00,35.10306
763.00,35.22964
764.00,35.22515
765.00,35.20008
766.00,35.23803
767.00,35.19537
768.00,35.31952
769.00,35.47274
770.00,35.43020
771.00,35.62697
772.00,35.29635
773.00,35.65138
774.00,35.55019
775.00,35.43212
776.00,35.54991
777.00,35.47447
778.00,35.57135
779.00,35.51526
780.00,35.56102
781.00,35.58408
782.00,35.57771
783.00,35.60339
784.00,35.76869
785.00,35.73491
786.00,35.66266
787.00,35.91259
788.00,35.66197
789.00,36.00240
790.00,35.88594
791.00,35.79360
792.00,35.74385
793.00,35.95341
794.00,36.19694
795.00,36.02512
796.00,35.96877
797.00,35.98803
798.00,35.94912
799.00,36.00853
800.00,35.95141
801.00,36.01683
802.00,36.03440
803.00,36.13395
804.00,36.18759
805.00,36.06161
806.00,36.06955
807.00,36.23833
808.00,36.19671
809.00,36.23011
810.00,36.24413
811.00,36.12576
812.00,36.06280
813.00,35.99900
814.00,36.22051
815.00,35.93500
816.00,36.31323
817.00,36.10646
818.00,36.02050
819.00,36.31741
820.00,36.41750
821.00,36.41332
822.00,36.39992
823.00,36.09259
824.00,36.26066
825.00,36.30279
826.00,36.28436
827.00,36.16322
828.00,36.36652
829.00,36.64228
830.00,36.31172
831.00,36.43906
832.00,36.51462
833.00,36.44761
834.00,36.29616
835.00,36.29736
836.00,36.78573
837.00,36.30509
838.00,36.42406
839.00,36.70044
840.00,36.44914
841.00,36.38590
842.00,36.46695
843.00,35.75822
844.00,36.43419
845.00,36.25137
846.00,36.16982
847.00,36.66569
848.00,36.72942
849.00,36.47920
850.00,36.09001
851.00,35.77496
