"VIII - RawData"
"Wavelength nm.","T%"
400.00,0.01801
401.00,0.01786
402.00,0.01848
403.00,0.01852
404.00,0.01918
405.00,0.01971
406.00,0.01937
407.00,0.01924
408.00,0.01881
409.00,0.02039
410.00,0.01990
411.00,0.02126
412.00,0.02006
413.00,0.02108
414.00,0.02068
415.00,0.02151
416.00,0.02140
417.00,0.02120
418.00,0.02116
419.00,0.02155
420.00,0.02172
421.00,0.02092
422.00,0.02098
423.00,0.02192
424.00,0.02367
425.00,0.02390
426.00,0.02546
427.00,0.02785
428.00,0.02750
429.00,0.03030
430.00,0.03065
431.00,0.03149
432.00,0.03319
433.00,0.03488
434.00,0.03476
435.00,0.03607
436.00,0.03653
437.00,0.03761
438.00,0.03788
439.00,0.04010
440.00,0.04024
441.00,0.04175
442.00,0.04335
443.00,0.04409
444.00,0.04515
445.00,0.04521
446.00,0.04675
447.00,0.04819
448.00,0.04860
449.00,0.04947
450.00,0.05045
451.00,0.05156
452.00,0.05414
453.00,0.05434
454.00,0.05516
455.00,0.05619
456.00,0.05697
457.00,0.05838
458.00,0.05898
459.00,0.05963
460.00,0.06236
461.00,0.06281
462.00,0.06476
463.00,0.06613
464.00,0.06658
465.00,0.06967
466.00,0.06946
467.00,0.07151
468.00,0.07203
469.00,0.07501
470.00,0.07486
471.00,0.07772
472.00,0.07870
473.00,0.07951
474.00,0.08154
475.00,0.08369
476.00,0.08328
477.00,0.08627
478.00,0.08747
479.00,0.08982
480.00,0.09070
481.00,0.09226
482.00,0.09488
483.00,0.09643
484.00,0.09765
485.00,0.10005
486.00,0.10219
487.00,0.10303
488.00,0.10626
489.00,0.10779
490.00,0.10856
491.00,0.11166
492.00,0.11205
493.00,0.11461
494.00,0.11477
495.00,0.11757
496.00,0.11921
497.00,0.12189
498.00,0.12236
499.00,0.12438
500.00,0.12638
501.00,0.12640
502.00,0.13070
503.00,0.13152
504.00,0.13196
505.00,0.13278
506.00,0.13599
507.00,0.13796
508.00,0.14013
509.00,0.14125
510.00,0.14284
511.00,0.14474
512.00,0.14554
513.00,0.14728
514.00,0.14864
515.00,0.15110
516.00,0.15289
517.00,0.15246
518.00,0.15502
519.00,0.15600
520.00,0.15683
521.00,0.15745
522.00,0.15842
523.00,0.15864
524.00,0.16189
525.00,0.16131
526.00,0.16271
527.00,0.16353
528.00,0.16228
529.00,0.16449
530.00,0.16409
531.00,0.16617
532.00,0.16648
533.00,0.16487
534.00,0.16741
535.00,0.16641
536.00,0.16693
537.00,0.16880
538.00,0.16678
539.00,0.16666
540.00,0.16654
541.00,0.16814
542.00,0.16750
543.00,0.16648
544.00,0.16817
545.00,0.16558
546.00,0.16668
547.00,0.16552
548.00,0.16552
549.00,0.16572
550.00,0.16539
551.00,0.16380
552.00,0.16228
553.00,0.16289
554.00,0.16136
555.00,0.16219
556.00,0.16146
557.00,0.16203
558.00,0.16175
559.00,0.15911
560.00,0.16146
561.00,0.16001
562.00,0.15891
563.00,0.16112
564.00,0.16150
565.00,0.16368
566.00,0.16188
567.00,0.16304
568.00,0.16528
569.00,0.16459
570.00,0.16774
571.00,0.17088
572.00,0.17101
573.00,0.17418
574.00,0.17748
575.00,0.17920
576.00,0.18272
577.00,0.18674
578.00,0.18987
579.00,0.19651
580.00,0.20367
581.00,0.20886
582.00,0.21759
583.00,0.22582
584.00,0.23393
585.00,0.24586
586.00,0.25366
587.00,0.26620
588.00,0.28158
589.00,0.29739
590.00,0.31065
591.00,0.33124
592.00,0.35344
593.00,0.37860
594.00,0.40157
595.00,0.43265
596.00,0.46255
597.00,0.50072
598.00,0.54256
599.00,0.58758
600.00,0.63784
601.00,0.68794
602.00,0.74861
603.00,0.81500
604.00,0.88921
605.00,0.96609
606.00,1.05856
607.00,1.15165
608.00,1.25432
609.00,1.36965
610.00,1.48838
611.00,1.61620
612.00,1.76743
613.00,1.91782
614.00,2.09445
615.00,2.27806
616.00,2.47313
617.00,2.68893
618.00,2.91569
619.00,3.14907
620.00,3.41816
621.00,3.68712
622.00,3.96927
623.00,4.25567
624.00,4.56924
625.00,4.88741
626.00,5.20538
627.00,5.52941
628.00,5.89368
629.00,6.26466
630.00,6.60112
631.00,6.97684
632.00,7.38029
633.00,7.77838
634.00,8.18973
635.00,8.61946
636.00,9.03680
637.00,9.46401
638.00,9.89502
639.00,10.35901
640.00,10.79071
641.00,11.23795
642.00,11.69839
643.00,12.13329
644.00,12.58906
645.00,13.02086
646.00,13.48063
647.00,13.92646
648.00,14.34988
649.00,14.79955
650.00,15.23315
651.00,15.64525
652.00,16.09554
653.00,16.52167
654.00,16.91701
655.00,17.31845
656.00,17.73206
657.00,18.14257
658.00,18.54829
659.00,18.95975
660.00,19.33236
661.00,19.76930
662.00,20.13229
663.00,20.49932
664.00,20.92703
665.00,21.29739
666.00,21.64974
667.00,22.06037
668.00,22.39249
669.00,22.75608
670.00,23.11201
671.00,23.43565
672.00,23.77760
673.00,24.09582
674.00,24.43982
675.00,24.75934
676.00,25.06599
677.00,25.39560
678.00,25.68638
679.00,26.00712
680.00,26.28589
681.00,26.60209
682.00,26.88864
683.00,27.16284
684.00,27.49015
685.00,27.71413
686.00,28.01038
687.00,28.27862
688.00,28.55120
689.00,28.75192
690.00,29.05115
691.00,29.32504
692.00,29.49447
693.00,29.72392
694.00,29.97602
695.00,30.18174
696.00,30.37589
697.00,30.55542
698.00,30.75889
699.00,30.94375
700.00,31.15914
701.00,31.29407
702.00,31.49662
703.00,31.67968
704.00,31.80116
705.00,32.04534
706.00,32.13121
707.00,32.23774
708.00,32.40919
709.00,32.58711
710.00,32.68515
711.00,32.76038
712.00,32.95333
713.00,33.01032
714.00,33.11546
715.00,33.14930
716.00,33.35106
717.00,33.39105
718.00,33.51168
719.00,33.55940
720.00,33.70834
721.00,33.82481
722.00,33.84318
723.00,33.92148
724.00,33.95406
725.00,34.00111
726.00,34.17400
727.00,34.20948
728.00,34.26214
729.00,34.34094
730.00,34.38476
731.00,34.44625
732.00,34.60170
733.00,34.54596
734.00,34.64155
735.00,34.74846
736.00,34.76963
737.00,34.83590
738.00,34.78842
739.00,34.92830
740.00,34.99788
741.00,35.05449
742.00,35.19276
743.00,35.26924
744.00,35.27135
745.00,35.37996
746.00,35.44196
747.00,35.50362
748.00,35.61420
749.00,35.71509
750.00,35.80802
751.00,35.94128
752.00,36.03100
753.00,36.07543
754.00,36.22274
755.00,36.28294
756.00,36.33907
757.00,36.48193
758.00,36.51676
759.00,36.68872
760.00,36.81274
761.00,36.92727
762.00,37.09456
763.00,37.08896
764.00,37.27509
765.00,37.44906
766.00,37.52553
767.00,37.66928
768.00,37.83964
769.00,38.02067
770.00,37.99368
771.00,38.06315
772.00,38.44331
773.00,38.44172
774.00,38.69960
775.00,38.87543
776.00,39.07405
777.00,38.92519
778.00,39.36143
779.00,39.44395
780.00,39.34799
781.00,39.59291
782.00,39.82090
783.00,39.94419
784.00,40.04920
785.00,40.22415
786.00,40.29737
787.00,40.47181
788.00,40.60906
789.00,40.81976
790.00,41.02989
791.00,41.12696
792.00,41.35744
793.00,41.36088
794.00,41.52586
795.00,41.68836
796.00,41.91003
797.00,42.01808
798.00,42.07474
799.00,42.14165
800.00,42.33600
801.00,42.41954
802.00,42.76693
803.00,42.84588
804.00,43.07959
805.00,43.05384
806.00,43.48252
807.00,43.41632
808.00,43.79755
809.00,43.92421
810.00,44.10882
811.00,44.11187
812.00,44.27105
813.00,44.25160
814.00,44.68241
815.00,44.71594
816.00,44.81073
817.00,44.95017
818.00,45.20539
819.00,45.25138
820.00,45.61664
821.00,45.71545
822.00,45.92885
823.00,45.73089
824.00,46.16055
825.00,46.42794
826.00,46.41336
827.00,46.46579
828.00,46.82749
829.00,46.87954
830.00,47.23411
831.00,47.04804
832.00,47.23443
833.00,47.76395
834.00,47.50038
835.00,47.82260
836.00,48.02076
837.00,48.20117
838.00,48.01905
839.00,48.99444
840.00,48.81459
841.00,48.74209
842.00,49.04912
843.00,49.09120
844.00,48.43140
845.00,48.96435
846.00,49.27919
847.00,49.70327
848.00,49.87620
849.00,49.66453
850.00,50.02242
851.00,49.51413
852.00,49.08758
853.00,50.12075
854.00,50.02498
855.00,52.36317
856.00,51.60241
857.00,50.10725
858.00,50.86516
859.00,50.41224
860.00,50.65864
861.00,51.54506
862.00,50.70634
863.00,52.30918
864.00,51.69414
865.00,51.14670
866.00,53.73657
867.00,52.00109
868.00,52.34479
869.00,50.86325
870.00,51.01683
871.00,49.77253
872.00,51.89795
873.00,50.04014
874.00,52.82217
875.00,52.31237
876.00,52.83919
877.00,52.38205
878.00,50.73020
879.00,52.70810
880.00,53.00579
881.00,54.96026
882.00,51.33837
883.00,49.30011
884.00,52.42590
885.00,53.13346
886.00,55.81636
887.00,50.41853
888.00,48.88253
889.00,50.62937
890.00,50.33059
891.00,50.19764
892.00,49.02376
893.00,51.98135
894.00,53.34991
895.00,44.72989
896.00,57.28905
897.00,50.97054
898.00,49.18202
899.00,48.62742
900.00,51.79178
