"X2 - RawData"
"Wavelength nm.","T%"
400.00,0.36820
401.00,0.36933
402.00,0.36906
403.00,0.37645
404.00,0.37485
405.00,0.37880
406.00,0.38032
407.00,0.38590
408.00,0.38523
409.00,0.38713
410.00,0.38731
411.00,0.38883
412.00,0.38871
413.00,0.38685
414.00,0.38674
415.00,0.38554
416.00,0.37747
417.00,0.37429
418.00,0.37302
419.00,0.36704
420.00,0.36317
421.00,0.36823
422.00,0.36682
423.00,0.37356
424.00,0.37679
425.00,0.38764
426.00,0.40684
427.00,0.42874
428.00,0.46305
429.00,0.48908
430.00,0.51859
431.00,0.54856
432.00,0.57480
433.00,0.59836
434.00,0.61029
435.00,0.62911
436.00,0.64130
437.00,0.65224
438.00,0.65657
439.00,0.66949
440.00,0.67639
441.00,0.68053
442.00,0.68568
443.00,0.69927
444.00,0.70300
445.00,0.70870
446.00,0.71151
447.00,0.72152
448.00,0.72144
449.00,0.72977
450.00,0.74059
451.00,0.74209
452.00,0.75131
453.00,0.75368
454.00,0.75930
455.00,0.76418
456.00,0.76493
457.00,0.77277
458.00,0.78062
459.00,0.78452
460.00,0.79175
461.00,0.79174
462.00,0.79987
463.00,0.80177
464.00,0.80774
465.00,0.81673
466.00,0.81788
467.00,0.82551
468.00,0.82859
469.00,0.83481
470.00,0.84185
471.00,0.84195
472.00,0.84920
473.00,0.85403
474.00,0.85875
475.00,0.87008
476.00,0.87063
477.00,0.87478
478.00,0.88147
479.00,0.89050
480.00,0.89824
481.00,0.90338
482.00,0.91162
483.00,0.91254
484.00,0.92299
485.00,0.93166
486.00,0.93591
487.00,0.94343
488.00,0.94571
489.00,0.94857
490.00,0.95962
491.00,0.96620
492.00,0.97001
493.00,0.97640
494.00,0.98407
495.00,0.99097
496.00,0.99550
497.00,1.00371
498.00,1.00279
499.00,1.01241
500.00,1.02126
501.00,1.02596
502.00,1.02802
503.00,1.03360
504.00,1.03970
505.00,1.04218
506.00,1.04934
507.00,1.05900
508.00,1.06262
509.00,1.06716
510.00,1.06976
511.00,1.07827
512.00,1.08351
513.00,1.08946
514.00,1.09451
515.00,1.10383
516.00,1.10609
517.00,1.10916
518.00,1.11237
519.00,1.11854
520.00,1.12467
521.00,1.12723
522.00,1.13173
523.00,1.13856
524.00,1.14567
525.00,1.14346
526.00,1.15389
527.00,1.15211
528.00,1.15764
529.00,1.16675
530.00,1.16706
531.00,1.17148
532.00,1.17735
533.00,1.18248
534.00,1.18500
535.00,1.19536
536.00,1.19238
537.00,1.20574
538.00,1.21248
539.00,1.21394
540.00,1.22553
541.00,1.22066
542.00,1.22520
543.00,1.22765
544.00,1.23573
545.00,1.23399
546.00,1.24118
547.00,1.24344
548.00,1.24493
549.00,1.24776
550.00,1.25276
551.00,1.25598
552.00,1.26478
553.00,1.26433
554.00,1.26769
555.00,1.27317
556.00,1.27790
557.00,1.28159
558.00,1.28804
559.00,1.29176
560.00,1.29372
561.00,1.29747
562.00,1.30265
563.00,1.30558
564.00,1.31110
565.00,1.31909
566.00,1.32352
567.00,1.32750
568.00,1.33420
569.00,1.34661
570.00,1.35613
571.00,1.36863
572.00,1.37642
573.00,1.39644
574.00,1.40508
575.00,1.42113
576.00,1.44143
577.00,1.45860
578.00,1.47661
579.00,1.49369
580.00,1.51526
581.00,1.53639
582.00,1.55732
583.00,1.58367
584.00,1.60718
585.00,1.63303
586.00,1.66768
587.00,1.68972
588.00,1.72841
589.00,1.76149
590.00,1.79746
591.00,1.83438
592.00,1.88065
593.00,1.92897
594.00,1.97776
595.00,2.02962
596.00,2.09184
597.00,2.15366
598.00,2.22218
599.00,2.29066
600.00,2.36603
601.00,2.44453
602.00,2.53008
603.00,2.62175
604.00,2.72311
605.00,2.81867
606.00,2.94221
607.00,3.05616
608.00,3.18235
609.00,3.31929
610.00,3.44692
611.00,3.60000
612.00,3.76288
613.00,3.93761
614.00,4.11809
615.00,4.31384
616.00,4.51624
617.00,4.74943
618.00,4.97411
619.00,5.22136
620.00,5.48612
621.00,5.76285
622.00,6.03538
623.00,6.31907
624.00,6.63389
625.00,6.95716
626.00,7.28562
627.00,7.61580
628.00,7.96711
629.00,8.33554
630.00,8.69625
631.00,9.07007
632.00,9.47198
633.00,9.89378
634.00,10.32121
635.00,10.77071
636.00,11.20142
637.00,11.64334
638.00,12.11246
639.00,12.62236
640.00,13.07470
641.00,13.57728
642.00,14.06517
643.00,14.56589
644.00,15.06185
645.00,15.55367
646.00,16.07620
647.00,16.57977
648.00,17.08717
649.00,17.58744
650.00,18.07199
651.00,18.58506
652.00,19.06322
653.00,19.56771
654.00,20.05345
655.00,20.54079
656.00,21.02075
657.00,21.50164
658.00,22.00092
659.00,22.49205
660.00,22.95079
661.00,23.44577
662.00,23.91942
663.00,24.38914
664.00,24.88307
665.00,25.33936
666.00,25.77993
667.00,26.24357
668.00,26.68881
669.00,27.10967
670.00,27.60196
671.00,28.02118
672.00,28.37031
673.00,28.81522
674.00,29.20760
675.00,29.61735
676.00,30.04688
677.00,30.47987
678.00,30.81701
679.00,31.26165
680.00,31.64093
681.00,32.05187
682.00,32.44271
683.00,32.81780
684.00,33.21166
685.00,33.59503
686.00,33.93713
687.00,34.30696
688.00,34.67432
689.00,34.94941
690.00,35.32915
691.00,35.70970
692.00,35.94435
693.00,36.35611
694.00,36.67384
695.00,36.86744
696.00,37.22957
697.00,37.48194
698.00,37.75016
699.00,38.02611
700.00,38.24650
701.00,38.56910
702.00,38.76490
703.00,38.95763
704.00,39.14555
705.00,39.46541
