"SR_2116 - RawData"
"Wavelength nm.","R%"
400.00,13.11145
401.00,13.10083
402.00,13.11549
403.00,13.10071
404.00,13.13339
405.00,13.10026
406.00,13.09974
407.00,13.14326
408.00,13.12458
409.00,13.15272
410.00,13.16708
411.00,13.23733
412.00,13.29754
413.00,13.35938
414.00,13.43425
415.00,13.51291
416.00,13.51353
417.00,13.51378
418.00,13.50396
419.00,13.50610
420.00,13.49916
421.00,13.49068
422.00,13.49279
423.00,13.46571
424.00,13.47340
425.00,13.46613
426.00,13.46904
427.00,13.44831
428.00,13.44925
429.00,13.44044
430.00,13.43369
431.00,13.43752
432.00,13.44361
433.00,13.45066
434.00,13.45055
435.00,13.42578
436.00,13.41896
437.00,13.40944
438.00,13.43712
439.00,13.43611
440.00,13.42871
441.00,13.41510
442.00,13.44012
443.00,13.41894
444.00,13.41878
445.00,13.42493
446.00,13.40852
447.00,13.42597
448.00,13.41535
449.00,13.42846
450.00,13.41970
451.00,13.42617
452.00,13.39904
453.00,13.43055
454.00,13.42295
455.00,13.43925
456.00,13.43382
457.00,13.41855
458.00,13.42651
459.00,13.42624
460.00,13.45477
461.00,13.44904
462.00,13.43258
463.00,13.44425
464.00,13.45244
465.00,13.47143
466.00,13.45197
467.00,13.45286
468.00,13.46310
469.00,13.47286
470.00,13.46614
471.00,13.47948
472.00,13.48739
473.00,13.47741
474.00,13.48583
475.00,13.48099
476.00,13.51422
477.00,13.49208
478.00,13.52987
479.00,13.52268
480.00,13.50264
481.00,13.52278
482.00,13.52741
483.00,13.55589
484.00,13.56175
485.00,13.54751
486.00,13.56644
487.00,13.56446
488.00,13.58965
489.00,13.58612
490.00,13.59272
491.00,13.58563
492.00,13.60601
493.00,13.62439
494.00,13.63341
495.00,13.63194
496.00,13.63194
497.00,13.67252
498.00,13.67446
499.00,13.67169
500.00,13.70228
501.00,13.71637
502.00,13.70541
503.00,13.73406
504.00,13.74816
505.00,13.77038
506.00,13.77850
507.00,13.79098
508.00,13.81523
509.00,13.82502
510.00,13.84661
511.00,13.87248
512.00,13.87934
513.00,13.90414
514.00,13.94202
515.00,13.95827
516.00,13.96048
517.00,13.97024
518.00,14.02577
519.00,14.03479
520.00,14.06525
521.00,14.07470
522.00,14.11318
523.00,14.13498
524.00,14.15267
525.00,14.20675
526.00,14.23019
527.00,14.26555
528.00,14.30026
529.00,14.34008
530.00,14.33889
531.00,14.40714
532.00,14.42495
533.00,14.50124
534.00,14.52419
535.00,14.57327
536.00,14.60038
537.00,14.64923
538.00,14.70419
539.00,14.74576
540.00,14.78232
541.00,14.82863
542.00,14.87592
543.00,14.93904
544.00,14.98508
545.00,15.04902
546.00,15.11474
547.00,15.15950
548.00,15.23587
549.00,15.28114
550.00,15.34720
551.00,15.42662
552.00,15.48197
553.00,15.58442
554.00,15.63510
555.00,15.70826
556.00,15.77409
557.00,15.84360
558.00,15.91114
559.00,15.99055
560.00,16.06514
561.00,16.13291
562.00,16.21857
563.00,16.29085
564.00,16.37489
565.00,16.44164
566.00,16.54568
567.00,16.57622
568.00,16.64405
569.00,16.74047
570.00,16.82344
571.00,16.89225
572.00,16.96052
573.00,17.02760
574.00,17.10909
575.00,17.17512
576.00,17.24587
577.00,17.31554
578.00,17.36659
579.00,17.44585
580.00,17.47883
581.00,17.55005
582.00,17.60626
583.00,17.64627
584.00,17.71816
585.00,17.72953
586.00,17.79188
587.00,17.85361
588.00,17.86361
589.00,17.89116
590.00,17.95271
591.00,17.97499
592.00,18.00872
593.00,18.04046
594.00,18.04210
595.00,18.06011
596.00,18.10888
597.00,18.11053
598.00,18.12926
599.00,18.13637
600.00,18.15220
601.00,18.16775
602.00,18.18881
603.00,18.17816
604.00,18.18274
605.00,18.20658
606.00,18.21333
607.00,18.20707
608.00,18.20987
609.00,18.21389
610.00,18.24174
611.00,18.21024
612.00,18.22066
613.00,18.21147
614.00,18.22714
615.00,18.22550
616.00,18.26019
617.00,18.28910
618.00,18.30561
619.00,18.28672
620.00,18.33115
621.00,18.35611
622.00,18.36371
623.00,18.40815
624.00,18.42760
625.00,18.46859
626.00,18.50775
627.00,18.52196
628.00,18.58816
629.00,18.62600
630.00,18.69352
631.00,18.75123
632.00,18.81838
633.00,18.92198
634.00,18.97832
635.00,19.09056
636.00,19.17951
637.00,19.27083
638.00,19.38850
639.00,19.52182
640.00,19.63638
641.00,19.80989
642.00,19.94265
643.00,20.10785
644.00,20.25777
645.00,20.43798
646.00,20.66101
647.00,20.85840
648.00,21.05225
649.00,21.25763
650.00,21.49087
651.00,21.74192
652.00,21.97754
653.00,22.25735
654.00,22.51336
655.00,22.76839
656.00,23.06027
657.00,23.35182
658.00,23.67176
659.00,23.97564
660.00,24.33088
661.00,24.68371
662.00,24.99124
663.00,25.38543
664.00,25.73506
665.00,26.11435
666.00,26.42566
667.00,26.81458
668.00,27.22006
669.00,27.66529
670.00,28.01551
671.00,28.37400
672.00,28.73787
673.00,29.10332
674.00,29.51527
675.00,29.91031
676.00,30.32255
677.00,30.68576
678.00,31.02221
679.00,31.51213
680.00,31.89122
681.00,32.27899
682.00,32.65514
683.00,33.03075
684.00,33.43039
685.00,33.87303
686.00,34.14662
687.00,34.59531
688.00,34.87704
689.00,35.16204
690.00,35.56243
691.00,35.87827
692.00,36.16265
693.00,36.51994
694.00,36.81110
695.00,37.14077
696.00,37.39374
697.00,37.65058
698.00,37.89557
699.00,38.22862
700.00,38.57279
701.00,38.73244
702.00,38.91731
703.00,39.19012
704.00,39.56329
705.00,39.71413
706.00,39.93821
707.00,40.15946
708.00,40.38521
709.00,40.58074
710.00,40.77559
711.00,40.94273
712.00,41.17581
713.00,41.36399
714.00,41.51108
715.00,41.58082
716.00,41.86966
717.00,42.00174
718.00,42.17280
719.00,42.35972
720.00,42.45213
721.00,42.67009
722.00,42.73429
723.00,42.92029
724.00,43.02872
725.00,43.20801
726.00,43.27081
727.00,43.39685
728.00,43.59395
729.00,43.72335
730.00,43.85201
731.00,43.90175
732.00,44.08330
733.00,44.19046
734.00,44.25863
735.00,44.44144
736.00,44.43799
737.00,44.72541
738.00,44.75173
739.00,44.82494
740.00,44.88915
741.00,44.89428
742.00,44.92528
743.00,45.12388
744.00,45.20740
745.00,45.38920
746.00,45.42165
747.00,45.52970
748.00,45.50287
749.00,45.66359
750.00,45.69022
751.00,45.76348
752.00,45.74059
753.00,45.94345
754.00,46.03095
755.00,45.87609
756.00,46.11777
757.00,46.11989
758.00,46.12767
759.00,46.26368
760.00,46.26814
761.00,46.43360
762.00,46.53064
763.00,46.50028
764.00,46.50857
765.00,46.65914
766.00,46.76934
767.00,46.73126
768.00,46.86739
769.00,46.78730
770.00,46.78196
771.00,46.82416
772.00,46.79921
773.00,46.90624
774.00,47.05687
775.00,46.99781
776.00,47.26261
777.00,47.24010
778.00,47.17151
779.00,47.30681
780.00,47.16764
781.00,47.26749
782.00,47.23127
783.00,47.32691
784.00,47.23144
785.00,47.32811
786.00,47.36483
787.00,47.52002
788.00,47.46024
789.00,47.65670
790.00,47.40626
791.00,47.54118
792.00,47.48939
793.00,47.44744
794.00,47.50830
795.00,47.38933
796.00,47.62965
797.00,47.62833
798.00,47.65537
799.00,47.78427
800.00,47.78095
801.00,47.74546
802.00,47.65331
803.00,47.72913
804.00,47.59611
805.00,47.86024
806.00,47.56501
807.00,47.54652
808.00,47.61334
809.00,47.57477
810.00,47.34402
811.00,47.69991
812.00,47.45300
813.00,47.69415
814.00,47.42274
815.00,47.36229
816.00,47.56536
817.00,47.44566
818.00,47.17149
819.00,47.41076
820.00,47.25104
821.00,47.52086
822.00,47.28842
823.00,47.40076
824.00,47.53290
825.00,47.47333
826.00,47.30905
827.00,47.48191
828.00,46.98250
829.00,47.44737
830.00,47.22783
831.00,46.90384
832.00,47.04027
833.00,47.05847
834.00,46.85367
835.00,46.79978
836.00,46.69527
837.00,46.76659
838.00,46.95739
839.00,46.90305
840.00,46.62855
841.00,46.60518
842.00,46.51510
843.00,46.05556
844.00,46.59570
845.00,45.80700
846.00,45.75754
847.00,45.58781
848.00,45.60812
849.00,46.07664
850.00,45.77311
851.00,45.14464
852.00,45.56005
853.00,45.11759
854.00,45.82456
855.00,44.35677
856.00,43.54616
857.00,43.99892
858.00,44.59780
859.00,44.45435
860.00,44.00264
861.00,44.20437
862.00,42.80580
863.00,42.66648
864.00,43.24748
865.00,42.33158
866.00,43.61267
867.00,40.66063
868.00,43.74308
869.00,42.39095
870.00,42.24310
871.00,43.59429
872.00,40.86743
873.00,41.47843
874.00,41.95765
875.00,42.48050
876.00,41.28546
877.00,42.16787
878.00,41.61012
879.00,41.07122
880.00,44.83430
881.00,43.98314
882.00,39.98053
883.00,39.71065
884.00,44.04429
885.00,43.22744
886.00,40.84577
887.00,42.89171
888.00,40.73475
889.00,43.59339
890.00,39.51659
891.00,39.47179
892.00,43.96266
893.00,42.14168
894.00,37.54278
895.00,48.64678
896.00,40.13669
897.00,37.37219
898.00,44.13491
899.00,38.08660
900.00,45.21235
