"215 - RawData"
"Wavelength nm.","T%"
400.00,0.04738
401.00,0.04718
402.00,0.04933
403.00,0.04923
404.00,0.05058
405.00,0.05004
406.00,0.05142
407.00,0.04997
408.00,0.05054
409.00,0.04997
410.00,0.05156
411.00,0.05137
412.00,0.05164
413.00,0.04983
414.00,0.05019
415.00,0.04797
416.00,0.04803
417.00,0.04557
418.00,0.04378
419.00,0.04235
420.00,0.04107
421.00,0.04058
422.00,0.04069
423.00,0.04150
424.00,0.04539
425.00,0.05022
426.00,0.05729
427.00,0.06842
428.00,0.08527
429.00,0.10647
430.00,0.13062
431.00,0.15071
432.00,0.16512
433.00,0.17889
434.00,0.18947
435.00,0.19414
436.00,0.19645
437.00,0.19769
438.00,0.19853
439.00,0.20060
440.00,0.20026
441.00,0.20266
442.00,0.20139
443.00,0.20304
444.00,0.20368
445.00,0.20199
446.00,0.20230
447.00,0.20348
448.00,0.20357
449.00,0.20453
450.00,0.20468
451.00,0.20635
452.00,0.20624
453.00,0.20720
454.00,0.20720
455.00,0.20925
456.00,0.20959
457.00,0.21138
458.00,0.21175
459.00,0.21321
460.00,0.21565
461.00,0.21629
462.00,0.21755
463.00,0.22143
464.00,0.22121
465.00,0.22480
466.00,0.22411
467.00,0.22905
468.00,0.23011
469.00,0.23225
470.00,0.23268
471.00,0.23550
472.00,0.23872
473.00,0.23893
474.00,0.24165
475.00,0.24227
476.00,0.24603
477.00,0.24700
478.00,0.24846
479.00,0.25189
480.00,0.25476
481.00,0.25542
482.00,0.25825
483.00,0.25954
484.00,0.26260
485.00,0.26635
486.00,0.26818
487.00,0.27120
488.00,0.27275
489.00,0.27473
490.00,0.27885
491.00,0.28116
492.00,0.28172
493.00,0.28296
494.00,0.28595
495.00,0.29130
496.00,0.29266
497.00,0.29611
498.00,0.29641
499.00,0.29917
500.00,0.30025
501.00,0.30338
502.00,0.30602
503.00,0.30876
504.00,0.30844
505.00,0.31356
506.00,0.31881
507.00,0.31827
508.00,0.31931
509.00,0.32424
510.00,0.32573
511.00,0.32597
512.00,0.33273
513.00,0.33180
514.00,0.33422
515.00,0.33433
516.00,0.33717
517.00,0.34063
518.00,0.34247
519.00,0.34286
520.00,0.34765
521.00,0.34641
522.00,0.34983
523.00,0.34785
524.00,0.35122
525.00,0.35228
526.00,0.35512
527.00,0.35604
528.00,0.35685
529.00,0.35827
530.00,0.35826
531.00,0.36115
532.00,0.36149
533.00,0.36042
534.00,0.36213
535.00,0.36541
536.00,0.36414
537.00,0.36480
538.00,0.36625
539.00,0.36411
540.00,0.36591
541.00,0.36501
542.00,0.36978
543.00,0.36471
544.00,0.36850
545.00,0.36636
546.00,0.36978
547.00,0.37014
548.00,0.37151
549.00,0.36889
550.00,0.37132
551.00,0.37058
552.00,0.37227
553.00,0.37324
554.00,0.37477
555.00,0.37267
556.00,0.37728
557.00,0.37725
558.00,0.37772
559.00,0.37885
560.00,0.38140
561.00,0.38257
562.00,0.38686
563.00,0.38795
564.00,0.39032
565.00,0.39222
566.00,0.39646
567.00,0.39894
568.00,0.40286
569.00,0.40779
570.00,0.41094
571.00,0.41420
572.00,0.41971
573.00,0.42547
574.00,0.43306
575.00,0.44185
576.00,0.44690
577.00,0.45469
578.00,0.46201
579.00,0.47013
580.00,0.48028
581.00,0.49072
582.00,0.50355
583.00,0.51602
584.00,0.52772
585.00,0.54438
586.00,0.55716
587.00,0.57368
588.00,0.59304
589.00,0.60848
590.00,0.63516
591.00,0.65536
592.00,0.68055
593.00,0.70498
594.00,0.73159
595.00,0.76078
596.00,0.79599
597.00,0.83200
598.00,0.86632
599.00,0.90556
600.00,0.94818
601.00,0.99492
602.00,1.04055
603.00,1.09109
604.00,1.14908
605.00,1.20697
606.00,1.26920
607.00,1.34032
608.00,1.40857
609.00,1.48321
610.00,1.55887
611.00,1.63947
612.00,1.73752
613.00,1.82981
614.00,1.93650
615.00,2.04501
616.00,2.15968
617.00,2.28861
618.00,2.42302
619.00,2.56083
620.00,2.71225
621.00,2.87353
622.00,3.03277
623.00,3.20125
624.00,3.38086
625.00,3.57686
626.00,3.76226
627.00,3.96434
628.00,4.17439
629.00,4.39061
630.00,4.61797
631.00,4.85373
632.00,5.10054
