"SR_X - RawData"
"Wavelength nm.","R%"
400.00,12.97987
401.00,12.97482
402.00,13.05488
403.00,13.07310
404.00,13.08962
405.00,13.11596
406.00,13.18721
407.00,13.18075
408.00,13.23870
409.00,13.30615
410.00,13.35397
411.00,13.40897
412.00,13.50897
413.00,13.60244
414.00,13.75306
415.00,13.87220
416.00,14.04589
417.00,14.24433
418.00,14.39944
419.00,14.54452
420.00,14.63430
421.00,14.68340
422.00,14.75604
423.00,14.80238
424.00,14.72561
425.00,14.52602
426.00,14.18462
427.00,13.74323
428.00,13.36404
429.00,13.03607
430.00,12.74046
431.00,12.48064
432.00,12.31131
433.00,12.24071
434.00,12.14889
435.00,12.11738
436.00,12.11861
437.00,12.13135
438.00,12.11751
439.00,12.12741
440.00,12.18432
441.00,12.17937
442.00,12.23783
443.00,12.25024
444.00,12.28157
445.00,12.30325
446.00,12.36186
447.00,12.36236
448.00,12.39935
449.00,12.45315
450.00,12.45827
451.00,12.55123
452.00,12.54052
453.00,12.54933
454.00,12.63173
455.00,12.64566
456.00,12.71568
457.00,12.74558
458.00,12.78176
459.00,12.80068
460.00,12.85747
461.00,12.89721
462.00,12.97024
463.00,12.96698
464.00,13.01283
465.00,13.06106
466.00,13.09298
467.00,13.14634
468.00,13.19665
469.00,13.22988
470.00,13.24975
471.00,13.28811
472.00,13.31170
473.00,13.38529
474.00,13.42292
475.00,13.47262
476.00,13.52605
477.00,13.52382
478.00,13.56875
479.00,13.64508
480.00,13.65900
481.00,13.71537
482.00,13.76252
483.00,13.78423
484.00,13.84343
485.00,13.88713
486.00,13.92871
487.00,14.02644
488.00,14.03901
489.00,14.08326
490.00,14.14697
491.00,14.19187
492.00,14.25658
493.00,14.25980
494.00,14.34479
495.00,14.39994
496.00,14.41596
497.00,14.49988
498.00,14.51649
499.00,14.59635
500.00,14.64855
501.00,14.67470
502.00,14.74755
503.00,14.78053
504.00,14.83173
505.00,14.89203
506.00,14.95711
507.00,14.97244
508.00,15.01853
509.00,15.09559
510.00,15.15469
511.00,15.22541
512.00,15.28852
513.00,15.31995
514.00,15.38617
515.00,15.45582
516.00,15.49630
517.00,15.54652
518.00,15.57059
519.00,15.64020
520.00,15.69545
521.00,15.77681
522.00,15.80090
523.00,15.86559
524.00,15.92675
525.00,16.00144
526.00,16.05060
527.00,16.12176
528.00,16.16948
529.00,16.23312
530.00,16.31509
531.00,16.36820
532.00,16.47192
533.00,16.54150
534.00,16.55899
535.00,16.66132
536.00,16.71615
537.00,16.82540
538.00,16.88207
539.00,16.95110
540.00,17.03603
541.00,17.07959
542.00,17.17242
543.00,17.24919
544.00,17.30806
545.00,17.42057
546.00,17.48675
547.00,17.59765
548.00,17.67336
549.00,17.73805
550.00,17.85419
551.00,17.90615
552.00,18.00308
553.00,18.12113
554.00,18.22079
555.00,18.32162
556.00,18.42078
557.00,18.49815
558.00,18.61278
559.00,18.71678
560.00,18.84187
561.00,18.92351
562.00,19.06359
563.00,19.16275
564.00,19.27306
565.00,19.34720
566.00,19.46542
567.00,19.53669
568.00,19.71217
569.00,19.81578
570.00,19.92784
571.00,20.03674
572.00,20.13429
573.00,20.23473
574.00,20.38932
575.00,20.45236
576.00,20.56636
577.00,20.67720
578.00,20.80343
579.00,20.90382
580.00,21.03155
581.00,21.14316
582.00,21.26451
583.00,21.34826
584.00,21.44784
585.00,21.55051
586.00,21.64951
587.00,21.79969
588.00,21.89563
589.00,21.96969
590.00,22.09017
591.00,22.19490
592.00,22.28264
593.00,22.40869
594.00,22.47798
595.00,22.57088
596.00,22.68962
597.00,22.76610
598.00,22.84742
599.00,22.91898
600.00,23.02429
601.00,23.06794
602.00,23.19281
603.00,23.23158
604.00,23.26751
605.00,23.35028
606.00,23.47817
607.00,23.50895
608.00,23.55439
609.00,23.64884
610.00,23.69278
611.00,23.71773
612.00,23.81548
613.00,23.86212
614.00,23.89617
615.00,23.96535
616.00,23.99491
617.00,24.07978
618.00,24.12579
619.00,24.20661
620.00,24.17154
621.00,24.23348
622.00,24.28966
623.00,24.34790
624.00,24.42536
625.00,24.43374
626.00,24.51198
627.00,24.55197
628.00,24.63549
629.00,24.70854
630.00,24.76677
631.00,24.84473
632.00,24.91754
633.00,24.99036
634.00,25.10996
635.00,25.14652
636.00,25.24571
637.00,25.38518
638.00,25.46525
639.00,25.57442
640.00,25.71576
641.00,25.87159
642.00,25.97630
643.00,26.12854
644.00,26.29511
645.00,26.45592
646.00,26.65030
647.00,26.80823
648.00,27.03695
649.00,27.22222
650.00,27.48048
651.00,27.71298
652.00,27.87822
653.00,28.14717
654.00,28.35067
655.00,28.58106
656.00,28.82462
657.00,29.11464
658.00,29.35029
659.00,29.61486
660.00,29.91998
661.00,30.15152
662.00,30.45597
663.00,30.66326
664.00,30.93530
665.00,31.27754
666.00,31.55299
667.00,31.78687
668.00,32.03294
669.00,32.20350
670.00,32.53784
671.00,32.76822
672.00,32.95438
673.00,33.21614
674.00,33.39010
675.00,33.51903
676.00,33.77180
677.00,33.91716
678.00,34.12238
679.00,34.36758
680.00,34.44169
681.00,34.60783
682.00,34.78690
683.00,35.01343
684.00,35.04984
685.00,35.25417
686.00,35.30702
687.00,35.43127
688.00,35.59372
689.00,35.66063
690.00,35.76020
691.00,35.93758
692.00,35.94416
693.00,36.07178
694.00,36.18722
